href	resolved_url	label	is_html	is_external
documents/Kremlin_Affair/Kremlin_Affair_16.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_16.doc	Постановление политбюро ЦК ВКП(б) «Об аппарате ЦИК СССР и тов. Енукидзе»	no	no
documents/Kremlin_Affair/Kremlin_Affair_17.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_17.doc	Записка Г.Г. Ягоды И.В. Сталину о мерах наказания участникам «контрреволюционных» групп	no	no
documents/Kremlin_Affair/Kremlin_Affair_18.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_18.doc	Постановление Политбюро ЦК ВКП(б) о мерах наказания по «Кремлевскому делу»	no	no
documents/Kremlin_Affair/Kremlin_Affair_19.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_19.doc	Записка Я.С. Агранова И.В. Сталину от 5 сентября 1935 г. с приложением копии анонимного письма об А.С. Енукидзе	no	no
documents/Tukhachevsky/Tukhachevsky_Report.rar	http://perpetrator2004.narod.ru/documents/Tukhachevsky/Tukhachevsky_Report.rar	Справка Комиссии президиума ЦК КПСС «О проверке обвинений, предъявленных в 1937 году судебными и партийными органами тт. Тухачевскому, Якиру, Уборевичу и другим военным деятелям, в измене родины, терроре и военном заговоре»	no	no
documents/kirov/Zhukov_on_Kirov.doc	http://perpetrator2004.narod.ru/documents/kirov/Zhukov_on_Kirov.doc	Следствие и судебные процессы по делу об убийстве Кирова	no	no
documents/kirov/Kirilina_Interview.doc	http://perpetrator2004.narod.ru/documents/kirov/Kirilina_Interview.doc	Интервью Аллы Кирилиной	no	no
documents/Bukharin/Bukharin_Confrontations.doc	http://perpetrator2004.narod.ru/documents/Bukharin/Bukharin_Confrontations.doc	Записка Я.С. Агранова И.В. Сталину о членах оппозиционной группы в ВКП(б). Стенограммы очных ставок в ЦК ВКП(б) между Н.И. Бухариным с одной стороны и Куликовым, Сосновским и Пятаковым с другой. Письма: Н.И. Бухарин – Сталину от 15 декабря 1936 г. и Сталину и членам Политбюро от 15 декабря 1936 г	no	no
documents/Bukharin/Bukharin_Letters.doc	http://perpetrator2004.narod.ru/documents/Bukharin/Bukharin_Letters.doc	Телеграмма Н.И. Бухарина Сталину из Ташкента от 24 августа 1936 г. Письма: Бухарин – членам Политбюро и Вышинскому от 27 августа 1936 г., Бухарин – Ворошилову от 31 августа 1936 г., Ворошилов – Бухарину от 3 сентября 1936 г., Бухарин – Ворошилову от 3 сентября 1936 г., Каганович – Сталину от 14 сентября 1936 г., Бухарин – Сталину от 10 декабря 1937 г., Бухарин – Лариной от 15 января 1938 г	no	no
documents/Bukharin/To_Future_Generation_of_Party_Leaders.doc	http://perpetrator2004.narod.ru/documents/Bukharin/To_Future_Generation_of_Party_Leaders.doc	Письмо будущему поколению руководителей партии	no	no
documents/Lenin/Letter_to_the_Congress.doc	http://perpetrator2004.narod.ru/documents/Lenin/Letter_to_the_Congress.doc	Ленин: Письмо к съезду и вокруг него	no	no
documents/Show_Trials/Orlov_Prison_Shooting.doc	http://perpetrator2004.narod.ru/documents/Show_Trials/Orlov_Prison_Shooting.doc	Документы о расстреле заключенных Орловской тюрьмы	no	no
documents/Lenin/Church_Values_Confiscation.doc	http://perpetrator2004.narod.ru/documents/Lenin/Church_Values_Confiscation.doc	Письмо Ленина Молотову об изъятии церковных ценностей от 19 марта 1922 г	no	no
documents/kirov/Kozlov_Memo.doc	http://perpetrator2004.narod.ru/documents/kirov/Kozlov_Memo.doc	Записка Ф.Р. Козлова в ЦК КПСС	no	no
documents/kirov/Record_No_2.doc	http://perpetrator2004.narod.ru/documents/kirov/Record_No_2.doc	Протокол № 2	no	no
