scope	name	flag	count
collection	ТРОЦКИЙ	nbsp_present	31
collection	ТРОЦКИЙ	footnotes_present	13
collection	ТРОЦКИЙ	very_short	3
collection	ТРОЦКИЙ	archive_refs_present	2
collection	ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	footnotes_present	6
collection	ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	nbsp_present	6
collection	ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	angle_markup_present	5
collection	ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	very_long	5
collection	ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	archive_refs_present	2
collection	ХОД ПРОЦЕССА	missing_tag	36
collection	ХОД ПРОЦЕССА	nbsp_present	36
collection	ХОД ПРОЦЕССА	angle_markup_present	33
collection	ХОД ПРОЦЕССА	archive_refs_present	30
collection	ХОД ПРОЦЕССА	footnotes_present	28
collection	ХОД ПРОЦЕССА	very_long	24
