rank	document_post_id	document_title	content_words	content_chars	primary_process	primary_collection	category_names	tag_names	document_url
42	2676	Протокол допроса Л.В. Николаева	108	695	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-l-v-nikolaeva-3/
43	10738	В.П. Ольберг – Л.Л. Седову	109	690	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-v-p-olberga-l-l-sedovu-6/
44	5781	Письмо О. Мрачковской в газеты	111	781	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ДРУГИЕ ДОКУМЕНТЫ	Другие документы 1936		http://showtrials.ru/pismo-o-mrachkovskoj-v-gazety/
45	5683	Спецсообщение Г.Г. Ягоды И.В. Сталину об аресте Б.И. Кузьмичева	112	742	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1936 | Материалы следствия 1937	Военные-троцкисты	http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-ob-areste-b-i-kuzmicheva/
46	3114	Протокол допроса В.С. Левина	113	714	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-v-s-levina-6/
47	10785	Л.Л. Седов – В.П. Ольбергу	113	694	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-l-l-sedova-v-p-olbergu-25/
48	11331	Л.Л. Седов – Н.И. Седовой	113	720	ТРОЦКИЙ	ТРОЦКИЙ	Троцкий Седов и другие		http://showtrials.ru/l-l-sedov-n-i-sedovoj-8/
49	9148	Л.Л. Седов – В.П. Ольбергу	113	728	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-l-l-sedova-v-p-olbergu-18/
50	7262	Шифртелеграмма Н.Н. Крестинского В.П. Потемкину о разрешении на въезд в СССР для французских общественных деятелей	113	560	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ	Другие документы 1937		http://showtrials.ru/7262-2/
51	3458	Протокол допроса Г.Ф. Попова	115	705	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-g-f-popova-7/
52	4521	Протокол допроса И.К. Наумова	116	732	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-i-k-naumova-4/
53	4100	Показания В.А. Виноградова	117	749	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/pokazaniya-v-a-vinogradova/
54	3215	Протокол допроса Н.П. Мясникова	117	691	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-n-p-myasnikova-6/
55	10757	В.П. Ольберг – Л.Л. Седову	117	847	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-v-p-olberga-l-l-sedovu-9/
56	3010	Протокол допроса В.В. Румянцева	118	759	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-v-v-rumyanczeva-4/
57	2996	Протокол допроса А.И. Толмазова	118	872	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-a-i-tolmazova-3/
58	3136	Протокол допроса Н.С. Антонова	119	803	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-n-s-antonova-8/
59	9110	Л.Л. Седов – В.П. Ольбергу	119	709	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-l-l-sedova-v-p-olbergu-7/
60	8520	Письмо Н.И. Бухарина И.В. Сталину	119	736	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	Бухарин	Бухарин	http://showtrials.ru/pismo-n-i-buharina-i-v-stalinu-4/
61	4483	Протокол допроса А.В. Перимова	120	781	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-a-v-perimova-5/
62	3210	Протокол допроса Н.С. Антонова	120	797	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-n-s-antonova-10/
63	4853	Записка А.Я. Свердлова Н.И. Ежову о восстановлении в рядах партии	123	832	КРЕМЛЕВСКОЕ ДЕЛО	ДРУГИЕ ДОКУМЕНТЫ	Прочие документы		http://showtrials.ru/zapiska-a-ya-sverdlova-n-i-ezhovu-o-vosstanovlenii-v-ryadah-partii/
