file	filename	chars	words	lines	html_tag_like	html_entity_like	nbsp_char	many_spaces	many_blank_lines	footnote_marker	archive_ref	editorial_braces	angle_editorial	stamp_marker
/tmp/showtrials-discovery/export-txt/10822_chernoviki-pisma-n-i-ezhova-i-v-stalinu-ob-obstoyatelstvah-samoubijstva-m-p-toms.txt	10822_chernoviki-pisma-n-i-ezhova-i-v-stalinu-ob-obstoyatelstvah-samoubijstva-m-p-toms.txt	14454	2134	143	7	0	10	0	0	6	12	26	7	0
/tmp/showtrials-discovery/export-txt/10828_pismo-v-p-olberga-v-pravlenie-nemeczkoj-obedinennoj-levoj-oppoziczii.txt	10828_pismo-v-p-olberga-v-pravlenie-nemeczkoj-obedinennoj-levoj-oppoziczii.txt	6818	1001	77	2	0	12	0	0	0	0	0	2	0
/tmp/showtrials-discovery/export-txt/10846_pismo-l-l-sedova-l-d-troczkomu-o-sozdanii-bloka-oppoziczij-v-sssr.txt	10846_pismo-l-l-sedova-l-d-troczkomu-o-sozdanii-bloka-oppoziczij-v-sssr.txt	3811	551	43	0	0	5	0	0	2	0	0	0	0
/tmp/showtrials-discovery/export-txt/10877_l-d-troczkij-v-p-olbergu.txt	10877_l-d-troczkij-v-p-olbergu.txt	1130	167	35	0	0	6	0	0	0	5	0	0	0
/tmp/showtrials-discovery/export-txt/10880_l-d-troczkij-v-p-olbergu-2.txt	10880_l-d-troczkij-v-p-olbergu-2.txt	1444	221	27	0	0	5	0	0	2	5	0	0	0
/tmp/showtrials-discovery/export-txt/10889_l-d-troczkij-v-p-olbergu-3.txt	10889_l-d-troczkij-v-p-olbergu-3.txt	1416	220	35	0	0	5	0	0	2	5	0	0	0
/tmp/showtrials-discovery/export-txt/10891_l-d-troczkij-v-p-olbergu-4.txt	10891_l-d-troczkij-v-p-olbergu-4.txt	2918	412	38	0	0	6	0	0	0	5	0	0	0
/tmp/showtrials-discovery/export-txt/10893_l-d-troczkij-v-p-olbergu-5.txt	10893_l-d-troczkij-v-p-olbergu-5.txt	2637	379	36	1	0	7	0	0	0	5	0	1	0
/tmp/showtrials-discovery/export-txt/10940_pismo-a-g-ramm-pfemfert-l-d-troczkomu.txt	10940_pismo-a-g-ramm-pfemfert-l-d-troczkomu.txt	2184	349	43	9	0	7	0	0	0	0	1	9	0
/tmp/showtrials-discovery/export-txt/10969_pismo-f-pfemferta-l-d-troczkomu-o-v-p-olberge.txt	10969_pismo-f-pfemferta-l-d-troczkomu-o-v-p-olberge.txt	13627	2084	93	22	0	16	0	0	0	0	0	22	0
/tmp/showtrials-discovery/export-txt/10979_v-p-olberg-l-d-troczkomu.txt	10979_v-p-olberg-l-d-troczkomu.txt	4243	617	46	1	0	6	0	0	0	0	1	1	0
/tmp/showtrials-discovery/export-txt/10982_v-p-olberg-l-d-troczkomu-2.txt	10982_v-p-olberg-l-d-troczkomu-2.txt	3407	508	62	4	0	8	0	0	0	0	0	4	0
/tmp/showtrials-discovery/export-txt/10984_v-p-olberg-l-d-troczkomu-3.txt	10984_v-p-olberg-l-d-troczkomu-3.txt	2166	316	42	1	0	5	0	0	0	0	0	1	0
/tmp/showtrials-discovery/export-txt/10987_v-p-olberg-l-d-troczkomu-4.txt	10987_v-p-olberg-l-d-troczkomu-4.txt	2921	415	42	6	0	5	0	0	0	0	0	6	0
/tmp/showtrials-discovery/export-txt/10991_10991-2.txt	10991_10991-2.txt	2267	312	44	4	0	6	0	0	0	0	0	4	0
/tmp/showtrials-discovery/export-txt/10996_v-p-olberg-l-d-troczkomu-5.txt	10996_v-p-olberg-l-d-troczkomu-5.txt	7802	1142	50	17	0	6	0	0	0	0	0	17	0
/tmp/showtrials-discovery/export-txt/10999_v-p-olberg-l-d-troczkomu-6.txt	10999_v-p-olberg-l-d-troczkomu-6.txt	3288	482	34	5	0	6	0	0	0	0	0	5	0
/tmp/showtrials-discovery/export-txt/11001_v-p-olberg-l-d-troczkomu-7.txt	11001_v-p-olberg-l-d-troczkomu-7.txt	1997	285	42	7	0	6	0	0	0	0	0	7	0
/tmp/showtrials-discovery/export-txt/11003_v-p-olberg-l-d-troczkomu-8.txt	11003_v-p-olberg-l-d-troczkomu-8.txt	2158	303	29	4	0	4	0	0	2	0	0	4	0
/tmp/showtrials-discovery/export-txt/11006_v-p-olberg-l-d-troczkomu-9.txt	11006_v-p-olberg-l-d-troczkomu-9.txt	502	70	30	1	0	5	0	0	0	0	0	1	0
/tmp/showtrials-discovery/export-txt/11032_l-l-sedov-l-d-troczkomu.txt	11032_l-l-sedov-l-d-troczkomu.txt	17952	2653	127	0	0	7	0	0	4	0	0	0	0
/tmp/showtrials-discovery/export-txt/11036_l-l-sedov-l-d-troczkomu-2.txt	11036_l-l-sedov-l-d-troczkomu-2.txt	5687	840	67	0	0	7	0	0	4	1	0	0	0
/tmp/showtrials-discovery/export-txt/11041_l-l-sedov-l-d-troczkomu-3.txt	11041_l-l-sedov-l-d-troczkomu-3.txt	1442	224	30	0	0	4	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11046_statya-v-p-olberga-programma-germanskogo-stalinizma.txt	11046_statya-v-p-olberga-programma-germanskogo-stalinizma.txt	11613	1582	65	0	0	6	0	0	2	0	9	0	0
/tmp/showtrials-discovery/export-txt/11077_zayavlenie-e-a-preobrazhenskogo-k-b-radeka-i-i-t-smilgi-o-razryve-s-oppozicziej.txt	11077_zayavlenie-e-a-preobrazhenskogo-k-b-radeka-i-i-t-smilgi-o-razryve-s-oppozicziej.txt	10509	1373	83	0	0	4	0	0	2	0	0	0	0
