id	date	modified	slug	link	status	type	format	template	categories	tags	meta_keys	acf_keys	top_level_keys
8373	1938-02-24T16:51:53	2022-04-18T10:58:29	zapis-razgovorov-po-obektu-v-87-12	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-12/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8371	1938-02-23T16:49:46	2022-04-18T10:58:05	zapis-razgovorov-po-obektu-v-87-11	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-11/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8369	1938-02-22T16:47:44	2022-04-18T10:57:42	zapis-razgovorov-po-obektu-v-87-10	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-10/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8367	1938-02-06T16:45:02	2022-04-18T10:57:26	zapis-razgovorov-po-obektu-v-87-9	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-9/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8359	1938-02-05T12:01:11	2022-04-18T10:56:58	zapis-razgovorov-po-obektu-v-87-8	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-8/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8357	1938-02-04T11:58:55	2022-04-18T10:56:41	zapis-razgovorov-po-obektu-v-87-7	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-7/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8355	1938-02-01T11:55:45	2022-04-18T10:56:20	zapis-razgovorov-po-obektu-v-87-6	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-6/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8350	1938-01-31T15:02:13	2022-04-18T10:55:54	zapis-razgovorov-po-obektu-v-87-5	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-5/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8348	1938-01-30T15:00:04	2022-06-09T13:54:01	zapis-razgovorov-po-obektu-v-87-4	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-4/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8346	1938-01-28T14:57:10	2022-04-18T10:55:09	zapis-razgovorov-po-obektu-v-87-3	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-3/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
