person	position	position_is_noisy	document_count	person_total_documents	share_of_person_documents
В.М. Попова	агент	no	1	7	0.1429
В.М. Попова	заместитель	no	1	7	0.1429
В.М. Попова	комиссар	no	1	7	0.1429
В.М. Попова	правый	yes	1	7	0.1429
В.М. Попова	редактор	no	1	7	0.1429
В.М. Попова	руководитель	no	1	7	0.1429
В.М. Попова	секретарь	no	1	7	0.1429
В.М. Попова	сотрудник	no	1	7	0.1429
В.М. Примакова	комиссар	no	1	2	0.5
В.М. Примакова	троцкист	yes	1	2	0.5
В.М. Примакова	член	yes	1	2	0.5
В.М. Рохинсона	комиссар	no	1	2	0.5
В.М. Рохинсона	правый	yes	1	2	0.5
В.М. Рохинсона	секретарь	no	1	2	0.5
В.М. Рохинсона	сотрудник	no	1	2	0.5
В.М. Рохинсона	троцкист	yes	1	2	0.5
В.Н. Голованова	директор	no	1	2	0.5
В.Н. Голованова	заместитель	no	1	2	0.5
В.Н. Голованова	комиссар	no	1	2	0.5
В.Н. Голованова	секретарь	no	1	2	0.5
В.Н. Голованова	троцкист	yes	1	2	0.5
В.Н. Голованова	член	yes	1	2	0.5
В.Н. Гутман	полпред	no	1	1	1.0
В.Н. Гутман	троцкист	yes	1	1	1.0
В.Н. Гутман	член	yes	1	1	1.0
В.Н. Ракова	директор	no	1	2	0.5
В.Н. Слепкова	директор	no	1	1	1.0
В.Н. Слепкова	заместитель	no	1	1	1.0
В.Н. Слепкова	кандидат	yes	1	1	1.0
В.Н. Слепкова	комиссар	no	1	1	1.0
В.Н. Слепкова	правый	yes	1	1	1.0
В.Н. Слепкова	представитель	yes	1	1	1.0
В.Н. Слепкова	руководитель	no	1	1	1.0
В.Н. Слепкова	секретарь	no	1	1	1.0
В.Н. Слепкова	следователь	no	1	1	1.0
В.Н. Слепкова	сотрудник	no	1	1	1.0
В.Н. Слепкова	троцкист	yes	1	1	1.0
В.Н. Слепкова	член	yes	1	1	1.0
В.Н. Цатурова-Большакова	секретарь	no	1	2	0.5
В.Н. Яковлевой	заместитель	no	1	2	0.5
В.Н. Яковлевой	кандидат	yes	1	2	0.5
В.Н. Яковлевой	комиссар	no	1	2	0.5
В.Н. Яковлевой	начальник	no	1	2	0.5
В.Н. Яковлевой	подсудимый	no	1	2	0.5
В.Н. Яковлевой	правый	yes	1	2	0.5
В.Н. Яковлевой	председатель	no	1	2	0.5
В.Н. Яковлевой	руководитель	no	1	2	0.5
В.П. Второва	прокурор	no	1	1	1.0
В.П. Второва	руководитель	no	1	1	1.0
В.П. Второва	следователь	no	1	1	1.0
В.П. Второва	троцкист	yes	1	1	1.0
В.П. Второва	член	yes	1	1	1.0
В.П. Потемкина	адвокат	no	1	3	0.3333
В.П. Потемкина	обвиняемый	no	1	3	0.3333
В.П. Потемкина	представитель	yes	1	3	0.3333
В.П. Потемкина	троцкист	yes	1	3	0.3333
В.П. Потемкина	член	yes	1	3	0.3333
В.П. Шевелев-Лубков	кандидат	yes	1	1	1.0
В.П. Шевелев-Лубков	комиссар	no	1	1	1.0
В.П. Шевелев-Лубков	нарком	no	1	1	1.0
В.П. Шевелев-Лубков	начальник	no	1	1	1.0
В.П. Шевелев-Лубков	правый	yes	1	1	1.0
В.П. Шевелев-Лубков	председатель	no	1	1	1.0
В.П. Шевелев-Лубков	секретарь	no	1	1	1.0
В.П. Шевелев-Лубков	троцкист	yes	1	1	1.0
В.П. Шевелев-Лубков	член	yes	1	1	1.0
В.С. Левина	нарком	no	1	9	0.1111
В.С. Левина	обвиняемый	no	1	9	0.1111
В.С. Левина	правый	yes	1	9	0.1111
В.С. Левина	руководитель	no	1	9	0.1111
В.С. Левина	секретарь	no	1	9	0.1111
В.Ф. Бейтельспахера	агент	no	1	1	1.0
В.Ф. Бейтельспахера	нарком	no	1	1	1.0
В.Ф. Бейтельспахера	представитель	yes	1	1	1.0
В.Ф. Бейтельспахера	руководитель	no	1	1	1.0
В.Ф. Бейтельспахера	троцкист	yes	1	1	1.0
В.Ф. Бейтельспахера	член	yes	1	1	1.0
В.Ф. Головина	кандидат	yes	1	2	0.5
В.Ф. Головина	представитель	yes	1	2	0.5
В.Ф. Захариной	комиссар	no	1	1	1.0
В.Ф. Захариной	руководитель	no	1	1	1.0
В.Ф. Захариной	секретарь	no	1	1	1.0
В.Ф. Захариной	сотрудник	no	1	1	1.0
В.Ф. Захариной	троцкист	yes	1	1	1.0
В.Ф. Логинова	агент	no	1	7	0.1429
В.Ф. Логинова	обвиняемый	no	1	7	0.1429
В.Ф. Логинова	посол	no	1	7	0.1429
В.Ф. Логинова	представитель	yes	1	7	0.1429
В.Ф. Логинова	руководитель	no	1	7	0.1429
В.Ф. Логиновым	вредитель	yes	1	1	1.0
В.Ф. Логиновым	директор	no	1	1	1.0
В.Ф. Логиновым	заместитель	no	1	1	1.0
В.Ф. Логиновым	кандидат	yes	1	1	1.0
В.Ф. Логиновым	комиссар	no	1	1	1.0
В.Ф. Логиновым	нарком	no	1	1	1.0
В.Ф. Логиновым	начальник	no	1	1	1.0
В.Ф. Логиновым	обвиняемый	no	1	1	1.0
В.Ф. Логиновым	председатель	no	1	1	1.0
В.Ф. Логиновым	руководитель	no	1	1	1.0
В.Ф. Логиновым	секретарь	no	1	1	1.0
В.Ф. Логиновым	следователь	no	1	1	1.0
В.Ф. Логиновым	троцкист	yes	1	1	1.0
В.Ф. Логиновым	член	yes	1	1	1.0
В.Ф. Степанова	начальник	no	1	1	1.0
В.Ф. Степанова	обвиняемый	no	1	1	1.0
В.Ф. Степанова	правый	yes	1	1	1.0
В.Ф. Степанова	троцкист	yes	1	1	1.0
В.Ф. Степанова	член	yes	1	1	1.0
В.Я. Головский-Голощапов	нарком	no	1	5	0.2
В.Я. Головский-Голощапов	обвиняемый	no	1	5	0.2
В.Я. Головский-Голощапов	посол	no	1	5	0.2
В.Я. Головский-Голощапов	секретарь	no	1	5	0.2
В.Я. Головский-Голощапов	сотрудник	no	1	5	0.2
В.Я. Головский-Голощапов	член	yes	1	5	0.2
В.Я. Родака	начальник	no	1	1	1.0
В.Я. Родака	обвиняемый	no	1	1	1.0
В.Я. Родака	троцкист	yes	1	1	1.0
В.Я. Родака	член	yes	1	1	1.0
Г.А. Абрамова	обвиняемый	no	1	1	1.0
Г.А. Абрамова	руководитель	no	1	1	1.0
Г.А. Абрамова	троцкист	yes	1	1	1.0
Г.А. Абрамова	член	yes	1	1	1.0
Г.А. Колоскова	директор	no	1	2	0.5
Г.А. Колоскова	заместитель	no	1	2	0.5
Г.А. Колоскова	начальник	no	1	2	0.5
Г.А. Колоскова	руководитель	no	1	2	0.5
Г.А. Колоскова	сотрудник	no	1	2	0.5
Г.А. Колоскова	член	yes	1	2	0.5
Г.А. Молчанова	агент	no	1	8	0.125
Г.А. Молчанова	заместитель	no	1	8	0.125
Г.А. Молчанова	кандидат	yes	1	8	0.125
Г.А. Молчанова	нарком	no	1	8	0.125
Г.А. Молчанова	наркомвнудел	no	1	8	0.125
Г.А. Молчанова	начальник	no	1	8	0.125
Г.А. Молчанова	обвиняемый	no	1	8	0.125
Г.А. Молчанова	представитель	yes	1	8	0.125
Г.А. Молчанова	прокурор	no	1	8	0.125
Г.А. Молчанова	свидетель	no	1	8	0.125
Г.А. Татулова	директор	no	1	1	1.0
Г.А. Татулова	комиссар	no	1	1	1.0
Г.А. Татулова	начальник	no	1	1	1.0
Г.А. Татулова	правый	yes	1	1	1.0
Г.А. Татулова	председатель	no	1	1	1.0
Г.А. Татулова	редактор	no	1	1	1.0
Г.А. Татулова	секретарь	no	1	1	1.0
Г.А. Татулова	сотрудник	no	1	1	1.0
Г.А. Татулова	троцкист	yes	1	1	1.0
Г.А. Татулова	член	yes	1	1	1.0
Г.А. Татуловым	обвиняемый	no	1	1	1.0
Г.А. Татуловым	троцкист	yes	1	1	1.0
Г.Б. Берндта	правый	yes	1	1	1.0
Г.Б. Берндта	троцкист	yes	1	1	1.0
Г.Б. Берндта	член	yes	1	1	1.0
Г.Б. Либермана	комиссар	no	1	1	1.0
Г.Б. Либермана	нарком	no	1	1	1.0
Г.Б. Либермана	начальник	no	1	1	1.0
Г.Б. Либермана	полпред	no	1	1	1.0
Г.Б. Либермана	председатель	no	1	1	1.0
Г.Б. Либермана	руководитель	no	1	1	1.0
Г.Б. Либермана	секретарь	no	1	1	1.0
Г.Б. Либермана	сотрудник	no	1	1	1.0
Г.Б. Либермана	троцкист	yes	1	1	1.0
Г.Б. Либермана	член	yes	1	1	1.0
Г.Б. Синани-Скалов	агент	no	1	12	0.0833
Г.Б. Синани-Скалов	вредитель	yes	1	12	0.0833
Г.Б. Синани-Скалов	наркомвнудел	no	1	12	0.0833
Г.Б. Синани-Скалов	посол	no	1	12	0.0833
Г.Б. Синани-Скалов	редактор	no	1	12	0.0833
Г.В. Соколова	комиссар	no	1	5	0.2
Г.В. Соколовым	нарком	no	1	2	0.5
Г.В. Соколовым	троцкист	yes	1	2	0.5
Г.Г. Матитайшвили	нарком	no	1	1	1.0
Г.Г. Матитайшвили	руководитель	no	1	1	1.0
Г.Г. Матитайшвили	троцкист	yes	1	1	1.0
Г.Г. Матитайшвили	член	yes	1	1	1.0
Г.Г. Ягода	подсудимый	no	1	158	0.0063
Г.Г. Ягода	судья	no	1	158	0.0063
Г.Д. Арсентьева	комиссар	no	1	1	1.0
Г.Д. Арсентьева	начальник	no	1	1	1.0
Г.Д. Арсентьева	обвиняемый	no	1	1	1.0
Г.Д. Арсентьева	руководитель	no	1	1	1.0
Г.Д. Арсентьева	секретарь	no	1	1	1.0
Г.Д. Арсентьева	троцкист	yes	1	1	1.0
Г.Д. Арсентьева	член	yes	1	1	1.0
Г.Е. Горбачева	председатель	no	1	3	0.3333
Г.Е. Евдокимова	агент	no	1	14	0.0714
Г.Е. Евдокимова	комиссар	no	1	14	0.0714
Г.Е. Евдокимова	начальник	no	1	14	0.0714
Г.Е. Евдокимова	обвиняемый	no	1	14	0.0714
Г.Е. Евдокимова	посол	no	1	14	0.0714
Г.Е. Евдокимова	представитель	yes	1	14	0.0714
Г.Е. Евдокимова	прокурор	no	1	14	0.0714
Г.Е. Евдокимова	руководитель	no	1	14	0.0714
Г.Е. Евдокимова	сотрудник	no	1	14	0.0714
Г.Е. Евдокимовым	правый	yes	1	4	0.25
Г.Е. Евдокимовым	руководитель	no	1	4	0.25
Г.Е. Меерсона	директор	no	1	1	1.0
Г.Е. Меерсона	заместитель	no	1	1	1.0
Г.Е. Меерсона	полпред	no	1	1	1.0
Г.Е. Меерсона	председатель	no	1	1	1.0
Г.Е. Меерсона	редактор	no	1	1	1.0
Г.Е. Меерсона	секретарь	no	1	1	1.0
Г.Е. Меерсона	сотрудник	no	1	1	1.0
Г.Е. Меерсона	троцкист	yes	1	1	1.0
Г.Е. Меерсона	член	yes	1	1	1.0
Г.Е. Прокофьева	полпред	no	1	33	0.0303
Г.Е. Прокофьева	посол	no	1	33	0.0303
Г.Е. Прокофьева	свидетель	no	1	33	0.0303
Г.Е. Пушина	агент	no	1	2	0.5
Г.Е. Пушина	нарком	no	1	2	0.5
Г.Е. Пушина	посол	no	1	2	0.5
Г.Е. Пушина	представитель	yes	1	2	0.5
Г.Е. Пушина	сотрудник	no	1	2	0.5
Г.Е. Пушина	член	yes	1	2	0.5
Г.И. Исаева	правый	yes	1	1	1.0
Г.И. Исаева	председатель	no	1	1	1.0
Г.И. Исаева	член	yes	1	1	1.0
Г.И. Миронова	троцкист	yes	1	1	1.0
Г.И. Сафарова	адвокат	no	1	32	0.0312
Г.И. Сафарова	заместитель	no	1	32	0.0312
Г.И. Сафарова	наркомвнудел	no	1	32	0.0312
Г.И. Сафарова	начальник	no	1	32	0.0312
Г.И. Сафарова	прокурор	no	1	32	0.0312
Г.И. Сафарова	следователь	no	1	32	0.0312
Г.И. Сафаровым	агент	no	1	3	0.3333
Г.И. Сафаровым	нарком	no	1	3	0.3333
Г.И. Сафаровым	обвиняемый	no	1	3	0.3333
Г.И. Сафаровым	полпред	no	1	3	0.3333
Г.И. Сафаровым	правый	yes	1	3	0.3333
Г.И. Сафаровым	представитель	yes	1	3	0.3333
Г.И. Сафаровым	секретарь	no	1	3	0.3333
Г.И. Сафаровым	следователь	no	1	3	0.3333
Г.И. Серебряковой	кандидат	yes	1	1	1.0
Г.И. Серебряковой	комиссар	no	1	1	1.0
Г.И. Серебряковой	правый	yes	1	1	1.0
Г.И. Серебряковой	председатель	no	1	1	1.0
Г.И. Серебряковой	секретарь	no	1	1	1.0
Г.И. Серебряковой	сотрудник	no	1	1	1.0
Г.И. Серебряковой	член	yes	1	1	1.0
Г.И. Шварца	нарком	no	1	2	0.5
Г.К. Орджоникидзе	вредитель	yes	1	3	0.3333
Г.К. Орджоникидзе	директор	no	1	3	0.3333
Г.К. Орджоникидзе	комиссар	no	1	3	0.3333
Г.К. Фельдмана	агент	no	1	1	1.0
Г.К. Фельдмана	директор	no	1	1	1.0
Г.К. Фельдмана	нарком	no	1	1	1.0
Г.К. Фельдмана	начальник	no	1	1	1.0
Г.К. Фельдмана	обвиняемый	no	1	1	1.0
Г.К. Фельдмана	редактор	no	1	1	1.0
Г.К. Фельдмана	руководитель	no	1	1	1.0
Г.К. Фельдмана	троцкист	yes	1	1	1.0
Г.К. Фельдмана	член	yes	1	1	1.0
Г.Л. Хасина	агент	no	1	4	0.25
Г.Л. Хасина	заместитель	no	1	4	0.25
Г.Л. Хасина	редактор	no	1	4	0.25
Г.Л. Хасина	руководитель	no	1	4	0.25
Г.Л. Хасина	сотрудник	no	1	4	0.25
Г.Л. Шкловского	комиссар	no	1	2	0.5
Г.Л. Шкловского	руководитель	no	1	2	0.5
Г.Л. Шкловского	секретарь	no	1	2	0.5
Г.М. Аркуса	заместитель	no	1	6	0.1667
Г.М. Аркуса	нарком	no	1	6	0.1667
Г.М. Аркуса	наркомвнудел	no	1	6	0.1667
Г.М. Аркуса	начальник	no	1	6	0.1667
Г.М. Аркуса	представитель	yes	1	6	0.1667
Г.М. Аркуса	свидетель	no	1	6	0.1667
Г.М. Артеменко	руководитель	no	1	3	0.3333
Г.М. Дрязгова	секретарь	no	1	1	1.0
Г.М. Дрязгова	член	yes	1	1	1.0
Г.М. Ивановой	директор	no	1	1	1.0
Г.М. Ивановой	кандидат	yes	1	1	1.0
Г.М. Ивановой	член	yes	1	1	1.0
Г.М. Маленкова	секретарь	no	1	1	1.0
Г.М. Маленкова	сотрудник	no	1	1	1.0
Г.М. Маленкова	троцкист	yes	1	1	1.0
Г.М. Маленкову	заместитель	no	1	1	1.0
Г.М. Маленкову	начальник	no	1	1	1.0
Г.М. Маленкову	секретарь	no	1	1	1.0
Г.М. Маленкову	троцкист	yes	1	1	1.0
Г.М. Маленкову	член	yes	1	1	1.0
Г.М. Сыроквашева	руководитель	no	1	1	1.0
Г.М. Сыроквашева	секретарь	no	1	1	1.0
Г.М. Сыроквашева	троцкист	yes	1	1	1.0
Г.М. Сыроквашева	член	yes	1	1	1.0
Г.П. Адамяна	член	yes	1	1	1.0
Г.П. Вяткина	кандидат	yes	1	1	1.0
Г.П. Вяткина	комиссар	no	1	1	1.0
Г.П. Вяткина	нарком	no	1	1	1.0
Г.П. Вяткина	правый	yes	1	1	1.0
Г.П. Вяткина	секретарь	no	1	1	1.0
Г.П. Вяткина	троцкист	yes	1	1	1.0
Г.П. Вяткина	член	yes	1	1	1.0
Г.П. Поташникова	начальник	no	1	2	0.5
Г.П. Поташникова	руководитель	no	1	2	0.5
Г.П. Поташникова	троцкист	yes	1	2	0.5
Г.Р. Николаева	руководитель	no	1	1	1.0
Г.Р. Николаева	секретарь	no	1	1	1.0
Г.Р. Николаева	троцкист	yes	1	1	1.0
Г.Р. Николаева	член	yes	1	1	1.0
Г.С. Биткера	адвокат	no	1	1	1.0
Г.С. Биткера	комиссар	no	1	1	1.0
Г.С. Биткера	начальник	no	1	1	1.0
Г.С. Биткера	правый	yes	1	1	1.0
Г.С. Биткера	председатель	no	1	1	1.0
Г.С. Биткера	руководитель	no	1	1	1.0
Г.С. Биткера	секретарь	no	1	1	1.0
Г.С. Биткера	сотрудник	no	1	1	1.0
Г.С. Биткера	троцкист	yes	1	1	1.0
Г.С. Биткера	член	yes	1	1	1.0
Г.С. Герасимато	директор	no	1	1	1.0
Г.С. Герасимато	кандидат	yes	1	1	1.0
Г.С. Герасимато	комиссар	no	1	1	1.0
Г.С. Герасимато	председатель	no	1	1	1.0
Г.С. Герасимато	редактор	no	1	1	1.0
Г.С. Герасимато	секретарь	no	1	1	1.0
Г.С. Герасимато	троцкист	yes	1	1	1.0
Г.С. Герасимато	член	yes	1	1	1.0
Г.С. Зайделя	директор	no	1	1	1.0
Г.С. Зайделя	нарком	no	1	1	1.0
Г.С. Зайделя	обвиняемый	no	1	1	1.0
Г.С. Зайделя	председатель	no	1	1	1.0
Г.С. Зайделя	руководитель	no	1	1	1.0
Г.С. Зайделя	сотрудник	no	1	1	1.0
Г.С. Зайделя	троцкист	yes	1	1	1.0
Г.С. Зайделя	член	yes	1	1	1.0
Г.С. Люшкову	комиссар	no	1	1	1.0
Г.С. Люшкову	начальник	no	1	1	1.0
Г.С. Люшкову	обвиняемый	no	1	1	1.0
Г.С. Люшкову	правый	yes	1	1	1.0
Г.С. Люшкову	прокурор	no	1	1	1.0
Г.С. Люшкову	секретарь	no	1	1	1.0
Г.С. Люшкову	троцкист	yes	1	1	1.0
Г.С. Люшкову	член	yes	1	1	1.0
Г.С. Тымянского	директор	no	1	1	1.0
Г.С. Тымянского	заместитель	no	1	1	1.0
Г.С. Тымянского	комиссар	no	1	1	1.0
Г.С. Тымянского	начальник	no	1	1	1.0
Г.С. Тымянского	руководитель	no	1	1	1.0
Г.С. Тымянского	секретарь	no	1	1	1.0
Г.С. Тымянского	сотрудник	no	1	1	1.0
Г.С. Тымянского	троцкист	yes	1	1	1.0
Г.С. Тымянского	член	yes	1	1	1.0
Г.С. Фридлянда	правый	yes	1	2	0.5
Г.С. Фридлянда	редактор	no	1	2	0.5
Г.С. Фридлянда	секретарь	no	1	2	0.5
Г.С. Фридлянда	сотрудник	no	1	2	0.5
Г.Ф. Овчинникова	директор	no	1	3	0.3333
Г.Ф. Овчинникова	кандидат	yes	1	3	0.3333
Г.Ф. Овчинникова	обвиняемый	no	1	3	0.3333
Г.Ф. Овчинникова	правый	yes	1	3	0.3333
Г.Ф. Овчинникова	представитель	yes	1	3	0.3333
Г.Ф. Попова	директор	no	1	12	0.0833
Г.Ф. Попова	начальник	no	1	12	0.0833
Г.Ф. Попова	следователь	no	1	12	0.0833
Г.Ф. Самойловича	обвиняемый	no	1	1	1.0
Г.Ф. Самойловича	руководитель	no	1	1	1.0
Г.Ф. Самойловича	секретарь	no	1	1	1.0
Г.Ф. Самойловича	троцкист	yes	1	1	1.0
Г.Ф. Самойловича	член	yes	1	1	1.0
Г.Ф. Федорова	нарком	no	1	8	0.125
Г.Ф. Федорова	наркомвнудел	no	1	8	0.125
Г.Ф. Федорова	руководитель	no	1	8	0.125
Г.Ф. Федорова	секретарь	no	1	8	0.125
Г.Ф. Федоровым	обвиняемый	no	1	1	1.0
Г.Я. Маренко	обвиняемый	no	1	2	0.5
Г.Я. Маренко	руководитель	no	1	2	0.5
Г.Я. Маренко	сотрудник	no	1	2	0.5
Г.Я. Маренко	троцкист	yes	1	2	0.5
Г.Я. Маренко	член	yes	1	2	0.5
Гавен	агент	no	1	2	0.5
Гавен	кандидат	yes	1	2	0.5
Гавен	комиссар	no	1	2	0.5
Гавен	нарком	no	1	2	0.5
Гавен	правый	yes	1	2	0.5
Гавен	представитель	yes	1	2	0.5
Гавен	секретарь	no	1	2	0.5
Гавен	сотрудник	no	1	2	0.5
Д.А. Аникина	директор	no	1	1	1.0
Д.А. Аникина	заместитель	no	1	1	1.0
Д.А. Аникина	руководитель	no	1	1	1.0
Д.А. Аникина	свидетель	no	1	1	1.0
Д.А. Аникина	секретарь	no	1	1	1.0
Д.А. Аникина	троцкист	yes	1	1	1.0
Д.А. Аникина	член	yes	1	1	1.0
Д.А. Аникиным	директор	no	1	1	1.0
Д.А. Аникиным	обвиняемый	no	1	1	1.0
Д.А. Аникиным	руководитель	no	1	1	1.0
Д.А. Аникиным	свидетель	no	1	1	1.0
Д.А. Аникиным	троцкист	yes	1	1	1.0
Д.А. Карцева	председатель	no	1	2	0.5
Д.А. Карцева	член	yes	1	2	0.5
Д.А. Сниткина	член	yes	1	1	1.0
Д.А. Тайца	директор	no	1	1	1.0
Д.А. Тайца	подсудимый	no	1	1	1.0
Д.А. Тайца	руководитель	no	1	1	1.0
Д.А. Тайца	секретарь	no	1	1	1.0
Д.А. Тайца	троцкист	yes	1	1	1.0
Д.А. Тайца	член	yes	1	1	1.0
Д.А. Шмидта	директор	no	1	6	0.1667
Д.А. Шмидта	обвиняемый	no	1	6	0.1667
Д.А. Шмидта	председатель	no	1	6	0.1667
Д.А. Шмидта	прокурор	no	1	6	0.1667
Д.А. Шмидта	сотрудник	no	1	6	0.1667
Д.В. Полуяна	троцкист	yes	1	1	1.0
Д.В. Сафронова	нарком	no	1	1	1.0
Д.В. Сафронова	начальник	no	1	1	1.0
Д.В. Сафронова	обвиняемый	no	1	1	1.0
Д.В. Сафронова	секретарь	no	1	1	1.0
Д.В. Сафронова	троцкист	yes	1	1	1.0
Д.В. Сафронова	член	yes	1	1	1.0
Д.З. Мануильскому	агент	no	1	2	0.5
Д.З. Мануильскому	заместитель	no	1	2	0.5
Д.З. Мануильскому	кандидат	yes	1	2	0.5
Д.З. Мануильскому	правый	yes	1	2	0.5
Д.З. Мануильскому	секретарь	no	1	2	0.5
Д.З. Мануильскому	член	yes	1	2	0.5
Д.И. Антипаса	кандидат	yes	1	2	0.5
Д.И. Антипаса	комиссар	no	1	2	0.5
Д.И. Антипаса	правый	yes	1	2	0.5
Д.И. Антипаса	председатель	no	1	2	0.5
Д.И. Антипаса	сотрудник	no	1	2	0.5
Д.И. Антипаса	троцкист	yes	1	2	0.5
Д.И. Антипаса	член	yes	1	2	0.5
Д.И. Матвеева	руководитель	no	1	2	0.5
Д.Л. Игнатюка	нарком	no	1	4	0.25
Д.Л. Игнатюка	правый	yes	1	4	0.25
Д.Л. Игнатюка	представитель	yes	1	4	0.25
Д.Л. Игнатюка	руководитель	no	1	4	0.25
Д.Л. Игнатюка	сотрудник	no	1	4	0.25
Д.М. Лупашко	комиссар	no	1	1	1.0
Д.М. Лупашко	нарком	no	1	1	1.0
Д.М. Лупашко	обвиняемый	no	1	1	1.0
Д.М. Лупашко	председатель	no	1	1	1.0
Д.М. Лупашко	представитель	yes	1	1	1.0
Д.М. Лупашко	руководитель	no	1	1	1.0
Д.М. Лупашко	секретарь	no	1	1	1.0
Д.М. Лупашко	сотрудник	no	1	1	1.0
Д.М. Лупашко	троцкист	yes	1	1	1.0
Д.М. Лупашко	член	yes	1	1	1.0
Д.Н. Ширяева	нарком	no	1	6	0.1667
Д.Н. Ширяева	обвиняемый	no	1	6	0.1667
Д.Н. Ширяева	представитель	yes	1	6	0.1667
Д.П. Албанского	троцкист	yes	1	1	1.0
Д.П. Албанского	член	yes	1	1	1.0
Д.П. Бухарцева	корреспондент	no	1	2	0.5
Д.П. Бухарцева	представитель	yes	1	2	0.5
Д.П. Бухарцева	руководитель	no	1	2	0.5
Д.П. Бухарцева	сотрудник	no	1	2	0.5
Д.П. Бухарцева	член	yes	1	2	0.5
Д.П. Марецкого	агент	no	1	3	0.3333
Д.П. Марецкого	вредитель	yes	1	3	0.3333
Д.П. Марецкого	директор	no	1	3	0.3333
Д.П. Марецкого	комиссар	no	1	3	0.3333
Д.П. Марецкого	нарком	no	1	3	0.3333
Д.П. Марецкого	подсудимый	no	1	3	0.3333
Д.П. Марецкого	председатель	no	1	3	0.3333
Д.П. Марецкого	представитель	yes	1	3	0.3333
Д.П. Марецкого	редактор	no	1	3	0.3333
Д.П. Марецкого	секретарь	no	1	3	0.3333
Д.П. Марецкого	троцкист	yes	1	3	0.3333
Д.П. Розита	комиссар	no	1	1	1.0
Д.П. Розита	начальник	no	1	1	1.0
Д.П. Розита	правый	yes	1	1	1.0
Д.П. Розита	руководитель	no	1	1	1.0
Д.П. Розита	секретарь	no	1	1	1.0
Д.П. Розита	сотрудник	no	1	1	1.0
Д.П. Розита	троцкист	yes	1	1	1.0
Д.П. Розита	член	yes	1	1	1.0
Д.С. Азбеля	член	yes	1	2	0.5
Д.С. Гуревича	заместитель	no	1	1	1.0
Д.С. Гуревича	кандидат	yes	1	1	1.0
Д.С. Гуревича	нарком	no	1	1	1.0
Д.С. Гуревича	начальник	no	1	1	1.0
Д.С. Гуревича	правый	yes	1	1	1.0
Д.С. Гуревича	руководитель	no	1	1	1.0
Д.С. Гуревича	секретарь	no	1	1	1.0
Д.С. Гуревича	троцкист	yes	1	1	1.0
Д.С. Гуревича	член	yes	1	1	1.0
Д.С. Зенцова	комиссар	no	1	1	1.0
Д.С. Зенцова	обвиняемый	no	1	1	1.0
Д.С. Зенцова	секретарь	no	1	1	1.0
Д.С. Зенцова	троцкист	yes	1	1	1.0
Д.С. Тайца	агент	no	1	1	1.0
Д.С. Тайца	директор	no	1	1	1.0
Д.С. Тайца	корреспондент	no	1	1	1.0
Д.С. Тайца	начальник	no	1	1	1.0
Д.С. Тайца	полпред	no	1	1	1.0
Д.С. Тайца	член	yes	1	1	1.0
Д.Т. Шермергорна	председатель	no	1	2	0.5
Д.Т. Шермергорна	руководитель	no	1	2	0.5
Д.Т. Шермергорна	сотрудник	no	1	2	0.5
Д.Ф. Бузина	директор	no	1	1	1.0
Д.Ф. Бузина	правый	yes	1	1	1.0
Д.Ф. Бузина	председатель	no	1	1	1.0
Д.Ф. Бузина	секретарь	no	1	1	1.0
Д.Ф. Бузина	член	yes	1	1	1.0
Д.Ф. Бузиным	правый	yes	1	1	1.0
Д.Ф. Бузиным	секретарь	no	1	1	1.0
Д.Я. Александрова	вредитель	yes	1	1	1.0
Д.Я. Александрова	заместитель	no	1	1	1.0
Д.Я. Александрова	комиссар	no	1	1	1.0
Д.Я. Александрова	нарком	no	1	1	1.0
Д.Я. Александрова	начальник	no	1	1	1.0
Д.Я. Александрова	правый	yes	1	1	1.0
Д.Я. Александрова	секретарь	no	1	1	1.0
Д.Я. Александрова	сотрудник	no	1	1	1.0
Д.Я. Александрова	троцкист	yes	1	1	1.0
Д.Я. Александрова	член	yes	1	1	1.0
Дмитриев	кандидат	yes	1	17	0.0588
Дмитриев	обвиняемый	no	1	17	0.0588
Дмитриев	представитель	yes	1	17	0.0588
Дмитриев	прокурор	no	1	17	0.0588
Дмитриев	следователь	no	1	17	0.0588
Е.А. Афанасьева	нарком	no	1	2	0.5
Е.А. Афанасьева	председатель	no	1	2	0.5
Е.А. Афанасьева	представитель	yes	1	2	0.5
Е.А. Афанасьева	троцкист	yes	1	2	0.5
Е.А. Дрейцера	заместитель	no	1	7	0.1429
Е.А. Дрейцера	кандидат	yes	1	7	0.1429
Е.А. Дрейцера	подсудимый	no	1	7	0.1429
Е.А. Дрейцера	полпред	no	1	7	0.1429
Е.А. Дрейцера	представитель	yes	1	7	0.1429
Е.А. Дрейцера	прокурор	no	1	7	0.1429
Е.А. Дрейцера	следователь	no	1	7	0.1429
Е.А. Дрейцера	сотрудник	no	1	7	0.1429
Е.А. Петровой	обвиняемый	no	1	3	0.3333
Е.А. Петровой	член	yes	1	3	0.3333
Е.А. Преображенского	правый	yes	1	1	1.0
Е.А. Преображенского	троцкист	yes	1	1	1.0
Е.Б. Федосеева	директор	no	1	1	1.0
Е.Б. Федосеева	заместитель	no	1	1	1.0
Е.Б. Федосеева	комиссар	no	1	1	1.0
Е.Б. Федосеева	нарком	no	1	1	1.0
Е.Б. Федосеева	начальник	no	1	1	1.0
