person_a	person_b	document_count
Г.Г. Ягода	Е.Ф. Куликова	2
Ежов	Н.И. Москалева	2
В.А. Балицкого	В.Ф. Логинова	2
Г.Г. Ягода	М.О. Зюка	2
Б.И. Кузьмичева	Ежов	2
А.Ю. Тивеля	Г.Г. Ягода	2
Г.Г. Ягода	Пригожин	2
Ежов	Пригожин	2
Г.М. Аркуса	Ежов	2
Ежов	С.М. Закс-Гладнев	2
Г.Г. Ягода	К.Б. Берман-Юрин	2
К.Б. Берман-Юрин	Сталин	2
Г.Г. Ягода	С.Я. Бабахана	2
С.Я. Бабахана	Сталин	2
А.В. Галкина	Г.Г. Ягода	2
А.В. Галкина	Сталин	2
Г.Г. Ягода	Н.Л. Лурье	2
Г.Г. Ягода	Д.А. Шмидта	2
А.И. Биркенгофа	Г.Г. Ягода	2
Сталин	Х.Г. Гуревича	2
Г.Г. Ягода	Радек	2
Г.А. Молчанова	Сталин	2
К.Е. Ворошилова	Сталин	2
И.И. Рейнгольда	Л.Я. Файвиловича	2
Е.К. Коршунова	И.П. Бакаева	2
Г.А. Молчанова	Е.В. Цетлина	2
Агранов	Г.А. Молчанова	2
А.Я. Вышинский	Бухарин	2
Ежов	Я.Н. Дробниса	2
Сталин	Я.Н. Дробниса	2
В.Ф. Логиновым	С.А. Ратайчаком	2
Г.Г. Ягода	Дмитриев	2
Г.Г. Ягода	Г.С. Фридлянда	2
А.И. Биркенгофа	Г.А. Молчанова	2
Бухарин	Л.В. Когану	1
Л.В. Когану	Н.Д. Зарицкого	1
А.М. Лариной	Бухарин	1
Зиновьев	С.М. Гессена	1
Ежов	Н.М. Букалова	1
Н.М. Букалова	Сталин	1
А.Ф. Ульянова	Ежов	1
А.Ф. Ульянова	Сталин	1
Агранов	Бухарин	1
Ежов	С.М. Тамаркина	1
С.М. Тамаркина	Сталин	1
Ежов	М.Л. Левина	1
М.Л. Левина	Сталин	1
Б.Л. Колесникова	Ежов	1
Б.Л. Колесникова	Сталин	1
Д.П. Марецкого	Ежов	1
Д.П. Марецкого	Сталин	1
Ежов	Ю.И. Дуката	1
Сталин	Ю.И. Дуката	1
Бухарин	Членов	1
Г.С. Герасимато	Ежов	1
Г.С. Герасимато	Сталин	1
А.А. Табанакова	Ежов	1
А.А. Табанакова	Сталин	1
В.В. Шмидта	Рыков	1
Радин	Рыков	1
Б.П. Нестеровым	Ежов	1
Б.П. Нестеровым	Сталин	1
Б.П. Нестеровым	Рыков	1
А.Д. Арефьева	Ежов	1
А.Д. Арефьева	Сталин	1
Ежов	Я.К. Яглома	1
Сталин	Я.К. Яглома	1
Г.Г. Ягода	Гавен	1
Гавен	Сталин	1
Г.Е. Прокофьева	О.А. Мешковской	1
Ежов	О.А. Мешковской	1
Г.Е. Прокофьева	С.Ф. Васильченко	1
Ежов	С.Ф. Васильченко	1
А.С. Соколова	Г.Г. Ягода	1
А.С. Соколова	Сталин	1
Г.Е. Прокофьева	И.И. Трусова	1
И.И. Трусова	Сталин	1
Г.Е. Прокофьева	Шемелев	1
Ежов	Шемелев	1
А.П. Загорулько	Я.С. Розановым	1
Г.Е. Прокофьева	М.Г. Сафьянова	1
Ежов	М.Г. Сафьянова	1
Г.Я. Маренко	Я.С. Розановым	1
А.Я. Вышинский	Г.Г. Ягода	1
А.И. Бриггиса	Г.Е. Прокофьева	1
А.И. Бриггиса	Ежов	1
Г.Е. Прокофьева	Г.Л. Хасина	1
Г.Л. Хасина	Ежов	1
Г.Е. Прокофьева	И.И. Горовича	1
