entity_a	entity_b	document_count
Зиновьев	восстановлении	2
Е.В. Цетлина	Коллегию	2
М.П. Томского	Сталин	2
Г.Г. Ягоде	Н.Н. Алексеева	2
Г.Г. Ягоды	троцкистской	2
Смирнов	Сталин	2
Сталин	троцкистской	2
Зиновьев	Секретариат	2
Зиновьев	Л.М. Кагановичу	2
А.Я. Вышинскому	Сталин	2
Д.Т. Шермергорна	Сталин	2
Ежов	М.С. Богуславского	2
М.С. Богуславского	Сталин	2
Ежов	Ромм	2
Ромм	Сталин	2
Пятаков	Сокольников	2
Ежов	С.А. Ратайчаком	2
С.А. Ратайчаком	Сталин	2
Ежов	И.Д. Турока	2
И.Д. Турока	Сталин	2
А.Д. Зайцева	Ежов	2
А.Д. Зайцева	Сталин	2
А.А. Хвыли	Сталин	2
Сталин	допроса	2
Ежов	П.Ф. Сапожникова	2
П.Ф. Сапожникова	Сталин	2
Ежов	О.П. Дзениса	2
О.П. Дзениса	Сталин	2
А.М. Штейна	Ежов	2
А.М. Штейна	Сталин	2
Б.А. Кушнера	Ежов	2
Б.А. Кушнера	Сталин	2
Ежов	Н.И. Муралова	2
Н.И. Муралова	Сталин	2
Ежов	И.А. Князева	2
Л.З. Мехлиса	Сталин	2
Л.З. Мехлиса	Пятаков	2
Ежов	М.А. Жарикова	2
М.А. Жарикова	Сталин	2
В.И. Невского	Ежов	2
В.И. Невского	Сталин	2
Ежов	Л.Е. Тамма	2
Л.Е. Тамма	Сталин	2
Л.С. Сосновского	Сталин	2
В.И. Пучкова	Ежов	2
В.И. Пучкова	Сталин	2
В.М. Примакова	Ежов	2
А.А. Докучаева	Сталин	2
Б.М. Таля	Л.С. Сосновского	2
А.И. Потяева	Ежов	2
А.И. Потяева	Сталин	2
Г.Е. Пушина	Ежов	2
Г.Е. Пушина	Сталин	2
Д.И. Матвеева	Ежов	2
Д.И. Матвеева	Сталин	2
Н.В. Голубенко	Сталин	2
А.И. Юлина	Ежов	2
А.А. Шестова	Сталин	2
А.Я. Вышинского	Ежов	2
Ежов	заключения	2
Ежов	Ф.И. Вайсберга	2
М.Н. Яковлева	Сталин	2
Г.А. Колоскова	Ежов	2
Г.А. Колоскова	Сталин	2
В.А. Балицкого	И.О. Гольденберга	2
Ежов	И.О. Гольденберга	2
В.А. Балицкого	И.М. Гуревича	2
Г.Г. Ягоды	Е.Ф. Куликова	2
Г.Г. Ягоды	Н.И. Москалева	2
Ежов	Н.И. Москалева	2
В.А. Балицкого	В.Ф. Логинова	2
С.А. Чихладзе	обвиняемого	2
Г.Г. Ягоды	М.О. Зюка	2
Б.И. Кузьмичева	Ежов	2
А.Ю. Тивеля	Г.Г. Ягоды	2
В.А. Балицкого	дополнительных	2
Ежов	дополнительных	2
Г.Г. Ягоде	дополнительных	2
Н.В. Голубенко	дополнительных	2
Н.В. Голубенко	показаниях	2
Г.Г. Ягоды	Пригожин	2
Ежов	Пригожин	2
Г.М. Аркуса	Ежов	2
Ежов	С.М. Закса-	2
Г.Г. Ягоды	К.Б. Бермана-	2
К.Б. Бермана-	Сталин	2
Г.Г. Ягоды	С.Я. Бабахана	2
С.Я. Бабахана	Сталин	2
А.В. Галкина	Г.Г. Ягоды	2
А.В. Галкина	Сталин	2
Г.Г. Ягоды	Н.Л. Лурье	2
Г.Г. Ягоды	Д.А. Шмидта	2
А.И. Биркенгофа	Г.Г. Ягоды	2
Сталин	Х.Г. Гуревича	2
Бухарин	Президиум	1
Бухарин	Совета	1
Бухарин	помиловании	1
Президиум	Совета	1
Президиум	помиловании	1
Совета	помиловании	1
Бухарин	слова	1
слова	центра	1
Бухарин	время	1
время	центра	1
Бухарин	Л.В. Когану	1
Л.В. Когану	Н.Д. Зарицкого	1
Н.Д. Зарицкого	следователю	1
Л.В. Когану	следователю	1
А.М. Лариной	Бухарин	1
Бухарин	заключенного	1
С.М. Гессена	контактах	1
Минске	С.М. Гессена	1
Зиновьев	С.М. Гессена	1
Минске	контактах	1
Зиновьев	контактах	1
Зиновьев	Минске	1
Ежов	Н.М. Букалова	1
Н.М. Букалова	Сталин	1
А.Ф. Ульянова	Ежов	1
А.Ф. Ульянова	Сталин	1
Бухарин	арестованного	1
Ежов	согласии	1
Сталин	согласии	1
Бухарин	согласии	1
Г.Г. Ягодой	Радек	1
Радек	его	1
Г.Г. Ягодой	Ежов	1
Г.Г. Ягодой	его	1
Агранов	Бухарин	1
Г.А. Молчанова	Сталин	1
Ежов	С.М. Тамаркина	1
Ежов	санкции	1
С.М. Тамаркина	Сталин	1
Сталин	санкции	1
С.М. Тамаркина	санкции	1
Ежов	М.Л. Левина	1
М.Л. Левина	Сталин	1
Б.Л. Колесникова	Ежов	1
Б.Л. Колесникова	Сталин	1
Д.П. Марецкого	Ежов	1
Д.П. Марецкого	Сталин	1
Ежов	Ю.И. Дуката	1
Сталин	Ю.И. Дуката	1
Бухарин	Членов	1
Г.С. Герасимато	Ежов	1
Г.С. Герасимато	Сталин	1
А.А. Табанакова	Ежов	1
А.А. Табанакова	Сталин	1
Сталин	пленума	1
В.В. Шмидтом	Рыков	1
В.В. Шмидтом	очной	1
Рыков	очной	1
Радин	Рыков	1
Б.П. Нестеровым	Ежов	1
Б.П. Нестеровым	Сталин	1
Б.П. Нестеровым	Рыков	1
А.Д. Арефьева	Ежов	1
А.Д. Арефьева	Сталин	1
Ежов	Я.К. Яглома	1
Сталин	Я.К. Яглома	1
Г.Г. Ягоды	Гавен	1
Гавен	Сталин	1
Г.Е. Прокофьева	О.А. Мешковской	1
Ежов	О.А. Мешковской	1
Г.Г. Ягоды	обысках	1
Г.Г. Ягоды	Сормовском	1
Сталин	обысках	1
Сормовском	Сталин	1
Сормовском	обысках	1
Г.Е. Прокофьева	С.Ф. Васильченко	1
Ежов	С.Ф. Васильченко	1
А.С. Соколова	Г.Г. Ягоды	1
А.С. Соколова	Сталин	1
Г.Е. Прокофьева	И.И. Трусова	1
И.И. Трусова	Сталин	1
Г.Е. Прокофьева	Шемелев	1
Ежов	Шемелев	1
А.П. Загорулько	Я.С. Розановым	1
Г.Е. Прокофьева	М.Г. Сафьянова	1
Ежов	М.Г. Сафьянова	1
Г.Я. Маренко	Я.С. Розановым	1
А.Я. Вышинского	Г.Г. Ягоды	1
А.Я. Вышинского	записки	1
А.Я. Вышинского	троцкистах	1
Сталин	записки	1
Сталин	троцкистах	1
Г.Г. Ягоды	записки	1
Г.Г. Ягоды	троцкистах	1
записки	троцкистах	1
А.И. Бриггиса	Г.Е. Прокофьева	1
А.И. Бриггиса	Ежов	1
Г.Е. Прокофьева	Г.Л. Хасина	1
Г.Л. Хасина	Ежов	1
Г.Е. Прокофьева	И.И. Горовича	1
Г.Е. Прокофьева	И.Н. Стукова	1
Ежов	И.Н. Стукова	1
Г.Е. Прокофьева	Молотов	1
Г.Е. Прокофьева	Г.П. Вяткина	1
Молотов	Сталин	1
Г.П. Вяткина	Сталин	1
Г.П. Вяткина	Молотов	1
Г.П. Вяткина	Ежов	1
Г.Е. Прокофьева	Ф.А. Горбуновой	1
Ежов	Ф.А. Горбуновой	1
Г.Г. Ягоды	репрессировании	1
Сталин	репрессировании	1
А.П. Загорулько	М.А. Нырчуком	1
