person	organization	document_count	person_total_documents	share_of_person_documents
И.И. Рейнгольда	Коминтерн	8	11	0.7273
И.П. Бакаева	НКВД	8	13	0.6154
М.М. Харитонова	ВКП(б)	8	11	0.7273
Н.А. Розенфельд	ВКП(б)	8	16	0.5
Ольберг	ИНО ГУГБ	8	94	0.0851
Ольберг	НКВД	8	94	0.0851
П.А. Николаева	НКВД	8	10	0.8
Рыков	Правда	8	18	0.4444
С.В. Мрачковский	ВКП(б)	8	8	1.0
Смирнов	ВКП(б)	8	10	0.8
Сокольников	Известия	8	18	0.4444
Агранов	Правда	7	74	0.0946
Астров	ВКП(б)	7	8	0.875
Бухарин	Совнарком	7	73	0.0959
В.В. Кузьмина	ВКП(б)	7	7	1.0
Г.А. Молчанова	ВКП(б)	7	8	0.875
Г.Б. Синани-Скалов	Коминтерн	7	12	0.5833
Г.Г. Ягода	КПК	7	158	0.0443
Г.Е. Евдокимова	ГУГБ	7	14	0.5
Дмитриев	ЦК ВКП(б)	7	17	0.4118
Е.А. Дрейцера	ВКП(б)	7	7	1.0
Е.А. Дрейцера	НКВД	7	7	1.0
Ежов	Верховный Суд СССР	7	466	0.015
И.А. Мусульбаса	ВКП(б)	7	7	1.0
И.А. Мусульбаса	ГУГБ	7	7	1.0
И.А. Мусульбаса	НКВД	7	7	1.0
И.А. Мусульбаса	ЦК ВКП(б)	7	7	1.0
И.И. Рейнгольда	Политбюро	7	11	0.6364
И.П. Бакаева	ЦК ВКП(б)	7	13	0.5385
Каменев	Правда	7	26	0.2692
М.В. Королькова	ГУГБ	7	7	1.0
М.В. Королькова	ИНО ГУГБ	7	7	1.0
М.Ф. Шкирятову	ВКП(б)	7	8	0.875
Н.П. Мясникова	ГУГБ	7	7	1.0
С.В. Мрачковский	ЦК ВКП(б)	7	8	0.875
Сталин	НКИД	7	520	0.0135
А.С. Енукидзе	ВКП(б)	6	8	0.75
А.С. Енукидзе	ЦК ВКП(б)	6	8	0.75
А.Ф. Шараповой	ВКП(б)	6	6	1.0
А.Ф. Шараповой	ГУГБ	6	6	1.0
Б.Н. Сахова	Коминтерн	6	9	0.6667
В.В. Кузьмина	ЦК ВКП(б)	6	7	0.8571
В.В. Румянцева	ВКП(б)	6	12	0.5
В.И. Звездова	ЦК ВКП(б)	6	9	0.6667
В.М. Попова	ВКП(б)	6	7	0.8571
В.М. Попова	ГУГБ	6	7	0.8571
В.Ф. Логинова	ВКП(б)	6	7	0.8571
В.Ф. Логинова	ЦК ВКП(б)	6	7	0.8571
Г.А. Молчанова	ГУГБ	6	8	0.75
Г.А. Молчанова	ЦК ВКП(б)	6	8	0.75
Г.Б. Синани-Скалов	ВКП(б)	6	12	0.5
Г.Г. Ягода	ЦИК СССР	6	158	0.038
Г.Е. Евдокимова	НКВД	6	14	0.4286
Г.М. Аркуса	ВКП(б)	6	6	1.0
Г.М. Аркуса	ЦК ВКП(б)	6	6	1.0
Д.Н. Ширяева	ГУГБ	6	6	1.0
Е.А. Дрейцера	ГУГБ	6	7	0.8571
Е.Ф. Куликова	ВКП(б)	6	6	1.0
Е.Ф. Куликова	ГУГБ	6	6	1.0
Е.Ф. Куликова	ЦК ВКП(б)	6	6	1.0
Ежов	НКИД	6	466	0.0129
Зиновьев	Правда	6	50	0.12
И.Г. Юскина	НКВД	6	8	0.75
И.И. Тарасова	ГУГБ	6	8	0.75
Л.З. Мехлиса	Правда	6	6	1.0
