person	organization	document_count	person_total_documents	share_of_person_documents
М.С. Богуславского	ГУГБ	3	4	0.75
М.С. Богуславского	ЦК ВКП(б)	3	4	0.75
М.С. Рэма	ВКП(б)	3	5	0.6
М.С. Рэма	ЦК ВКП(б)	3	5	0.6
М.Ф. Шкирятову	КПК	3	8	0.375
М.Ф. Шкирятову	КПК при ЦК ВКП(б)	3	8	0.375
Молотов	ГУГБ	3	6	0.5
Н.А. Угланова	Политбюро	3	6	0.5
Н.Б. Розенфельда	ЦК ВКП(б)	3	5	0.6
Н.В. Голубенко	Правда	3	11	0.2727
Н.И. Бураго	ВКП(б)	3	6	0.5
Н.И. Гордона	ВКП(б)	3	3	1.0
Н.И. Гордона	ГУГБ	3	3	1.0
Н.И. Гордона	НКВД	3	3	1.0
Н.И. Гордона	ЦК ВКП(б)	3	3	1.0
Н.Н. Шатским	ГУГБ	3	3	1.0
Н.Н. Шатским	НКВД	3	3	1.0
Н.П. Глебов-Авилов	ВКП(б)	3	3	1.0
Н.П. Глебов-Авилов	ГУГБ	3	3	1.0
Н.П. Глебов-Авилов	ЦК ВКП(б)	3	3	1.0
Н.П. Михетко	ВКП(б)	3	3	1.0
Н.П. Михетко	ГУГБ	3	3	1.0
Н.П. Мясникова	НКВД	3	7	0.4286
Н.П. Мясниковым	ГУГБ	3	3	1.0
Н.С. Антонова	НКВД	3	10	0.3
Н.С. Антоновым	ВКП(б)	3	3	1.0
Н.С. Антоновым	ГУГБ	3	3	1.0
П.И. Гордеевой	ГУГБ	3	3	1.0
П.Ф. Зайцева	ВКП(б)	3	3	1.0
П.Ф. Зайцева	ЦИК СССР	3	3	1.0
П.Ф. Зайцева	ЦК ВКП(б)	3	3	1.0
П.Ф. Сапожникова	ВКП(б)	3	3	1.0
П.Ф. Сапожникова	Коминтерн	3	3	1.0
П.Э. Роцкана	ВКП(б)	3	3	1.0
П.Э. Роцкана	ГУГБ	3	3	1.0
П.Э. Роцкана	НКВД	3	3	1.0
Пятаков	Политбюро	3	22	0.1364
Радек	ИККИ	3	25	0.12
Радек	Совнарком	3	25	0.12
С.И. Лукашика	ВКП(б)	3	3	1.0
С.И. Лукашика	ГУГБ	3	3	1.0
С.И. Лукашика	НКВД	3	3	1.0
С.М. Гессена	ВКП(б)	3	8	0.375
С.М. Гессена	Политбюро	3	8	0.375
С.Х. Варданиана	НКВД	3	4	0.75
С.Х. Варданиана	ЦК ВКП(б)	3	4	0.75
С.Я. Шаева	ГУГБ	3	3	1.0
С.Я. Шаева	НКВД	3	3	1.0
Седов	ВКП(б)	3	78	0.0385
Смирнов	Коминтерн	3	10	0.3
Смирнов	НКВД	3	10	0.3
Сталин	Секретариат ЦИК СССР	3	520	0.0058
Т.И. Глебовой	ЦК ВКП(б)	3	9	0.3333
Троцкий	Коминтерн	3	6	0.5
Ф.А. Горбуновой	ВКП(б)	3	3	1.0
Ф.А. Горбуновой	ГУГБ	3	3	1.0
Ф.Ф. Фадеева	ГУГБ	3	7	0.4286
Ф.Ф. Фадеева	НКВД	3	7	0.4286
Х.Г. Гуревича	ВКП(б)	3	3	1.0
Х.Г. Гуревича	ГУГБ	3	3	1.0
Шемелев	ЦК ВКП(б)	3	5	0.6
Э.С. Гольцмана	ГУГБ	3	4	0.75
Ю.М. Коцюбинского	ВКП(б)	3	3	1.0
Ю.М. Коцюбинского	ГУГБ	3	3	1.0
Ю.М. Коцюбинского	ЦК ВКП(б)	3	3	1.0
Я.Н. Вечерковского	ГУГБ	3	3	1.0
Я.Н. Вечерковского	НКВД	3	3	1.0
Я.Н. Дробниса	ВКП(б)	3	3	1.0
Я.Н. Дробниса	ГУГБ	3	3	1.0
Я.Р. Ельковича	ВКП(б)	3	6	0.5
А.А. Андрееву	НКВД	2	3	0.6667
А.А. Бусыгина	ВКП(б)	2	2	1.0
А.А. Бусыгина	ГУГБ	2	2	1.0
А.А. Бусыгина	НКВД	2	2	1.0
А.А. Лаврентьева	ГУГБ	2	2	1.0
А.А. Мусатова	НКВД	2	4	0.5
А.А. Муштакова	ВКП(б)	2	2	1.0
А.А. Муштакова	ГУГБ	2	2	1.0
А.А. Хвыли	Политбюро	2	2	1.0
А.А. Хвыли	Правда	2	2	1.0
А.А. Шестова	НКВД	2	5	0.4
А.А. Шестова	Политбюро	2	5	0.4
А.А. Шестова	Правда	2	5	0.4
А.В. Галкина	ВКП(б)	2	2	1.0
А.В. Галкина	ЦК ВКП(б)	2	2	1.0
А.В. Герцберга	ГУГБ	2	4	0.5
А.В. Герцберга	Коминтерн	2	4	0.5
А.В. Луговой-Левенштейн	ВКП(б)	2	2	1.0
А.В. Румянцева	ВКП(б)	2	2	1.0
А.Д. Арефьева	ВКП(б)	2	2	1.0
А.Д. Зайцева	ВКП(б)	2	2	1.0
А.Д. Зайцева	ГУГБ	2	2	1.0
А.Д. Зайцева	Правда	2	2	1.0
А.Д. Зайцева	ЦК ВКП(б)	2	2	1.0
А.Е. Кожуро	ВКП(б)	2	3	0.6667
А.Е. Кожуро	ЦК ВКП(б)	2	3	0.6667
А.И. Анишева	ВКП(б)	2	12	0.1667
А.И. Биркенгофа	ЦК ВКП(б)	2	3	0.6667
А.И. Кармалитова	ГУГБ	2	3	0.6667
А.И. Кармалитова	Правда	2	3	0.6667
А.И. Кармалитова	ЦК ВКП(б)	2	3	0.6667
А.И. Потяева	ВКП(б)	2	2	1.0
А.И. Потяева	ГУГБ	2	2	1.0
А.И. Потяева	ЦК ВКП(б)	2	2	1.0
А.И. Юлина	ВКП(б)	2	2	1.0
А.И. Юлина	ГУГБ	2	2	1.0
А.И. Юлина	ЦК ВКП(б)	2	2	1.0
А.М. Гертика	ЦК ВКП(б)	2	11	0.1818
А.М. Гусева	ВКП(б)	2	2	1.0
А.М. Гусева	ГУГБ	2	2	1.0
А.М. Гусева	НКВД	2	2	1.0
А.М. Зорина	ВКП(б)	2	2	1.0
А.М. Зорина	ГУГБ	2	2	1.0
А.М. Зорина	НКВД	2	2	1.0
А.М. Зорина	ЦК ВКП(б)	2	2	1.0
А.М. Штейна	ГУГБ	2	2	1.0
А.Н. Сафоновой	Правда	2	5	0.4
А.Н. Слепкова	ГУГБ	2	5	0.4
А.Н. Слепкова	ЦК ВКП(б)	2	5	0.4
А.П. Загорулько	ГУГБ	2	2	1.0
А.П. Загорулько	НКВД	2	2	1.0
А.П. Костиной	ВКП(б)	2	5	0.4
А.П. Костиной	ЦК ВКП(б)	2	5	0.4
А.С. Енукидзе	Секретариат ЦИК СССР	2	8	0.25
А.С. Куклина	ВКП(б)	2	7	0.2857
А.С. Куклина	НКВД	2	7	0.2857
А.С. Куклиным	ГУГБ	2	2	1.0
А.С. Соколова	ВКП(б)	2	2	1.0
А.С. Соколова	ГУГБ	2	2	1.0
А.С. Соколова	ИНО ГУГБ	2	2	1.0
А.С. Соколова	НКВД	2	2	1.0
А.Ф. Шараповой	ЦК ВКП(б)	2	6	0.3333
А.Х. Кантора	Правда	2	3	0.6667
А.Ю. Айхенвальда	ВКП(б)	2	5	0.4
А.Ю. Тивеля	Политбюро	2	5	0.4
А.Ю. Тивеля	Правда	2	5	0.4
А.Я. Вышинский	ГУГБ	2	10	0.2
А.Я. Свердлова	ВКП(б)	2	3	0.6667
Агранов	ИККИ	2	74	0.027
Агранов	КПК	2	74	0.027
Агранов	ОО ГУГБ НКВД	2	74	0.027
Астров	ГУГБ	2	8	0.25
Астров	Коминтерн	2	8	0.25
Астров	НКВД	2	8	0.25
Астров	Правда	2	8	0.25
Астров	Совнарком	2	8	0.25
Б.А. Кушнера	ИНО ГУГБ	2	4	0.5
Б.И. Кузьмичева	ГУГБ	2	3	0.6667
Б.И. Кузьмичева	НКВД	2	3	0.6667
Б.И. Лехтмана	Совнарком	2	2	1.0
Б.М. Нижника	ВКП(б)	2	3	0.6667
Б.М. Оберталлера	НКВД	2	3	0.6667
Б.М. Таля	ВКП(б)	2	2	1.0
Б.М. Таля	ЦК ВКП(б)	2	2	1.0
Б.Н. Сахова	НКВД	2	9	0.2222
Бухарин	ЦИК СССР	2	73	0.0274
В.А. Виноградова	ВКП(б)	2	6	0.3333
В.А. Ельчаниновой	ВКП(б)	2	2	1.0
В.А. Ельчаниновой	ГУГБ	2	2	1.0
В.А. Ельчаниновой	ЦИК СССР	2	2	1.0
В.А. Закамалдина	ГУГБ	2	2	1.0
В.А. Закамалдина	НКВД	2	2	1.0
В.А. Котова	ВКП(б)	2	2	1.0
В.А. Котова	ГУГБ	2	2	1.0
В.А. Котова	Совнарком	2	2	1.0
В.А. Котова	ЦК ВКП(б)	2	2	1.0
В.А. Тер-Ваганян	ГУГБ	2	3	0.6667
В.А. Тер-Ваганян	НКВД	2	3	0.6667
В.А. Яковлева	НКВД	2	5	0.4
В.В. Глухенко	НКВД	2	6	0.3333
В.В. Досекина	ВКП(б)	2	2	1.0
В.В. Досекина	ГУГБ	2	2	1.0
В.В. Кузьмина	ИККИ	2	7	0.2857
В.В. Кузьмина	Совнарком	2	7	0.2857
В.В. Осинского	ГУГБ	2	4	0.5
В.В. Папкова	ГУГБ	2	2	1.0
В.В. Папкова	НКВД	2	2	1.0
В.В. Румянцева	Коминтерн	2	12	0.1667
В.В. Румянцева	Политбюро	2	12	0.1667
В.В. Румянцева	ЦК ВКП(б)	2	12	0.1667
В.В. Румянцевым	НКВД	2	3	0.6667
В.В. Шмидта	Известия	2	4	0.5
В.В. Шмидта	Совнарком	2	4	0.5
В.Г. Белова	ЦК ВКП(б)	2	3	0.6667
В.Г. Яковенко	Политбюро	2	3	0.6667
В.И. Звездовым	ГУГБ	2	2	1.0
В.И. Козырева	Правда	2	5	0.4
В.И. Невского	ВКП(б)	2	2	1.0
В.И. Невского	ГУГБ	2	2	1.0
В.И. Невского	НКВД	2	2	1.0
В.И. Невского	ЦК ВКП(б)	2	2	1.0
В.И. Пучкова	ВКП(б)	2	2	1.0
В.И. Пучкова	ГУГБ	2	2	1.0
В.И. Пучкова	НКВД	2	2	1.0
В.И. Пучкова	ЦК ВКП(б)	2	2	1.0
В.И. Шипихина	ВКП(б)	2	2	1.0
В.И. Шипихина	Коминтерн	2	2	1.0
В.И. Шипихина	НКВД	2	2	1.0
В.И. Шипихина	Правда	2	2	1.0
В.И. Шипихина	ЦИК СССР	2	2	1.0
В.И. Шипихина	ЦК ВКП(б)	2	2	1.0
В.М. Андреева	НКВД	2	2	1.0
В.М. Попова	Коминтерн	2	7	0.2857
В.М. Попова	ЦК ВКП(б)	2	7	0.2857
В.М. Примакова	НКВД	2	2	1.0
В.М. Рохинсона	ВКП(б)	2	2	1.0
В.М. Рохинсона	ГУГБ	2	2	1.0
В.М. Рохинсона	НКВД	2	2	1.0
В.Н. Голованова	ГУГБ	2	2	1.0
В.Н. Ракова	ВКП(б)	2	2	1.0
В.Н. Ракова	ГУГБ	2	2	1.0
В.Н. Цатурова-Большакова	ВКП(б)	2	2	1.0
В.Н. Яковлевой	ВКП(б)	2	2	1.0
В.Н. Яковлевой	ЦК ВКП(б)	2	2	1.0
В.П. Потемкина	НКИД	2	3	0.6667
В.С. Левина	ВКП(б)	2	9	0.2222
В.С. Левина	НКВД	2	9	0.2222
В.Ф. Головина	ВКП(б)	2	2	1.0
В.Ф. Головина	ГУГБ	2	2	1.0
В.Ф. Головина	ЦК ВКП(б)	2	2	1.0
Г.А. Колоскова	ВКП(б)	2	2	1.0
Г.А. Колоскова	ЦК ВКП(б)	2	2	1.0
Г.А. Молчанова	Политбюро	2	8	0.25
Г.А. Молчанова	Правда	2	8	0.25
Г.В. Соколовым	ГУГБ	2	2	1.0
Г.Г. Ягода	Верховный Суд СССР	2	158	0.0127
Г.Г. Ягода	Горьковский крайком ВКП(б)	2	158	0.0127
Г.Г. Ягода	НКИД	2	158	0.0127
Г.Г. Ягода	Прокуратура СССР	2	158	0.0127
Г.Г. Ягода	Секретариат ЦИК СССР	2	158	0.0127
Г.Е. Горбачева	ЦК ВКП(б)	2	3	0.6667
Г.Е. Евдокимовым	Коминтерн	2	4	0.5
Г.Е. Прокофьева	ИККИ	2	33	0.0606
Г.Е. Прокофьева	КПК	2	33	0.0606
Г.Е. Пушина	ВКП(б)	2	2	1.0
Г.Е. Пушина	ГУГБ	2	2	1.0
Г.Е. Пушина	НКВД	2	2	1.0
Г.Е. Пушина	ЦК ВКП(б)	2	2	1.0
Г.И. Сафарова	ИККИ	2	32	0.0625
Г.И. Сафаровым	НКВД	2	3	0.6667
Г.И. Шварца	ВКП(б)	2	2	1.0
Г.Л. Шкловского	ВКП(б)	2	2	1.0
Г.М. Аркуса	НКВД	2	6	0.3333
Г.М. Артеменко	Коминтерн	2	3	0.6667
Г.М. Артеменко	НКВД	2	3	0.6667
Г.С. Фридлянда	ВКП(б)	2	2	1.0
Г.С. Фридлянда	ГУГБ	2	2	1.0
Г.Ф. Овчинникова	НКВД	2	3	0.6667
Г.Ф. Попова	ВКП(б)	2	12	0.1667
Г.Ф. Федорова	Коминтерн	2	8	0.25
Г.Ф. Федорова	Политбюро	2	8	0.25
Гавен	ВКП(б)	2	2	1.0
Гавен	ГУГБ	2	2	1.0
Д.А. Карцева	ВКП(б)	2	2	1.0
Д.А. Карцева	ГУГБ	2	2	1.0
Д.З. Мануильскому	ИККИ	2	2	1.0
Д.И. Антипаса	ВКП(б)	2	2	1.0
Д.И. Антипаса	ЦК ВКП(б)	2	2	1.0
Д.И. Матвеева	ВКП(б)	2	2	1.0
Д.И. Матвеева	ГУГБ	2	2	1.0
Д.И. Матвеева	ЦК ВКП(б)	2	2	1.0
Д.Л. Игнатюка	НКВД	2	4	0.5
Д.П. Бухарцева	ВКП(б)	2	2	1.0
Д.П. Бухарцева	ГУГБ	2	2	1.0
Д.П. Бухарцева	ЦК ВКП(б)	2	2	1.0
Д.П. Марецкого	ГУГБ	2	3	0.6667
Д.П. Марецкого	Коминтерн	2	3	0.6667
Д.С. Азбеля	ВКП(б)	2	2	1.0
Д.С. Азбеля	ГУГБ	2	2	1.0
Д.С. Азбеля	ЦК ВКП(б)	2	2	1.0
Д.Т. Шермергорна	ВКП(б)	2	2	1.0
Д.Т. Шермергорна	ГУГБ	2	2	1.0
Д.Т. Шермергорна	Коминтерн	2	2	1.0
Д.Т. Шермергорна	НКВД	2	2	1.0
Д.Т. Шермергорна	ЦК ВКП(б)	2	2	1.0
Дмитриев	Коминтерн	2	17	0.1176
Дмитриев	НКИД	2	17	0.1176
Е.А. Афанасьева	ВКП(б)	2	2	1.0
Е.А. Афанасьева	ГУГБ	2	2	1.0
Е.А. Афанасьева	ЦК ВКП(б)	2	2	1.0
Е.А. Дрейцера	Коминтерн	2	7	0.2857
Е.А. Петровой	ВКП(б)	2	3	0.6667
Е.А. Петровой	ГУГБ	2	3	0.6667
Е.В. Рогачевой	ГУГБ	2	2	1.0
Е.В. Рогачевой	НКВД	2	2	1.0
Е.В. Рогачевой	ОО ГУГБ НКВД	2	2	1.0
Е.В. Цетлина	КПК	2	20	0.1
Е.В. Цетлина	Коминтерн	2	20	0.1
Е.Д. Соколовой	ВКП(б)	2	2	1.0
Е.Д. Соколовой	ЦИК СССР	2	2	1.0
Е.И. Майзлиной	ГУГБ	2	2	1.0
Е.К. Коршунова	ВКП(б)	2	3	0.6667
Е.К. Коршунова	ЦК ВКП(б)	2	3	0.6667
Е.К. Мухановой	Правда	2	13	0.1538
Е.М. Манюрин-Броварский	ГУГБ	2	2	1.0
Е.М. Манюрин-Броварский	НКВД	2	2	1.0
Е.М. Рыбальченко	ГУГБ	2	2	1.0
Е.М. Рыбальченко	НКВД	2	2	1.0
Е.Н. Васильева	ВКП(б)	2	2	1.0
Е.Н. Васильева	КПК	2	2	1.0
Е.Н. Васильева	КПК при ЦК ВКП(б)	2	2	1.0
Е.Н. Васильева	ЦИК СССР	2	2	1.0
Е.Н. Васильева	ЦК ВКП(б)	2	2	1.0
Е.О. Симак	ГУГБ	2	2	1.0
Е.Р. Майера	ГУГБ	2	2	1.0
Е.Р. Майера	НКВД	2	2	1.0
Е.С. Мишаковой	ГУГБ	2	2	1.0
Е.Ф. Куликова	Совнарком	2	6	0.3333
Ежов	Горьковский крайком ВКП(б)	2	466	0.0043
Ежов	ОО ГУГБ НКВД	2	466	0.0043
З.А. Ашрафяна	ЦК ВКП(б)	2	4	0.5
З.В. Флоровой	ВКП(б)	2	2	1.0
З.В. Флоровой	ГУГБ	2	2	1.0
З.М. Беленького	Политбюро	2	4	0.5
З.М. Беленького	ЦК ВКП(б)	2	4	0.5
Зиновьев	ЦИК СССР	2	50	0.04
И.А. Князева	ЦК ВКП(б)	2	4	0.5
И.А. Козина	ГУГБ	2	2	1.0
И.Д. Гаврикова	ВКП(б)	2	2	1.0
И.Д. Гаврикова	ГУГБ	2	2	1.0
И.Д. Турока	ЦК ВКП(б)	2	3	0.6667
И.Е. Коваленко	ГУГБ	2	2	1.0
И.Е. Коваленко	НКВД	2	2	1.0
И.Е. Павлова	ВКП(б)	2	2	1.0
И.Е. Павлова	ГУГБ	2	2	1.0
И.И. Бурлакова	Политбюро	2	3	0.6667
И.И. Горовича	ЦК ВКП(б)	2	4	0.5
И.И. Котолыновым	НКВД	2	3	0.6667
И.И. Рейнгольда	Совнарком	2	11	0.1818
И.И. Тарасова	Правда	2	8	0.25
И.И. Тарасовым	ГУГБ	2	2	1.0
И.М. Бык-Бек	ВКП(б)	2	2	1.0
И.Н. Маевского	ГУГБ	2	3	0.6667
И.Н. Стукова	ВКП(б)	2	2	1.0
И.Н. Стукова	ГУГБ	2	2	1.0
И.О. Гольденберга	ВКП(б)	2	2	1.0
И.О. Гольденберга	НКВД	2	2	1.0
И.О. Гольденберга	ЦК ВКП(б)	2	2	1.0
И.П. Бакаева	Политбюро	2	13	0.1538
И.П. Бакаева	ЦИК СССР	2	13	0.1538
И.П. Бакаевым	ВКП(б)	2	3	0.6667
И.П. Бакаевым	Коминтерн	2	3	0.6667
И.П. Бакаевым	НКВД	2	3	0.6667
И.С. Михайлова	ВКП(б)	2	2	1.0
И.С. Эстермана	ВКП(б)	2	2	1.0
И.С. Эстермана	ГУГБ	2	2	1.0
И.Т. Ляшенко	ГУГБ	2	2	1.0
И.Т. Смилги	Правда	2	4	0.5
К.А. Озола	ВКП(б)	2	2	1.0
К.А. Озола	ГУГБ	2	2	1.0
К.Б. Берман-Юрин	ВКП(б)	2	2	1.0
К.Б. Берман-Юрин	Коминтерн	2	2	1.0
К.Б. Берман-Юрин	НКВД	2	2	1.0
К.Б. Берман-Юрин	Политбюро	2	2	1.0
К.Б. Берман-Юрин	ЦК ВКП(б)	2	2	1.0
К.Е. Ворошилова	Политбюро	2	4	0.5
К.И. Гидлевского	ВКП(б)	2	2	1.0
К.И. Гидлевского	ГУГБ	2	2	1.0
К.И. Грюнштейна	ВКП(б)	2	2	1.0
К.И. Грюнштейна	НКВД	2	2	1.0
К.И. Синелобовой	ВКП(б)	2	3	0.6667
К.И. Синелобовой	ГУГБ	2	3	0.6667
К.К. Муханова	ВКП(б)	2	9	0.2222
К.К. Муханова	ЦК ВКП(б)	2	9	0.2222
К.Н. Емельянова	ГУГБ	2	2	1.0
К.Н. Лукницкого	ГУГБ	2	3	0.6667
К.Н. Лукницкого	НКВД	2	3	0.6667
К.Н. Лукницкого	ЦК ВКП(б)	2	3	0.6667
К.С. Дорофеева	ВКП(б)	2	2	1.0
К.С. Дорофеева	ГУГБ	2	2	1.0
К.С. Дорофеева	НКВД	2	2	1.0
К.С. Дорофеева	ЦК ВКП(б)	2	2	1.0
К.С. Модебадзе	ВКП(б)	2	2	1.0
Киров	ВКП(б)	2	9	0.2222
Л.А. Чернозубовой	ГУГБ	2	2	1.0
Л.В. Николаева	Правда	2	43	0.0465
Л.Д. Гогоберидзе	ВКП(б)	2	2	1.0
Л.Д. Гогоберидзе	ГУГБ	2	2	1.0
Л.Д. Гогоберидзе	Коминтерн	2	2	1.0
Л.Д. Гогоберидзе	НКВД	2	2	1.0
Л.Д. Гогоберидзе	Совнарком	2	2	1.0
Л.Д. Гогоберидзе	ЦК ВКП(б)	2	2	1.0
Л.Д. Троцкий	Правда	2	28	0.0714
Л.Е. Бурковой	ВКП(б)	2	2	1.0
Л.Е. Бурковой	ЦИК СССР	2	2	1.0
Л.Е. Тамма	ВКП(б)	2	2	1.0
Л.Е. Тамма	ГУГБ	2	2	1.0
Л.Е. Тамма	НКВД	2	2	1.0
Л.Е. Тамма	ЦК ВКП(б)	2	2	1.0
Л.Е. Хосроева	ВКП(б)	2	2	1.0
Л.Е. Хосроева	ГУГБ	2	2	1.0
Л.Е. Хосроева	ИНО ГУГБ	2	2	1.0
Л.Е. Хосроева	НКВД	2	2	1.0
Л.З. Мехлиса	Совнарком	2	6	0.3333
Л.И. Гасвиани	ВКП(б)	2	3	0.6667
Л.И. Гасвиани	НКВД	2	3	0.6667
Л.И. Перельштейн	ВКП(б)	2	2	1.0
Л.И. Перельштейн	ГУГБ	2	2	1.0
Л.И. Перельштейн	ЦК ВКП(б)	2	2	1.0
Л.И. Пономарева	ВКП(б)	2	2	1.0
Л.И. Пономарева	ГУГБ	2	2	1.0
Л.И. Пономарева	ЦК ВКП(б)	2	2	1.0
Л.И. Сосицким	ГУГБ	2	2	1.0
Л.И. Сосицким	НКВД	2	2	1.0
Л.И. Сосицкого	НКВД	2	4	0.5
Л.М. Каганович	ГУГБ	2	11	0.1818
Л.М. Каганович	НКВД	2	11	0.1818
Л.М. Каганович	Политбюро	2	11	0.1818
Л.М. Каганович	Правда	2	11	0.1818
Л.Н. Минервиной	ГУГБ	2	2	1.0
Л.Н. Минервиной	ИНО ГУГБ	2	2	1.0
Л.Н. Минервиной	НКВД	2	2	1.0
Л.Н. Минервиной	ЦИК СССР	2	2	1.0
Л.О. Ханика	ВКП(б)	2	3	0.6667
Л.П. Берии	ВКП(б)	2	2	1.0
Л.П. Берии	НКВД	2	2	1.0
Л.П. Берии	ЦК ВКП(б)	2	2	1.0
Л.С. Ассиновского	НКВД	2	2	1.0
Л.С. Мамишвили-Мишкевич	ВКП(б)	2	2	1.0
Л.С. Мамишвили-Мишкевич	ГУГБ	2	2	1.0
Л.С. Мамишвили-Мишкевич	НКВД	2	2	1.0
Л.С. Мамишвили-Мишкевич	ЦК ВКП(б)	2	2	1.0
Л.С. Сосновского	КПК	2	5	0.4
Л.С. Сосновского	НКВД	2	5	0.4
Л.С. Тер-Минасов	ВКП(б)	2	2	1.0
Л.С. Тер-Минасов	ГУГБ	2	2	1.0
Л.С. Тер-Минасов	НКВД	2	2	1.0
Л.С. Тер-Минасов	ЦК ВКП(б)	2	2	1.0
Л.Ф. Дитятевой	Правда	2	5	0.4
Л.Х. Розенблюма	ВКП(б)	2	2	1.0
Л.Х. Розенблюма	ГУГБ	2	2	1.0
Л.Я. Файвиловича	ГУГБ	2	6	0.3333
Л.Я. Файвиловича	ЦК ВКП(б)	2	6	0.3333
М.А. Жарикова	ВКП(б)	2	2	1.0
М.А. Жарикова	ГУГБ	2	2	1.0
М.А. Нырчука	ГУГБ	2	9	0.2222
М.В. Михайлика	ВКП(б)	2	2	1.0
М.В. Михайлика	ГУГБ	2	2	1.0
М.В. Поздеевой	Коминтерн	2	5	0.4
М.Г. Сафьянова	ВКП(б)	2	2	1.0
М.Г. Сафьянова	ГУГБ	2	2	1.0
М.И. Лурье	ИККИ	2	3	0.6667
М.И. Лурье	Коминтерн	2	3	0.6667
М.И. Лурье	НКВД	2	3	0.6667
М.И. Лурье	Политбюро	2	3	0.6667
М.И. Новожилова	ВКП(б)	2	2	1.0
М.И. Новожилова	ГУГБ	2	2	1.0
М.И. Новожилова	НКВД	2	2	1.0
М.И. Сумецкого	ВКП(б)	2	2	1.0
М.И. Сумецкого	ГУГБ	2	2	1.0
М.И. Сумецкого	Политбюро	2	2	1.0
М.И. Сумецкого	ЦК ВКП(б)	2	2	1.0
М.Л. Быховского	ЦК ВКП(б)	2	3	0.6667
М.М. Киллерога	НКВД	2	6	0.3333
М.М. Кудряшева	ВКП(б)	2	2	1.0
М.М. Кудряшева	ГУГБ	2	2	1.0
М.М. Харитонова	Коминтерн	2	11	0.1818
М.М. Чередниченко	ГУГБ	2	2	1.0
М.М. Чередниченко	НКВД	2	2	1.0
М.Н. Рябинина	ВКП(б)	2	2	1.0
М.Н. Рябинина	ГУГБ	2	2	1.0
М.Н. Рябинина	ИНО ГУГБ	2	2	1.0
М.Н. Рябинина	НКВД	2	2	1.0
М.О. Зюка	ГУГБ	2	3	0.6667
М.О. Зюка	Правда	2	3	0.6667
М.О. Зюка	ЦК ВКП(б)	2	3	0.6667
М.П. Жакова	ВКП(б)	2	3	0.6667
М.П. Жакова	ГУГБ	2	3	0.6667
М.П. Жакова	ЦК ВКП(б)	2	3	0.6667
М.П. Томского	ВКП(б)	2	4	0.5
М.П. Томского	ЦК ВКП(б)	2	4	0.5
М.С. Рэма	ГУГБ	2	5	0.4
М.Т. Антонова	ВКП(б)	2	2	1.0
М.Т. Антонова	Правда	2	2	1.0
М.Т. Антонова	ЦК ВКП(б)	2	2	1.0
М.Ф. Постоловского	ВКП(б)	2	2	1.0
М.Ф. Постоловского	НКВД	2	2	1.0
М.Ф. Постоловского	ЦК ВКП(б)	2	2	1.0
М.Ф. Шкирятову	Политбюро	2	8	0.25
М.Ф. Шкирятову	Секретариат ЦИК СССР	2	8	0.25
Молотов	НКВД	2	6	0.3333
Н.А. Карева	ГУГБ	2	4	0.5
Н.А. Карева	Коминтерн	2	4	0.5
Н.А. Карева	ЦК ВКП(б)	2	4	0.5
Н.А. Угланова	Правда	2	6	0.3333
Н.Б. Розенфельда	Правда	2	5	0.4
Н.Б. Скаловой	ГУГБ	2	2	1.0
Н.Б. Скаловой	Коминтерн	2	2	1.0
Н.В. Буинцева	ВКП(б)	2	2	1.0
Н.В. Буинцева	ГУГБ	2	2	1.0
Н.В. Буинцева	Правда	2	2	1.0
Н.И. Бураго	ЦК ВКП(б)	2	6	0.3333
Н.И. Москалева	ВКП(б)	2	3	0.6667
Н.И. Москалева	ГУГБ	2	3	0.6667
Н.И. Москалева	НКВД	2	3	0.6667
Н.И. Москалева	ЦК ВКП(б)	2	3	0.6667
Н.И. Муралова	ВКП(б)	2	2	1.0
Н.И. Муралова	ГУГБ	2	2	1.0
Н.И. Муралова	ЦК ВКП(б)	2	2	1.0
Н.И. Мухина	ВКП(б)	2	8	0.25
Н.И. Мухина	НКВД	2	8	0.25
Н.Л. Лурье	ВКП(б)	2	2	1.0
Н.Л. Лурье	ЦК ВКП(б)	2	2	1.0
Н.М. Маторина	ВКП(б)	2	2	1.0
Н.М. Маторина	ГУГБ	2	2	1.0
Н.М. Насонова	ГУГБ	2	2	1.0
Н.М. Насонова	Коминтерн	2	2	1.0
Н.М. Насонова	НКВД	2	2	1.0
Н.Н. Алексеева	ВКП(б)	2	2	1.0
Н.Н. Мищенко	ГУГБ	2	2	1.0
Н.Н. Шатского	ВКП(б)	2	2	1.0
Н.Н. Шатского	ГУГБ	2	2	1.0
Н.П. Глебов-Авилов	Верховный Суд СССР	2	3	0.6667
Н.П. Мясниковым	НКВД	2	3	0.6667
Н.С. Антоновым	НКВД	2	3	0.6667
Н.С. Антоновым	Политбюро	2	3	0.6667
Н.С. Антоновым	ЦК ВКП(б)	2	3	0.6667
О.П. Дзениса	ВКП(б)	2	2	1.0
О.П. Дзениса	НКВД	2	2	1.0
О.П. Дзениса	ЦК ВКП(б)	2	2	1.0
Ольберг	Верховный Суд СССР	2	94	0.0213
Ольберг	Горьковский крайком ВКП(б)	2	94	0.0213
Ольберг	ИККИ	2	94	0.0213
Ольберг	Лига Наций	2	94	0.0213
П.А. Залуцкого	ВКП(б)	2	3	0.6667
П.А. Залуцкого	ГУГБ	2	3	0.6667
