person	organization_family	document_count	person_total_documents	share_of_person_documents
А.А. Муштакова	security_apparatus	2	2	1.0
А.А. Хвыли	party_apparatus	2	2	1.0
А.А. Хвыли	press_media	2	2	1.0
А.А. Шестова	press_media	2	5	0.4
А.В. Галкина	party_apparatus	2	2	1.0
А.В. Герцберга	international	2	4	0.5
А.В. Герцберга	security_apparatus	2	4	0.5
А.В. Луговой-Левенштейн	party_apparatus	2	2	1.0
А.В. Румянцева	party_apparatus	2	2	1.0
А.Д. Арефьева	party_apparatus	2	2	1.0
А.Д. Зайцева	party_apparatus	2	2	1.0
А.Д. Зайцева	press_media	2	2	1.0
А.Д. Зайцева	security_apparatus	2	2	1.0
А.Е. Кожуро	party_apparatus	2	3	0.6667
А.И. Анишева	party_apparatus	2	12	0.1667
А.И. Кармалитова	press_media	2	3	0.6667
А.И. Кармалитова	security_apparatus	2	3	0.6667
А.И. Потяева	party_apparatus	2	2	1.0
А.И. Потяева	security_apparatus	2	2	1.0
А.И. Юлина	party_apparatus	2	2	1.0
А.И. Юлина	security_apparatus	2	2	1.0
А.М. Гусева	party_apparatus	2	2	1.0
А.М. Гусева	security_apparatus	2	2	1.0
А.М. Зорина	party_apparatus	2	2	1.0
А.М. Зорина	security_apparatus	2	2	1.0
А.М. Штейна	security_apparatus	2	2	1.0
А.Н. Сафоновой	press_media	2	5	0.4
А.Н. Слепкова	international	2	5	0.4
А.Н. Слепкова	security_apparatus	2	5	0.4
А.П. Загорулько	security_apparatus	2	2	1.0
А.П. Костиной	party_apparatus	2	5	0.4
А.С. Куклина	party_apparatus	2	7	0.2857
А.С. Куклиным	security_apparatus	2	2	1.0
А.С. Соколова	party_apparatus	2	2	1.0
А.С. Соколова	security_apparatus	2	2	1.0
А.Х. Кантора	press_media	2	3	0.6667
А.Ю. Айхенвальда	party_apparatus	2	5	0.4
А.Я. Свердлова	party_apparatus	2	3	0.6667
Астров	international	2	8	0.25
Астров	press_media	2	8	0.25
Астров	security_apparatus	2	8	0.25
Астров	state_apparatus	2	8	0.25
Б.И. Кузьмичева	security_apparatus	2	3	0.6667
Б.И. Лехтмана	state_apparatus	2	2	1.0
Б.М. Нижника	party_apparatus	2	3	0.6667
Б.М. Оберталлера	security_apparatus	2	3	0.6667
Б.М. Таля	party_apparatus	2	2	1.0
В.А. Виноградова	party_apparatus	2	6	0.3333
В.А. Ельчаниновой	party_apparatus	2	2	1.0
В.А. Ельчаниновой	security_apparatus	2	2	1.0
В.А. Ельчаниновой	state_apparatus	2	2	1.0
В.А. Закамалдина	security_apparatus	2	2	1.0
В.А. Котова	party_apparatus	2	2	1.0
В.А. Котова	security_apparatus	2	2	1.0
В.А. Котова	state_apparatus	2	2	1.0
В.А. Тер-Ваганян	security_apparatus	2	3	0.6667
В.В. Глухенко	security_apparatus	2	6	0.3333
В.В. Досекина	party_apparatus	2	2	1.0
В.В. Досекина	security_apparatus	2	2	1.0
В.В. Кузьмина	state_apparatus	2	7	0.2857
В.В. Осинского	security_apparatus	2	4	0.5
В.В. Папкова	security_apparatus	2	2	1.0
В.В. Румянцева	international	2	12	0.1667
В.В. Шмидта	security_apparatus	2	4	0.5
В.В. Шмидта	state_apparatus	2	4	0.5
В.Д. Вуйовича	party_apparatus	2	2	1.0
В.И. Звездовым	security_apparatus	2	2	1.0
В.И. Козырева	press_media	2	5	0.4
В.И. Невского	party_apparatus	2	2	1.0
В.И. Невского	security_apparatus	2	2	1.0
В.И. Пучкова	party_apparatus	2	2	1.0
В.И. Пучкова	security_apparatus	2	2	1.0
В.И. Шипихина	international	2	2	1.0
В.И. Шипихина	party_apparatus	2	2	1.0
В.И. Шипихина	press_media	2	2	1.0
В.И. Шипихина	security_apparatus	2	2	1.0
В.И. Шипихина	state_apparatus	2	2	1.0
В.М. Андреева	security_apparatus	2	2	1.0
В.М. Попова	international	2	7	0.2857
В.М. Примакова	security_apparatus	2	2	1.0
В.М. Рохинсона	party_apparatus	2	2	1.0
В.М. Рохинсона	security_apparatus	2	2	1.0
В.Н. Голованова	security_apparatus	2	2	1.0
В.Н. Ракова	party_apparatus	2	2	1.0
В.Н. Ракова	security_apparatus	2	2	1.0
В.Н. Цатурова-Большакова	party_apparatus	2	2	1.0
В.Н. Яковлевой	party_apparatus	2	2	1.0
В.П. Потемкина	party_apparatus	2	3	0.6667
В.П. Потемкина	state_apparatus	2	3	0.6667
В.С. Левина	party_apparatus	2	9	0.2222
В.Ф. Головина	party_apparatus	2	2	1.0
В.Ф. Головина	security_apparatus	2	2	1.0
Г.А. Колоскова	party_apparatus	2	2	1.0
Г.А. Молчанова	press_media	2	8	0.25
Г.Б. Синани-Скалов	state_apparatus	2	12	0.1667
Г.В. Соколовым	security_apparatus	2	2	1.0
Г.Е. Евдокимовым	international	2	4	0.5
Г.Е. Прокофьева	judicial_apparatus	2	33	0.0606
Г.Е. Прокофьева	state_apparatus	2	33	0.0606
Г.Е. Пушина	party_apparatus	2	2	1.0
Г.Е. Пушина	security_apparatus	2	2	1.0
Г.И. Шварца	party_apparatus	2	2	1.0
Г.Л. Шкловского	party_apparatus	2	2	1.0
Г.М. Артеменко	international	2	3	0.6667
Г.С. Фридлянда	party_apparatus	2	2	1.0
Г.С. Фридлянда	press_media	2	2	1.0
Г.С. Фридлянда	security_apparatus	2	2	1.0
Г.Ф. Попова	party_apparatus	2	12	0.1667
Г.Ф. Федорова	international	2	8	0.25
Гавен	party_apparatus	2	2	1.0
Гавен	security_apparatus	2	2	1.0
Д.А. Карцева	party_apparatus	2	2	1.0
Д.А. Карцева	security_apparatus	2	2	1.0
Д.З. Мануильскому	international	2	2	1.0
Д.И. Антипаса	party_apparatus	2	2	1.0
Д.И. Матвеева	party_apparatus	2	2	1.0
Д.И. Матвеева	security_apparatus	2	2	1.0
Д.Л. Игнатюка	security_apparatus	2	4	0.5
Д.П. Бухарцева	party_apparatus	2	2	1.0
Д.П. Бухарцева	security_apparatus	2	2	1.0
Д.П. Марецкого	international	2	3	0.6667
Д.П. Марецкого	security_apparatus	2	3	0.6667
Д.С. Азбеля	party_apparatus	2	2	1.0
Д.С. Азбеля	security_apparatus	2	2	1.0
Д.Т. Шермергорна	international	2	2	1.0
Д.Т. Шермергорна	party_apparatus	2	2	1.0
Д.Т. Шермергорна	security_apparatus	2	2	1.0
Дмитриев	international	2	17	0.1176
Дмитриев	judicial_apparatus	2	17	0.1176
Е.А. Афанасьева	party_apparatus	2	2	1.0
Е.А. Афанасьева	security_apparatus	2	2	1.0
Е.А. Дрейцера	international	2	7	0.2857
Е.А. Петровой	party_apparatus	2	3	0.6667
Е.А. Петровой	security_apparatus	2	3	0.6667
Е.В. Рогачевой	security_apparatus	2	2	1.0
Е.Д. Соколовой	party_apparatus	2	2	1.0
Е.Д. Соколовой	state_apparatus	2	2	1.0
Е.И. Майзлиной	security_apparatus	2	2	1.0
Е.К. Коршунова	party_apparatus	2	3	0.6667
Е.К. Мухановой	press_media	2	13	0.1538
Е.М. Манюрин-Броварский	security_apparatus	2	2	1.0
Е.М. Рыбальченко	security_apparatus	2	2	1.0
Е.Н. Васильева	party_apparatus	2	2	1.0
Е.Н. Васильева	state_apparatus	2	2	1.0
Е.О. Симак	security_apparatus	2	2	1.0
Е.Р. Майера	security_apparatus	2	2	1.0
Е.С. Мишаковой	security_apparatus	2	2	1.0
З.В. Флоровой	party_apparatus	2	2	1.0
З.В. Флоровой	security_apparatus	2	2	1.0
И.А. Козина	security_apparatus	2	2	1.0
И.Д. Гаврикова	party_apparatus	2	2	1.0
И.Д. Гаврикова	security_apparatus	2	2	1.0
И.Е. Коваленко	security_apparatus	2	2	1.0
И.Е. Павлова	party_apparatus	2	2	1.0
И.Е. Павлова	security_apparatus	2	2	1.0
И.И. Рейнгольда	state_apparatus	2	11	0.1818
И.И. Тарасова	press_media	2	8	0.25
И.И. Тарасовым	security_apparatus	2	2	1.0
И.М. Бык-Бек	party_apparatus	2	2	1.0
И.Н. Маевского	security_apparatus	2	3	0.6667
И.Н. Стукова	party_apparatus	2	2	1.0
И.Н. Стукова	security_apparatus	2	2	1.0
И.О. Гольденберга	party_apparatus	2	2	1.0
И.О. Гольденберга	security_apparatus	2	2	1.0
И.П. Бакаевым	international	2	3	0.6667
И.П. Бакаевым	party_apparatus	2	3	0.6667
И.С. Михайлова	party_apparatus	2	2	1.0
