raw_person	canonical_person	reason	confidence	document_count	total_words	first_date	last_date	processes	collections
В.В. Кузьмина	Кузьмина	initials_stripped_unreviewed	medium	7	35871	1933-02-07T11:40:21	1937-02-23T15:38:04	ПРОЦЕСС 2-12 МАРТА 1938 г.	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
В.М. Попова	Попова	initials_stripped_unreviewed	medium	7	8748	1935-11-03T17:09:00	1936-03-28T00:00:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.С. Куклина	Куклина	initials_stripped_unreviewed	medium	7	2540	1934-12-18T03:00:00	1935-04-27T13:15:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
М.В. Королькова	Королькова	initials_stripped_unreviewed	medium	7	8171	1935-03-11T02:10:00	1935-04-21T01:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.В. Мрачковского	Мрачковский	initials_plus_manual_variant	high	7	10510	1935-01-10T07:20:00	1936-08-13T00:10:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА
Ф.Ф. Фадеева	Фадеева	initials_stripped_unreviewed	medium	7	1652	1934-12-15T05:00:00	1935-01-05T13:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.П. Мясникова	Мясникова	initials_stripped_unreviewed	medium	7	4150	1934-12-15T11:17:00	1934-12-23T04:00:00	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Г. Юскина	Юскина	initials_stripped_unreviewed	medium	7	1666	1934-12-07T03:55:00	1934-12-18T03:00:00	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.А. Мусульбаса	Мусульбаса	initials_stripped_unreviewed	medium	7	13487	1936-10-27T20:18:22	1936-12-31T11:43:11	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Ф. Логинова	Логинова	initials_stripped_unreviewed	medium	7	12937	1936-08-11T02:10:00	1936-11-09T00:29:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.А. Дрейцера	Дрейцера	initials_stripped_unreviewed	medium	7	20634	1936-06-11T01:14:00	1936-08-14T03:10:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.А. Молчанова	Молчанова	initials_stripped_unreviewed	medium	6	15462	1933-03-19T22:24:02	1937-03-27T15:37:52	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
П.И. Бескиной	Бескиной	initials_stripped_unreviewed	medium	6	5852	1931-10-19T09:48:42	1937-03-21T21:33:21	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ
А.Я. Вышинского	Вышинский	initials_plus_manual_variant	high	6	9504	1935-03-22T13:14:00	1936-10-10T19:10:08	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Молотов	Молотов	manual_variant	high	6	8481	1936-03-16T13:33:46	1936-12-04T00:29:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Глухенко	Глухенко	initials_stripped_unreviewed	medium	6	7500	1935-10-14T18:56:00	1936-02-09T01:42:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.Ф. Куликова	Куликова	initials_stripped_unreviewed	medium	6	11484	1936-01-09T09:40:23	1936-12-31T17:06:41	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
А.Ф. Шараповой	Шараповой	initials_stripped_unreviewed	medium	6	4390	1935-03-13T01:00:00	1935-04-26T00:10:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
З.И. Давыдовой	Давыдовой	initials_stripped_unreviewed	medium	6	5544	1935-03-07T01:33:00	1935-04-21T02:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.И. Бураго	Бураго	initials_stripped_unreviewed	medium	6	6414	1935-02-09T00:26:00	1935-04-16T00:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.Р. Ельковича	Ельковича	initials_stripped_unreviewed	medium	6	8486	1935-01-13T00:00:00	1936-11-14T16:56:56	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.К. Наумова	Наумова	initials_stripped_unreviewed	medium	6	3339	1934-12-13T01:27:00	1935-01-21T01:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Я. Файвиловича	Файвиловича	initials_stripped_unreviewed	medium	6	2384	1934-12-14T03:00:00	1935-01-12T08:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Виноградова	Виноградова	initials_stripped_unreviewed	medium	6	1479	1934-12-12T10:24:00	1935-01-05T12:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.Н. Ширяева	Ширяева	initials_stripped_unreviewed	medium	6	3654	1934-12-15T02:00:00	1934-12-27T06:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.А. Чихладзе	Чихладзе	initials_stripped_unreviewed	medium	6	10243	1936-08-15T14:27:47	1937-02-08T16:46:30	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.А. Угланова	Угланова	initials_stripped_unreviewed	medium	6	6644	1933-02-25T14:29:43	1936-09-23T03:36:00	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
