person	document_count	total_words	first_date	last_date	profile_tags	top_families	top_organizations	top_office_positions	top_trial_roles	top_political_labels	top_accusatory_labels	top_generic_roles	top_document_types	top_processes	top_collections	interpretation_note
И.Н. Маевского	3	6974	1937-01-30T13:02:35	1937-02-22T21:14:21	trial_role_context | political_label_context	party_apparatus:3 | security_apparatus:2	ВКП(б):3 | ЦК ВКП(б):3 | ГУГБ:2 | КПК при ЦК ВКП(б):1 | КПК:1 | НКВД:1	заместитель:3 | комиссар:3 | нарком:3 | начальник:3 | секретарь:3 | председатель:1	обвиняемый:2	троцкист:3 | правый:1		член:3	special_report:2 | memo_note:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:2 | ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
И.П. Бакаевым	3	4890	1935-01-09T11:00:00	1936-07-13T00:10:00	trial_role_context | political_label_context	security_apparatus:3 | party_apparatus:2 | international:2 | judicial_apparatus:1	ГУГБ:3 | ВКП(б):2 | Коминтерн:2 | НКВД:2 | Верховный Суд СССР:1	комиссар:1 | руководитель:1 | секретарь:1	обвиняемый:3	троцкист:2		член:2	confrontation_protocol:3	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
К.И. Синелобовой	3	2410	1935-02-10T03:00:00	1935-03-28T06:00:00	investigation_document_context	party_apparatus:3 | security_apparatus:3	НКВД:3 | ВКП(б):2 | ГУГБ:2 | Политбюро:1	руководитель:2 | секретарь:1 | следователь:1				член:2 | сотрудник:2	interrogation_protocol:3	КРЕМЛЕВСКОЕ ДЕЛО:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
К.Н. Лукницкого	3	6263	1936-12-05T00:29:00	1937-03-22T11:01:23	press_context | trial_role_context | political_label_context	press_media:3 | party_apparatus:3 | security_apparatus:3	ВКП(б):3 | Известия:3 | ЦК ВКП(б):2 | ГУГБ:2 | НКВД:2	комиссар:3 | секретарь:3 | начальник:2 | руководитель:1 | редактор:1	обвиняемый:1	троцкист:3 | правый:2		член:2 | кандидат:1 | представитель:1	special_report:3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Л.А. Лаврентьева	3	2962	1935-11-04T18:10:00	1935-11-15T17:13:00	investigation_document_context | political_label_context	security_apparatus:3 | party_apparatus:1	ГУГБ:3 | ВКП(б):1			троцкист:3		член:2	interrogation_protocol:3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Л.Г. Лелевича	3	1260	1935-01-19T00:00:00	1935-01-27T15:58:00	investigation_document_context | political_label_context	party_apparatus:1	ВКП(б):1	руководитель:1		троцкист:3 | правый:1		представитель:2 | член:2	interrogation_protocol:3	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Л.И. Гасвиани	3	4971	1936-08-26T14:30:36	1937-01-17T12:07:26	political_label_context	party_apparatus:2 | security_apparatus:2 | press_media:1	ВКП(б):2 | НКВД:2 | ГУГБ:1 | Правда:1 | ЦК ВКП(б):1	директор:2 | секретарь:2 | нарком:1 | председатель:1 | руководитель:1		троцкист:3 | правый:1		член:2 | представитель:1	interrogation_protocol:2 | memo_note:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Л.М. Марьясина	3	10048	1937-01-31T22:21:26	1937-02-10T22:25:32	trial_role_context | political_label_context	party_apparatus:3 | security_apparatus:3 | state_apparatus:1	ВКП(б):3 | ЦК ВКП(б):3 | ГУГБ:3 | НКВД:3 | Совнарком:1	комиссар:3 | нарком:3 | начальник:3 | секретарь:3 | заместитель:2 | председатель:2 | директор:1 | руководитель:1	обвиняемый:3	троцкист:3		член:3 | кандидат:1	special_report:3	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Л.О. Ханика	3	1553	1934-12-13T08:16:00	1934-12-21T05:00:00	political_label_context	party_apparatus:2 | security_apparatus:1	ВКП(б):2 | НКВД:1	руководитель:2		троцкист:3		член:2 | представитель:1	interrogation_protocol:2 | statement:1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Л.П. Серебрякова	3	8464	1936-12-17T13:13:59	1937-01-15T15:49:24	political_label_context	party_apparatus:3 | security_apparatus:3 | press_media:1 | state_apparatus:1	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):3 | ИНО ГУГБ:1 | Правда:1 | Известия:1 | Совнарком:1	комиссар:3 | секретарь:3 | нарком:2 | руководитель:2 | начальник:2 | заместитель:1		троцкист:3 | правый:1		член:3 | представитель:2 | кандидат:1	special_report:3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Л.П. Серебряковым	3	7534	1937-01-16T08:01:48	1937-01-17T15:19:34	trial_role_context | political_label_context | accusatory_label_context	party_apparatus:3 | security_apparatus:3	ВКП(б):3 | ЦК ВКП(б):3 | ГУГБ:3 | НКВД:1	комиссар:3 | начальник:3 | секретарь:3 | заместитель:1 | нарком:1	обвиняемый:3	троцкист:3 | правый:2	агент:1	член:3	special_report:3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
М.В. Бурштейном	3	7280	1937-02-02T21:22:13	1937-02-05T21:05:23	trial_role_context | political_label_context | accusatory_label_context	security_apparatus:3 | party_apparatus:1	ГУГБ:3 | НКВД:3 | ВКП(б):1 | ЦК ВКП(б):1	секретарь:3 | заместитель:2 | нарком:2 | начальник:2 | комиссар:1	обвиняемый:3	троцкист:2 | правый:1	агент:1 | вредитель:1	кандидат:1 | сотрудник:1 | член:1	confrontation_protocol:2 | special_report:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
М.И. Лурье	3	10585	1936-06-13T01:14:00	1936-08-28T13:07:20	trial_role_context | political_label_context | accusatory_label_context	party_apparatus:3 | international:2 | security_apparatus:2	ВКП(б):3 | ЦК ВКП(б):3 | НКВД:2 | ИККИ:2 | Коминтерн:2 | Политбюро:2 | ГУГБ:1	нарком:2 | секретарь:2 | комиссар:2 | руководитель:2 | заместитель:1 | наркомвнудел:1 | председатель:1 | начальник:1	обвиняемый:1	троцкист:3 | правый:2	агент:1	член:3 | представитель:2 | сотрудник:1	letter:1 | interrogation_protocol:1 | special_report:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:2 | ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
М.Л. Быховского	3	7673	1936-04-27T02:30:00	1936-05-20T02:10:00	trial_role_context | political_label_context	party_apparatus:3 | security_apparatus:3	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):2 | НКВД:1	комиссар:3 | начальник:3 | руководитель:2 | нарком:1 | секретарь:1	обвиняемый:1	троцкист:3		член:1 | сотрудник:1	interrogation_protocol:2 | special_report:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
М.О. Зюка	3	5393	1936-08-21T01:10:00	1936-09-04T01:36:00	political_label_context | accusatory_label_context	party_apparatus:3 | security_apparatus:3 | press_media:2	ВКП(б):3 | НКВД:3 | ЦК ВКП(б):2 | ГУГБ:2 | Правда:2	комиссар:3 | секретарь:2 | начальник:2 | директор:1 | заместитель:1 | нарком:1		троцкист:3	агент:1	член:3 | кандидат:2	special_report:2 | interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
М.П. Жакова	3	5382	1936-03-16T13:33:46	1936-05-27T00:10:00	political_label_context	party_apparatus:2 | security_apparatus:2 | international:1 | press_media:1	ВКП(б):2 | ЦК ВКП(б):2 | ГУГБ:2 | Коминтерн:1 | Правда:1	комиссар:2 | редактор:2 | секретарь:2 | нарком:1 | председатель:1		троцкист:2		член:3 | кандидат:1	special_report:2 | letter:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:2 | ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
