person	document_count	total_words	first_date	last_date	profile_tags	top_families	top_organizations	top_office_positions	top_trial_roles	top_political_labels	top_accusatory_labels	top_generic_roles	top_document_types	top_processes	top_collections	interpretation_note
М.В. Михайлика	2	2346	1936-10-05T11:36:32	1936-10-10T11:46:10	political_label_context	party_apparatus:2 | security_apparatus:2 | state_apparatus:1	ВКП(б):2 | ГУГБ:2 | Совнарком:1	заместитель:2 | нарком:2 | начальник:2 | председатель:2 | прокурор:2 | секретарь:2 | директор:1		троцкист:2 | правый:1		член:2 | сотрудник:1	interrogation_protocol:2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
М.В. Муравьева	2	608	1934-12-16T03:00:00	1934-12-19T00:00:00	political_label_context	party_apparatus:1 | international:1	ВКП(б):1 | Коминтерн:1			троцкист:2		член:2	interrogation_protocol:2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
М.Г. Сафьянова	2	1981	1936-04-01T01:42:00	1936-04-29T03:00:00	political_label_context	party_apparatus:2 | security_apparatus:2 | international:1	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):1 | Коминтерн:1	секретарь:2 | комиссар:1		троцкист:2		член:2	special_report:1 | interrogation_protocol:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
М.И. Новожилова	2	3145	1935-04-03T03:00:00	1935-04-03T05:00:00	political_label_context	party_apparatus:2 | security_apparatus:2 | state_apparatus:1	НКВД:2 | ВКП(б):2 | ГУГБ:2 | ЦИК СССР:1 | Секретариат ЦИК СССР:1 | Политбюро:1	нарком:2 | секретарь:1		троцкист:2 | правый:1		член:2 | сотрудник:1	interrogation_protocol:2	КРЕМЛЕВСКОЕ ДЕЛО:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
М.И. Сумецкого	2	5548	1936-12-28T18:18:01	1937-01-02T18:22:01	trial_role_context | political_label_context	party_apparatus:2 | security_apparatus:2	ВКП(б):2 | ЦК ВКП(б):2 | ГУГБ:2 | Политбюро:2	председатель:1 | комиссар:1 | начальник:1 | руководитель:1 | секретарь:1	обвиняемый:2	правый:2 | троцкист:2		член:2 | представитель:1	interrogation_protocol:1 | special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
М.М. Кудряшева	2	3079	1936-11-04T08:25:21	1936-11-10T08:28:53	trial_role_context | political_label_context	party_apparatus:2 | security_apparatus:2 | state_apparatus:1	ВКП(б):2 | ГУГБ:2 | НКВД:1 | ЦК ВКП(б):1 | Совнарком:1	директор:2 | комиссар:1 | начальник:1 | председатель:1 | секретарь:1	обвиняемый:1	троцкист:2		член:2	interrogation_protocol:1 | special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
М.М. Чередниченко	2	2920	1936-12-22T14:08:12	1937-01-02T14:13:03	political_label_context	security_apparatus:2 | press_media:1 | party_apparatus:1	ГУГБ:2 | НКВД:2 | ВКП(б):1 | Правда:1 | ЦК ВКП(б):1	директор:2 | нарком:2 | начальник:2 | руководитель:2 | секретарь:2 | адвокат:1 | заместитель:1 | комиссар:1		троцкист:2		член:2	interrogation_protocol:1 | special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
М.Н. Рябинина	2	2344	1935-04-04T00:00:00	1935-04-23T01:00:00	political_label_context	party_apparatus:2 | security_apparatus:2	ВКП(б):2 | ИНО ГУГБ:2 | ГУГБ:2 | НКВД:2 | ЦК ВКП(б):1	нарком:1 | начальник:1 | посол:1 | руководитель:1		троцкист:2 | правый:1		член:2 | сотрудник:1	interrogation_protocol:2	КРЕМЛЕВСКОЕ ДЕЛО:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
М.Т. Антонова	2	7453	1936-07-22T01:10:00	1936-08-16T01:10:00	trial_role_context | political_label_context	press_media:2 | party_apparatus:2 | security_apparatus:1	ВКП(б):2 | ЦК ВКП(б):2 | Правда:2 | НКВД:1	нарком:2 | начальник:2 | редактор:2 | руководитель:2 | директор:1 | заместитель:1 | комиссар:1 | секретарь:1	обвиняемый:1	троцкист:2 | правый:1		сотрудник:2 | член:2 | представитель:1	special_report:1 | interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
М.Ф. Постоловского	2	4105	1937-01-07T08:25:04	1937-02-23T19:22:52	political_label_context	party_apparatus:2 | security_apparatus:2 | state_apparatus:1 | press_media:1	НКВД:2 | ВКП(б):2 | ЦК ВКП(б):2 | Правда:1 | Совнарком:1 | ГУГБ:1	директор:2 | комиссар:2 | секретарь:2 | заместитель:1 | нарком:1 | начальник:1		троцкист:2 | правый:1		член:1	special_report:2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Н.Б. Скаловой	2	2775	1935-03-31T00:00:00	1935-04-03T01:00:00		international:2 | security_apparatus:2 | party_apparatus:1 | press_media:1	ГУГБ:2 | Коминтерн:2 | ВКП(б):1 | ЦК ВКП(б):1 | Правда:1	комиссар:1 | посол:1 | секретарь:1 | директор:1				член:1	special_report:1 | interrogation_protocol:1	КРЕМЛЕВСКОЕ ДЕЛО:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Н.В. Буинцева	2	5205	1937-01-14T20:31:56	1937-01-20T20:42:17	political_label_context | accusatory_label_context	press_media:2 | party_apparatus:2 | security_apparatus:2	ВКП(б):2 | ГУГБ:2 | Правда:2	директор:2 | начальник:1 | нарком:1 | председатель:1 | руководитель:1		троцкист:2 | правый:1	агент:1	член:2	interrogation_protocol:2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Н.И. Муралова	2	5033	1936-12-05T08:20:28	1936-12-09T13:23:27	trial_role_context | political_label_context	party_apparatus:2 | security_apparatus:2 | state_apparatus:1	ВКП(б):2 | ЦК ВКП(б):2 | ГУГБ:2 | НКВД:1 | Политбюро:1 | Совнарком:1	комиссар:2 | нарком:2 | секретарь:2 | начальник:1 | председатель:1 | руководитель:1	обвиняемый:1	троцкист:2 | правый:1		член:2	special_report:2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Н.К. Магдарьева	2	391	1935-01-12T09:00:00	1935-01-13T02:00:00		security_apparatus:1	ГУГБ:1						testimony:2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Н.Л. Лурье	2	4476	1936-07-11T01:10:00	1936-07-21T01:10:00	political_label_context	party_apparatus:2 | state_apparatus:1 | security_apparatus:1 | international:1	ВКП(б):2 | ЦК ВКП(б):2 | НКВД:1 | ГУГБ:1 | ЦИК СССР:1 | Коминтерн:1	комиссар:2 | руководитель:2 | секретарь:2 | нарком:1 | начальник:1 | посол:1		троцкист:2 | правый:1		член:2 | представитель:1	special_report:2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Н.М. Маторина	2	2977	1936-05-28T01:10:00	1936-06-30T00:14:00	trial_role_context | political_label_context	party_apparatus:2 | security_apparatus:2	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):1 | НКВД:1	директор:2 | комиссар:2 | секретарь:2 | председатель:1 | руководитель:1 | следователь:1	обвиняемый:2	троцкист:2		член:2	interrogation_protocol:2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Н.М. Насонова	2	1272	1935-01-20T00:00:00	1935-01-22T00:00:00	political_label_context	international:2 | security_apparatus:2 | party_apparatus:1	ГУГБ:2 | Коминтерн:2 | НКВД:2 | ВКП(б):1	руководитель:1		правый:1		член:1	interrogation_protocol:2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Н.Н. Алексеева	2	1413	1933-02-12T09:57:30	1933-02-21T10:06:58	political_label_context	party_apparatus:2 | international:1	ВКП(б):2 | ЦК ВКП(б):1 | ИККИ:1 | Коминтерн:1	секретарь:2 | нарком:1		правый:2		член:2	memo_note:1 | telegram:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	ПРЕДЫСТОРИЯ:2	cooccurrence_profile_not_biographical_claim
Н.Н. Мищенко	2	1083	1935-03-14T03:00:00	1935-04-17T04:00:00	trial_role_context | political_label_context	security_apparatus:2 | party_apparatus:1	ГУГБ:2 | ВКП(б):1		обвиняемый:1	троцкист:1		сотрудник:1 | член:1	interrogation_protocol:1 | confrontation_protocol:1	КРЕМЛЕВСКОЕ ДЕЛО:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Н.Н. Шатского	2	974	1934-12-06T07:01:00	1934-12-07T01:00:00	political_label_context	party_apparatus:2 | security_apparatus:2	ВКП(б):2 | ГУГБ:2 | НКВД:1	секретарь:2		троцкист:1		член:2	interrogation_protocol:2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
О.П. Дзениса	2	3006	1936-12-15T22:20:08	1936-12-23T11:44:46	trial_role_context | political_label_context	party_apparatus:2 | security_apparatus:2	ВКП(б):2 | ЦК ВКП(б):2 | НКВД:2 | ГУГБ:1	комиссар:2 | руководитель:2 | секретарь:2 | директор:1 | заместитель:1 | нарком:1 | редактор:1	обвиняемый:1	правый:2 | троцкист:2		член:2 | представитель:1 | кандидат:1	special_report:2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
П.А. Липшица	2	5062	1936-07-10T01:10:00	1936-07-19T01:10:00	trial_role_context | political_label_context	party_apparatus:2 | international:2 | security_apparatus:2	ВКП(б):2 | Коминтерн:2 | НКВД:2 | КПК:1 | ИККИ:1 | ГУГБ:1 | Политбюро:1	посол:2 | комиссар:1 | нарком:1 | начальник:1 | руководитель:1 | секретарь:1	подсудимый:1	троцкист:1		член:2	interrogation_protocol:2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
П.Г. Петровского	2	4126	1933-02-24T14:23:22	1934-06-30T18:06:36	political_label_context | accusatory_label_context	press_media:2 | party_apparatus:2 | state_apparatus:1 | international:1	ВКП(б):2 | Правда:2 | ЦК ВКП(б):2 | Политбюро:2 | Совнарком:1 | ИККИ:1	секретарь:2		правый:2 | троцкист:2	агент:1	член:2 | кандидат:1	special_report:1 | testimony:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	ПРЕДЫСТОРИЯ:2	cooccurrence_profile_not_biographical_claim
П.К. Александрова	2	6259	1933-03-18T07:03:19	1937-02-05T20:40:23	political_label_context	party_apparatus:2 | press_media:1 | international:1 | security_apparatus:1	ВКП(б):2 | ИККИ:1 | ГУГБ:1 | Правда:1 | ЦК ВКП(б):1 | Политбюро:1	комиссар:1 | нарком:1 | руководитель:1 | секретарь:1		правый:1 | троцкист:1		член:2 | представитель:1	special_report:1 | testimony:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:1 | ПРЕДЫСТОРИЯ:1	cooccurrence_profile_not_biographical_claim
П.М. Репникова	2	2024	1935-01-09T05:00:00	1935-01-14T12:00:00	political_label_context	party_apparatus:2 | security_apparatus:2	ГУГБ:2 | Политбюро:1 | ВКП(б):1	начальник:1 | директор:1 | заместитель:1 | секретарь:1		правый:1		представитель:1 | член:1	testimony:1 | interrogation_protocol:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
П.Н. Нечаева	2	1749	1936-03-28T01:00:00	1936-04-04T00:03:00	political_label_context	party_apparatus:2 | security_apparatus:2	ВКП(б):2 | ГУГБ:2 | НКВД:2	начальник:2 | руководитель:1		троцкист:2		сотрудник:2 | член:2 | кандидат:1	interrogation_protocol:2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
П.П. Бурмистрова	2	380	1935-01-02T14:00:00	1935-01-02T17:00:00	political_label_context	security_apparatus:2 | party_apparatus:1	ГУГБ:2 | ВКП(б):1 | ЦК ВКП(б):1 | НКВД:1			троцкист:1			interrogation_protocol:2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
П.П. Северова	2	887	1934-12-18T07:00:00	1934-12-25T05:00:00		party_apparatus:1	ВКП(б):1	секретарь:1				член:2	interrogation_protocol:2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
П.Ф. Полякова	2	1678	1935-02-10T02:00:00	1935-04-17T02:00:00	political_label_context	party_apparatus:2 | security_apparatus:2	ВКП(б):2 | ГУГБ:2 | НКВД:1	заместитель:1 | нарком:1 | начальник:1		троцкист:2		член:2 | сотрудник:1	interrogation_protocol:2	КРЕМЛЕВСКОЕ ДЕЛО:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Пригожин	2	10794	1936-07-20T02:10:00	1936-08-05T01:10:00	trial_role_context | political_label_context	press_media:2 | party_apparatus:2 | international:2 | security_apparatus:2	НКВД:2 | ВКП(б):2 | ГУГБ:2 | Известия:2 | ЦК ВКП(б):2 | Коминтерн:2 | Политбюро:1 | Правда:1	директор:2 | комиссар:2 | председатель:2 | секретарь:2 | руководитель:1 | корреспондент:1	обвиняемый:1	троцкист:2 | правый:1		кандидат:2 | член:2	special_report:2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Р.А. Петерсона	2	1291	1935-05-10T21:54:55	1935-05-24T15:02:00		party_apparatus:2	ВКП(б):2 | ЦК ВКП(б):2	секретарь:2 | заместитель:1 | комиссар:1 | нарком:1 | начальник:1 | руководитель:1				сотрудник:1	statement:1 | explanation:1	КРЕМЛЕВСКОЕ ДЕЛО:2	ДРУГИЕ ДОКУМЕНТЫ:1 | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ:1	cooccurrence_profile_not_biographical_claim
Р.С. Беннет	2	6066	1935-04-20T00:35:00	1935-04-28T00:10:00	political_label_context | accusatory_label_context	party_apparatus:2 | security_apparatus:2 | international:1	НКВД:2 | ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2 | Политбюро:2 | Коминтерн:1	комиссар:2 | руководитель:2 | секретарь:2 | нарком:1		троцкист:2 | правый:1	агент:1	представитель:2 | сотрудник:2 | член:2 | кандидат:1	special_report:2	КРЕМЛЕВСКОЕ ДЕЛО:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Радин	2	12030	1937-02-13T20:51:20	1937-02-22T21:10:32	trial_role_context | political_label_context	state_apparatus:2 | party_apparatus:2 | press_media:1 | international:1 | security_apparatus:1	ВКП(б):2 | Совнарком:2 | ЦК ВКП(б):2 | ИККИ:1 | ГУГБ:1 | Правда:1 | Политбюро:1	комиссар:2 | нарком:2 | председатель:2 | секретарь:2 | адвокат:1 | заместитель:1 | начальник:1 | руководитель:1	свидетель:1	правый:2 | троцкист:2		представитель:2 | член:2 | кандидат:1 | сотрудник:1	special_report:2	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
С.А. Гоглидзе	2	3401	1937-02-10T16:58:51	1937-02-16T16:22:28	political_label_context	security_apparatus:2 | party_apparatus:1	ГУГБ:2 | НКВД:2 | ВКП(б):1 | ЦК ВКП(б):1	комиссар:2 | нарком:1 | наркомвнудел:1 | руководитель:1 | секретарь:1		троцкист:2 | правый:1		член:2	special_report:1 | statement:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
С.А. Ратайчаком	2	7461	1936-10-14T01:36:00	1937-01-15T21:03:21	trial_role_context | political_label_context | accusatory_label_context	party_apparatus:2 | security_apparatus:2	ВКП(б):2 | ЦК ВКП(б):2 | ГУГБ:2 | НКВД:1	заместитель:2 | комиссар:2 | начальник:2 | руководитель:2 | секретарь:2 | директор:1 | нарком:1 | председатель:1 | следователь:1	обвиняемый:2	троцкист:2	вредитель:1	член:2 | представитель:1 | кандидат:1	special_report:2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
С.Г. Радомысльского	2	3212	1935-07-16T16:44:56	1936-10-09T13:04:48	trial_role_context | political_label_context	party_apparatus:2 | security_apparatus:2 | press_media:1	ВКП(б):2 | ЦК ВКП(б):2 | КПК при ЦК ВКП(б):1 | КПК:1 | ГУГБ:1 | Правда:1 | Политбюро:1 | НКВД:1	комиссар:2 | секретарь:2 | редактор:1 | руководитель:1	свидетель:1	троцкист:1		член:2 | сотрудник:1	special_report:2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
С.М. Закс-Гладнев	2	8900	1936-04-24T17:06:51	1936-08-03T00:10:00	trial_role_context | political_label_context | accusatory_label_context	international:2 | party_apparatus:1 | state_apparatus:1 | press_media:1 | security_apparatus:1	Коминтерн:2 | ВКП(б):1 | ИККИ:1 | ГУГБ:1 | Правда:1 | ЦИК СССР:1 | ЦК ВКП(б):1 | Политбюро:1	редактор:2 | секретарь:2 | директор:1 | заместитель:1 | комиссар:1 | нарком:1 | председатель:1 | следователь:1 | начальник:1	обвиняемый:1	троцкист:1 | правый:1	агент:1	член:2	special_report:1 | letter:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1 | ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
С.О. Мандельштама	2	1303	1934-12-17T06:01:03	1934-12-18T04:01:54	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | НКВД:1	секретарь:1		правый:1		член:2	interrogation_protocol:2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
С.П. Калашникова	2	4986	1937-02-11T10:31:14	1937-02-14T10:40:50	trial_role_context | political_label_context	security_apparatus:2 | party_apparatus:1	ГУГБ:2 | ВКП(б):1 | ЦК ВКП(б):1 | НКВД:1	секретарь:2 | директор:1 | комиссар:1 | начальник:1	обвиняемый:2	троцкист:1		член:2	interrogation_protocol:1 | special_report:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
С.П. Минаева	2	1495	1935-01-01T07:00:00	1935-01-02T00:01:00	trial_role_context | political_label_context	security_apparatus:2 | party_apparatus:1	ГУГБ:2 | НКВД:2 | ВКП(б):1 | ЦК ВКП(б):1	нарком:2 | директор:1	обвиняемый:1	троцкист:2		член:1	interrogation_protocol:2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
С.С. Зорина	2	890	1935-01-02T22:01:33	1935-01-21T03:00:00	political_label_context	party_apparatus:2 | security_apparatus:1 | press_media:1	ВКП(б):2 | ЦК ВКП(б):2 | ГУГБ:1 | НКВД:1 | Правда:1	директор:2 | секретарь:2 | комиссар:1		правый:1		член:2 | кандидат:1	interrogation_protocol:1 | special_report:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
С.Я. Бабахана	2	4317	1936-07-06T10:49:00	1936-07-23T00:32:00	trial_role_context | political_label_context | accusatory_label_context	party_apparatus:2 | security_apparatus:2 | international:1	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2 | Коминтерн:1 | Политбюро:1	комиссар:2 | руководитель:2 | секретарь:2 | начальник:1 | нарком:1 | председатель:1	обвиняемый:1	правый:2 | троцкист:2	агент:1	член:2	special_report:2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Т.Г. Гатаулина	2	1820	1936-03-26T00:00:00	1936-04-09T02:00:00	political_label_context	security_apparatus:2 | party_apparatus:1	ГУГБ:2 | НКВД:1 | ВКП(б):1 | ЦК ВКП(б):1 | Горьковский крайком ВКП(б):1	комиссар:1 | директор:1 | руководитель:1		троцкист:2		член:2	interrogation_protocol:2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Т.П. Денисовой	2	1794	1935-02-28T01:00:00	1935-03-17T05:00:00		security_apparatus:2 | press_media:1	ГУГБ:2 | НКВД:2 | Правда:1	посол:2 | секретарь:1				сотрудник:1	interrogation_protocol:2	КРЕМЛЕВСКОЕ ДЕЛО:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Т.Р. Левиной	2	5120	1933-03-21T08:03:53	1937-01-25T13:59:23	political_label_context	party_apparatus:2 | press_media:1 | international:1 | security_apparatus:1	ВКП(б):2 | ГУГБ:1 | Правда:1 | ЦК ВКП(б):1 | Коминтерн:1 | Политбюро:1	руководитель:2 | директор:1 | нарком:1 | редактор:1 | секретарь:1		правый:2 | троцкист:2		член:2	testimony:1 | special_report:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	ПРЕДЫСТОРИЯ:1 | МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Ф.Г. Иванова	2	2276	1935-03-29T01:09:00	1935-04-10T00:05:00	political_label_context	party_apparatus:2 | security_apparatus:2	НКВД:2 | ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):1 | Политбюро:1	комиссар:1 | секретарь:1		троцкист:2 | правый:1		сотрудник:1	special_report:1 | interrogation_protocol:1	КРЕМЛЕВСКОЕ ДЕЛО:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Ф.И. Вайсберга	2	2331	1936-09-14T16:41:22	1936-10-09T11:39:33	political_label_context	party_apparatus:1 | state_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | Совнарком:1 | ГУГБ:1	секретарь:2 | комиссар:1 | нарком:1 | начальник:1 | председатель:1 | заместитель:1		троцкист:2 | правый:1		член:2	special_report:2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Э.Б. Абрамсона	2	1165	1935-01-06T01:00:00	1935-01-07T00:00:00		party_apparatus:1	ВКП(б):1	директор:1 | секретарь:1				член:1 | представитель:1	interrogation_protocol:2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Ю.Б. Тартаковской	2	1267	1934-12-23T01:00:00	1935-01-03T11:00:00	political_label_context	party_apparatus:1	ВКП(б):1	нарком:1		троцкист:1		член:1	interrogation_protocol:2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Ю.М. Бочарова	2	3592	1936-04-13T08:20:00	1936-04-24T12:51:00	political_label_context	party_apparatus:2 | security_apparatus:2	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):1 | НКВД:1	руководитель:1 | директор:1 | комиссар:1 | председатель:1 | секретарь:1		троцкист:2 | правый:1		член:2 | представитель:1	interrogation_protocol:1 | special_report:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Я.А. Фуртичева	2	5390	1936-04-09T01:00:00	1936-05-04T01:10:00	political_label_context | accusatory_label_context	party_apparatus:2 | international:2 | security_apparatus:2	ВКП(б):2 | ГУГБ:2 | Коминтерн:2 | Горьковский крайком ВКП(б):1 | НКВД:1 | ЦК ВКП(б):1	директор:2 | комиссар:2 | секретарь:2 | редактор:1 | руководитель:1		троцкист:2	агент:1	член:2	interrogation_protocol:1 | special_report:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Я.Д. Лейбмана	2	1945	1936-10-15T21:51:56	1936-10-20T21:46:02	trial_role_context | political_label_context	security_apparatus:2	ГУГБ:2 | НКВД:1	секретарь:2 | заместитель:1	обвиняемый:1	троцкист:2 | правый:1		член:2	testimony:1 | interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
Я.И. Богомольного	2	700	1934-12-17T07:00:00	1934-12-31T06:00:00	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ГУГБ:1			троцкист:2 | правый:1		член:2	interrogation_protocol:2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	cooccurrence_profile_not_biographical_claim
