person	total_process_documents	process_count	process_kind_count	top_process	top_process_document_count	top_process_share	process_distribution	process_kind_distribution	interpretation_note
А.М. Горькому	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
А.М. Гусева	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
А.М. Штейна	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
А.П. Загорулько	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
А.С. Куклиным	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
А.С. Соколова	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Б.И. Лехтмана	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Б.М. Таля	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
В.А. Ельчаниновой	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
В.А. Закамалдина	2	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
В.В. Досекина	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
В.В. Папкова	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
В.И. Звездовым	2	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
В.И. Невского	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
В.И. Пучкова	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
В.И. Шипихина	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
В.М. Андреева	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
В.М. Рохинсона	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
В.Н. Голованова	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
В.Н. Ракова	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
В.Н. Цатурова-Большакова	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
В.Ф. Головина	2	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Г.А. Колоскова	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Г.В. Соколовым	2	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
Г.Е. Пушина	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Г.И. Шварца	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
Г.Л. Шкловского	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Г.П. Поташникова	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
Г.С. Фридлянда	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Г.Я. Маренко	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Гавен	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Д.А. Карцева	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Д.И. Антипаса	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Д.И. Матвеева	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Д.С. Азбеля	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Д.Т. Шермергорна	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Е.В. Рогачевой	2	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
Е.Д. Соколовой	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Е.И. Майзлиной	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Е.М. Манюрин-Броварский	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Е.М. Рыбальченко	2	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Е.Н. Васильева	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Е.О. Симак	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Е.Р. Майера	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Е.С. Мишаковой	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
З.В. Флоровой	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
З.Д. Ханик	2	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
И.А. Козина	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
И.Д. Гаврикова	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
И.Е. Коваленко	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
И.Е. Павлова	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
И.И. Тарасовым	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
И.М. Бык-Бек	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
И.Н. Стукова	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
И.О. Гольденберга	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
И.П. Крыженко	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
И.С. Михайлова	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
И.С. Эстермана	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
И.Т. Ляшенко	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
К.А. Озола	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
К.Б. Берман-Юрин	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
К.И. Гидлевского	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
К.И. Грюнштейна	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
К.Н. Емельянова	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
К.С. Модебадзе	2	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Л.А. Чернозубовой	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Л.В. Когану	2	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Л.Е. Бурковой	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Л.Е. Тамма	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Л.Е. Хосроева	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Л.И. Перельштейн	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Л.И. Пономарева	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Л.Н. Минервиной	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Л.С. Ассиновского	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Л.Х. Розенблюма	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
М.А. Жарикова	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
М.Б. Черномордику	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
М.В. Михайлика	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
М.В. Муравьева	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
М.Г. Сафьянова	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
М.И. Новожилова	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
М.И. Сумецкого	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
М.М. Кудряшева	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
М.М. Чередниченко	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
М.Н. Рябинина	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
М.Т. Антонова	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Н.Б. Скаловой	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Н.В. Буинцева	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Н.И. Муралова	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Н.К. Магдарьева	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
Н.Л. Лурье	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Н.М. Маторина	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Н.М. Насонова	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
Н.Н. Алексеева	2	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Н.Н. Мищенко	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Н.Н. Шатского	2	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
О.П. Дзениса	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
П.А. Липшица	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
П.Г. Петровского	2	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
П.К. Александрова	2	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
П.М. Репникова	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
П.Н. Нечаева	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
П.П. Бурмистрова	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
П.П. Северова	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
П.Ф. Полякова	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Пригожин	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Р.А. Петерсона	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Р.С. Беннет	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Радин	2	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
С.А. Гоглидзе	2	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
С.А. Ратайчаком	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
С.О. Мандельштама	2	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
С.П. Калашникова	2	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
С.П. Минаева	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
С.С. Зорина	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
С.Я. Бабахана	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Т.Г. Гатаулина	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Т.П. Денисовой	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Т.Р. Левиной	2	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Ф.Г. Иванова	2	1	1	КРЕМЛЕВСКОЕ ДЕЛО	2	1.0	КРЕМЛЕВСКОЕ ДЕЛО:2	related_case:2	process_profile_from_document_cooccurrence
Ф.И. Вайсберга	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Э.Б. Абрамсона	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
Ю.Б. Тартаковской	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
Ю.М. Бочарова	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Я.А. Фуртичева	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Я.Д. Лейбмана	2	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Я.И. Богомольного	2	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	related_case:2	process_profile_from_document_cooccurrence
Я.С. Розановым	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
Я.Я. Упмал-Ангарский	2	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	major_show_trial:2	process_profile_from_document_cooccurrence
