person	total_process_documents	process_count	process_kind_count	top_process	top_process_document_count	top_process_share	process_distribution	process_kind_distribution	interpretation_note
А.С. Куклина	7	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	7	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:7	related_case:7	process_profile_from_document_cooccurrence
В.В. Кузьмина	7	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	7	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:7	major_show_trial:7	process_profile_from_document_cooccurrence
В.М. Попова	7	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	7	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:7	major_show_trial:7	process_profile_from_document_cooccurrence
В.Ф. Логинова	7	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	7	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:7	major_show_trial:7	process_profile_from_document_cooccurrence
Е.А. Дрейцера	7	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	7	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:7	major_show_trial:7	process_profile_from_document_cooccurrence
И.А. Мусульбаса	7	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	7	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:7	major_show_trial:7	process_profile_from_document_cooccurrence
М.В. Королькова	7	1	1	КРЕМЛЕВСКОЕ ДЕЛО	7	1.0	КРЕМЛЕВСКОЕ ДЕЛО:7	related_case:7	process_profile_from_document_cooccurrence
Н.П. Мясникова	7	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	7	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:7	related_case:7	process_profile_from_document_cooccurrence
Ф.Ф. Фадеева	7	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	7	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:7	related_case:7	process_profile_from_document_cooccurrence
Л.З. Мехлиса	6	3	2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	4	0.6667	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4 | КРЕМЛЕВСКОЕ ДЕЛО:1 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:5 | related_case:1	process_profile_from_document_cooccurrence
