person	raw_forms	document_count	total_words	first_date	last_date	process_count	processes	collection_count	collections
Г.Е. Евдокимова	Г.Е. Евдокимова	14	13224	1934-12-14T02:00:00	1936-08-14T04:10:00	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Членов	Членов	14	12991	1927-12-18T07:56:18	1937-03-07T15:27:20	4	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Балицкого	В.А. Балицкого	13	9204	1935-12-05T02:28:10	1936-09-20T16:59:17	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.К. Мухановой	Е.К. Мухановой	13	14945	1935-02-10T01:00:00	1935-04-27T00:10:00	1	КРЕМЛЕВСКОЕ ДЕЛО	2	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Котолынова	И.И. Котолынова	13	3519	1934-12-06T06:01:00	1934-12-26T00:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.П. Бакаева	И.П. Бакаева	13	19263	1934-12-14T01:00:00	1936-08-14T06:10:00	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Анишева	А.И. Анишева	12	8055	1934-12-27T04:00:00	1935-01-11T01:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Румянцева	В.В. Румянцева | В.В. Румянцеву	12	7139	1928-06-30T07:57:59	1934-12-20T02:00:00	2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКИ КПК И ИМЛ
Г.Б. Синани-Скалов	Г.Б. Синани-	12	24002	1933-06-04T11:39:19	1936-04-25T14:02:00	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	Г.Б. СИНАНИ-СКАЛОВ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Ф. Попова	Г.Ф. Попова | Г.Ф. Поповым	12	2851	1934-12-15T00:00:00	1935-01-04T15:00:00	2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.С. Горшенина	И.С. Горшенина	12	8513	1934-12-14T04:00:00	1935-01-20T01:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.М. Гертика	А.М. Гертика | А.М. Гертиком	11	6540	1934-12-10T00:22:00	1936-09-01T02:36:00	2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Рейнгольда	И.И. Рейнгольда | И.И. Рейнгольдом	11	25768	1934-12-18T09:00:00	1936-08-16T00:10:00	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.М. Каганович	Л.М. Кагановичу	11	8913	1932-10-04T15:20:04	1937-01-30T13:02:35	4	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
М.К. Чернявского	М.К. Чернявского	11	14760	1935-03-06T00:32:00	1935-04-17T05:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.М. Харитонова	М.М. Харитонова	11	4923	1934-12-22T06:00:00	1935-03-12T11:01:21	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.В. Голубенко	Н.В. Голубенко	11	17948	1936-08-09T00:10:00	1936-10-16T22:00:10	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Я. Вышинский	А.Я. Вышинским | А.Я. Вышинского | А.Я. Вышинскому	10	12440	1935-03-22T13:14:00	1937-01-24T14:26:11	4	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	4	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА
Н.С. Антонова	Н.С. Антонова	10	1860	1934-12-09T05:11:00	1934-12-22T01:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.А. Николаева	П.А. Николаева	10	6257	1934-12-03T01:41:43	1934-12-14T01:20:46	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	ДЕЛО ПЕТРА НИКОЛАЕВА
Смирнов	Смирнов	10	33838	1929-07-11T12:33:25	1936-08-23T18:39:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.Л. Браво	Б.Л. Браво	9	5415	1934-12-15T07:00:00	1935-01-10T01:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.Н. Сахова	Б.Н. Сахова | Б.Н. Саховым	9	10241	1934-12-30T04:00:00	1936-08-18T15:07:46	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Барута	В.А. Барута	9	5881	1935-02-26T03:00:00	1935-03-26T01:30:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.И. Звездова	В.И. Звездова	9	5421	1934-12-09T04:06:00	1934-12-23T02:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.С. Левина	В.С. Левина | В.С. Левиным	9	2834	1934-12-13T07:15:00	1934-12-25T01:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.К. Муханова	К.К. Муханова	9	6855	1935-03-08T03:00:00	1935-04-09T01:05:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Киров	Киров	9	3061	1934-12-14T05:00:00	1935-04-18T00:22:00	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.А. Нырчука	М.А. Нырчука | М.А. Нырчуком	9	8748	1935-10-10T18:52:00	1936-03-25T04:00:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Н. Яковлева	М.Н. Яковлева	9	8431	1935-01-01T06:00:00	1936-10-01T18:30:00	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Т.И. Глебовой	Т.И. Глебовой	9	12357	1933-04-01T11:54:30	1936-11-09T18:39:00	3	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Толмазова	А.И. Толмазова	8	2198	1934-12-11T06:22:00	1934-12-17T05:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.С. Енукидзе	А.С. Енукидзе	8	10998	1934-12-28T15:35:39	1935-08-26T13:51:45	1	КРЕМЛЕВСКОЕ ДЕЛО	3	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Астров	Астров	8	26892	1933-02-16T13:53:46	1937-02-16T09:59:48	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	БУХАРИН | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Г.А. Молчанова	Г.А. Молчанова | Г.А. Молчанову	8	19488	1933-03-19T22:24:02	1937-03-27T15:37:52	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Г.Ф. Федорова	Г.Ф. Федорова	8	5122	1934-12-18T02:00:00	1935-01-13T06:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Г. Юскина	И.Г. Юскина | И.Г. Юскиным	8	2027	1934-12-07T03:55:00	1934-12-19T04:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Тарасова	И.И. Тарасова	8	4332	1934-12-19T04:00:00	1935-01-07T09:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Ф. Шкирятову	М.Ф. Шкирятова | М.Ф. Шкирятову	8	11590	1935-02-12T15:38:23	1937-02-06T19:15:18	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 2-12 МАРТА 1938 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
Н.И. Мухина	Н.И. Мухина	8	6291	1935-10-22T19:01:00	1936-01-07T00:04:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.В. Мрачковский	С.В. Мрачковским | С.В. Мрачковского	8	11972	1935-01-10T07:20:00	1936-08-13T00:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА
С.М. Гессена	С.М. Гессена | С.М. Гессеном	8	7027	1934-12-15T06:00:00	1937-07-14T13:17:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
А.С. Куклина	А.С. Куклина	7	2540	1934-12-18T03:00:00	1935-04-27T13:15:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Кузьмина	В.В. Кузьмина	7	35871	1933-02-07T11:40:21	1937-02-23T15:38:04	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	3	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
В.М. Попова	В.М. Попова	7	8748	1935-11-03T17:09:00	1936-03-28T00:00:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Ф. Логинова	В.Ф. Логинова	7	12937	1936-08-11T02:10:00	1936-11-09T00:29:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.А. Дрейцера	Е.А. Дрейцера	7	20634	1936-06-11T01:14:00	1936-08-14T03:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.А. Мусульбаса	И.А. Мусульбаса	7	13487	1936-10-27T20:18:22	1936-12-31T11:43:11	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.В. Королькова	М.В. Королькова	7	8171	1935-03-11T02:10:00	1935-04-21T01:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.П. Мясникова	Н.П. Мясникова	7	4150	1934-12-15T11:17:00	1934-12-23T04:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ф.Ф. Фадеева	Ф.Ф. Фадеева	7	1652	1934-12-15T05:00:00	1935-01-05T13:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Ф. Шараповой	А.Ф. Шараповой	6	4390	1935-03-13T01:00:00	1935-04-26T00:10:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Виноградова	В.А. Виноградова	6	1479	1934-12-12T10:24:00	1935-01-05T12:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Глухенко	В.В. Глухенко	6	7500	1935-10-14T18:56:00	1936-02-09T01:42:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.М. Аркуса	Г.М. Аркуса | Г.М. Аркусом	6	7922	1935-10-02T12:11:49	1936-08-05T00:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.А. Шмидта	Д.А. Шмидта	6	7281	1936-07-07T10:49:00	1936-09-21T01:36:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.Н. Ширяева	Д.Н. Ширяева	6	3654	1934-12-15T02:00:00	1934-12-27T06:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.Ф. Куликова	Е.Ф. Куликова	6	11484	1936-01-09T09:40:23	1936-12-31T17:06:41	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
З.И. Давыдовой	З.И. Давыдовой	6	5544	1935-03-07T01:33:00	1935-04-21T02:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.К. Наумова	И.К. Наумова	6	3339	1934-12-13T01:27:00	1935-01-21T01:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.М. Гуревича	И.М. Гуревича	6	7076	1936-09-16T09:22:52	1936-10-11T21:57:36	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.З. Мехлиса	Л.З. Мехлиса | Л.З. Мехлису	6	9313	1935-08-06T11:52:06	1937-01-26T09:13:34	3	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
Л.Я. Файвиловича	Л.Я. Файвиловича | Л.Я. Файвиловичу	6	2384	1934-12-14T03:00:00	1935-01-12T08:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.М. Киллерога	М.М. Киллерога	6	12560	1936-09-29T09:06:47	1936-10-18T21:39:49	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Молотов	Молотов	6	8481	1936-03-16T13:33:46	1936-12-04T00:29:00	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.А. Угланова	Н.А. Угланова	6	6644	1933-02-25T14:29:43	1936-09-23T03:36:00	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Н.И. Бураго	Н.И. Бураго	6	6414	1935-02-09T00:26:00	1935-04-16T00:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.И. Бескиной	П.И. Бескиной	6	5852	1931-10-19T09:48:42	1937-03-21T21:33:21	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ОЛЬБЕРГ
