person	organization_count	top_organizations	top_families	total_pair_document_sum
Астров	10	ВКП(б):7 | ЦК ВКП(б):4 | Политбюро:3 | ГУГБ:2 | Коминтерн:2 | НКВД:2 | Правда:2 | Совнарком:2 | ИККИ:1 | Известия:1	party_apparatus:14 | security_apparatus:4 | international:3 | press_media:3 | state_apparatus:2	26
П.А. Николаева	5	ГУГБ:9 | НКВД:8 | ВКП(б):4 | ОО ГУГБ НКВД:4 | ЦК ВКП(б):1	security_apparatus:21 | party_apparatus:5	26
В.В. Румянцева	6	ГУГБ:9 | ВКП(б):6 | НКВД:4 | Коминтерн:2 | Политбюро:2 | ЦК ВКП(б):2	security_apparatus:13 | party_apparatus:10 | international:2	25
М.М. Харитонова	7	ВКП(б):8 | ЦК ВКП(б):6 | ГУГБ:4 | НКВД:3 | Коминтерн:2 | КПК:1 | КПК при ЦК ВКП(б):1	party_apparatus:16 | security_apparatus:7 | international:2	25
Б.Н. Сахова	7	Коминтерн:6 | ВКП(б):5 | ЦК ВКП(б):5 | ГУГБ:4 | НКВД:2 | КПК:1 | Политбюро:1	party_apparatus:12 | international:6 | security_apparatus:6	24
В.Ф. Логинова	6	ВКП(б):6 | ЦК ВКП(б):6 | ГУГБ:5 | НКВД:5 | Правда:1 | Совнарком:1	party_apparatus:12 | security_apparatus:10 | state_apparatus:1 | press_media:1	24
Г.Ф. Федорова	6	ГУГБ:8 | НКВД:8 | ВКП(б):3 | Коминтерн:2 | Политбюро:2 | ОО ГУГБ НКВД:1	security_apparatus:17 | party_apparatus:5 | international:2	24
Л.С. Сосновского	10	ВКП(б):4 | ЦК ВКП(б):4 | Известия:3 | Политбюро:3 | Правда:3 | КПК:2 | НКВД:2 | ГУГБ:1 | Коминтерн:1 | Совнарком:1	party_apparatus:13 | press_media:6 | security_apparatus:3 | state_apparatus:1 | international:1	24
Т.И. Глебовой	10	Правда:5 | ВКП(б):4 | НКВД:4 | ЦК ВКП(б):3 | ГУГБ:2 | Политбюро:2 | ИККИ:1 | КПК:1 | Коминтерн:1 | НКИД:1	party_apparatus:10 | security_apparatus:6 | press_media:5 | international:2 | state_apparatus:1	24
Б.А. Кушнера	10	ВКП(б):4 | ГУГБ:4 | НКВД:4 | ЦК ВКП(б):4 | ИНО ГУГБ:2 | КПК:1 | Коминтерн:1 | ОО ГУГБ НКВД:1 | Политбюро:1 | Правда:1	security_apparatus:11 | party_apparatus:10 | international:1 | press_media:1	23
Д.А. Шмидта	6	ВКП(б):5 | ГУГБ:5 | НКВД:5 | ОО ГУГБ НКВД:3 | ЦК ВКП(б):3 | Совнарком:1	security_apparatus:13 | party_apparatus:8 | state_apparatus:1	22
Л.З. Мехлиса	5	Правда:6 | ВКП(б):5 | ЦК ВКП(б):5 | НКВД:3 | Совнарком:2	party_apparatus:10 | press_media:6 | security_apparatus:3 | state_apparatus:2	21
А.М. Гертика	7	ГУГБ:8 | НКВД:4 | ВКП(б):3 | ЦК ВКП(б):2 | ИНО ГУГБ:1 | Коминтерн:1 | Политбюро:1	security_apparatus:13 | party_apparatus:6 | international:1	20
В.М. Попова	6	ВКП(б):6 | ГУГБ:6 | НКВД:3 | Коминтерн:2 | ЦК ВКП(б):2 | Политбюро:1	security_apparatus:9 | party_apparatus:9 | international:2	20
М.М. Киллерога	6	ВКП(б):6 | ГУГБ:6 | ЦК ВКП(б):4 | НКВД:2 | Правда:1 | Совнарком:1	party_apparatus:10 | security_apparatus:8 | state_apparatus:1 | press_media:1	20
А.А. Шестова	6	ВКП(б):5 | ГУГБ:5 | ЦК ВКП(б):3 | НКВД:2 | Политбюро:2 | Правда:2	party_apparatus:10 | security_apparatus:7 | press_media:2	19
В.В. Шмидта	8	ВКП(б):4 | Политбюро:3 | Правда:3 | ЦК ВКП(б):3 | Известия:2 | Совнарком:2 | ГУГБ:1 | НКВД:1	party_apparatus:10 | press_media:5 | state_apparatus:2 | security_apparatus:2	19
В.И. Звездова	4	ВКП(б):8 | ЦК ВКП(б):6 | Политбюро:4 | НКВД:1	party_apparatus:18 | security_apparatus:1	19
И.И. Котолынова	3	ГУГБ:10 | ВКП(б):5 | НКВД:4	security_apparatus:14 | party_apparatus:5	19
М.В. Королькова	5	ГУГБ:7 | ИНО ГУГБ:7 | НКВД:3 | ВКП(б):1 | Совнарком:1	security_apparatus:17 | state_apparatus:1 | party_apparatus:1	19
Молотов	9	ВКП(б):5 | ЦК ВКП(б):4 | ГУГБ:3 | НКВД:2 | ИНО ГУГБ:1 | Известия:1 | Коминтерн:1 | Правда:1 | Совнарком:1	party_apparatus:9 | security_apparatus:6 | press_media:2 | state_apparatus:1 | international:1	19
В.Д. Миронова	6	ВКП(б):4 | ГУГБ:4 | НКВД:4 | ЦК ВКП(б):4 | КПК:1 | КПК при ЦК ВКП(б):1	party_apparatus:10 | security_apparatus:8	18
Г.М. Аркуса	5	ВКП(б):6 | ЦК ВКП(б):6 | ГУГБ:3 | НКВД:2 | Коминтерн:1	party_apparatus:12 | security_apparatus:5 | international:1	18
Д.Н. Ширяева	6	ГУГБ:6 | НКВД:4 | ВКП(б):3 | ЦК ВКП(б):3 | Коминтерн:1 | НКИД:1	security_apparatus:10 | party_apparatus:6 | state_apparatus:1 | international:1	18
Л.Ф. Дитятевой	5	ВКП(б):5 | ГУГБ:4 | ЦК ВКП(б):4 | НКВД:3 | Правда:2	party_apparatus:9 | security_apparatus:7 | press_media:2	18
В.А. Яковлева	4	ВКП(б):5 | ГУГБ:5 | ЦК ВКП(б):5 | НКВД:2	party_apparatus:10 | security_apparatus:7	17
Н.П. Мясникова	6	ГУГБ:7 | ВКП(б):4 | НКВД:3 | ИККИ:1 | Коминтерн:1 | ЦК ВКП(б):1	security_apparatus:10 | party_apparatus:5 | international:2	17
Н.С. Антонова	3	ГУГБ:10 | ВКП(б):4 | НКВД:3	security_apparatus:13 | party_apparatus:4	17
П.Ф. Сапожникова	9	ВКП(б):3 | Коминтерн:3 | ГУГБ:2 | Политбюро:2 | Правда:2 | ЦК ВКП(б):2 | КПК:1 | НКВД:1 | Совнарком:1	party_apparatus:8 | international:3 | security_apparatus:3 | press_media:2 | state_apparatus:1	17
В.А. Тер-Ваганян	10	ВКП(б):3 | ЦК ВКП(б):3 | ГУГБ:2 | НКВД:2 | ИНО ГУГБ:1 | КПК:1 | Коминтерн:1 | ОО ГУГБ НКВД:1 | Политбюро:1 | Прокуратура СССР:1	party_apparatus:8 | security_apparatus:6 | judicial_apparatus:1 | international:1	16
В.Г. Яковенко	7	ВКП(б):3 | ГУГБ:3 | НКВД:3 | ЦК ВКП(б):3 | Политбюро:2 | КПК:1 | ЦИК СССР:1	party_apparatus:9 | security_apparatus:6 | state_apparatus:1	16
В.И. Козырева	4	ВКП(б):5 | ГУГБ:5 | НКВД:4 | Правда:2	security_apparatus:9 | party_apparatus:5 | press_media:2	16
З.А. Ашрафяна	6	ВКП(б):4 | ГУГБ:4 | НКВД:4 | ЦК ВКП(б):2 | Коминтерн:1 | Совнарком:1	security_apparatus:8 | party_apparatus:6 | state_apparatus:1 | international:1	16
И.Г. Юскина	4	ГУГБ:8 | НКВД:6 | ВКП(б):1 | ЦК ВКП(б):1	security_apparatus:14 | party_apparatus:2	16
И.К. Федотова	8	ВКП(б):3 | ГУГБ:3 | НКВД:3 | ЦК ВКП(б):3 | ИККИ:1 | Коминтерн:1 | Правда:1 | Совнарком:1	party_apparatus:6 | security_apparatus:6 | international:2 | state_apparatus:1 | press_media:1	16
Н.А. Угланова	6	ВКП(б):5 | ЦК ВКП(б):4 | Политбюро:3 | Правда:2 | ГУГБ:1 | КПК:1	party_apparatus:13 | press_media:2 | security_apparatus:1	16
С.Х. Варданиана	6	ВКП(б):4 | ГУГБ:4 | НКВД:3 | ЦК ВКП(б):3 | Правда:1 | Совнарком:1	security_apparatus:7 | party_apparatus:7 | state_apparatus:1 | press_media:1	16
Я.А. Лившица	7	ВКП(б):4 | ЦК ВКП(б):4 | ГУГБ:2 | НКВД:2 | Политбюро:2 | Коминтерн:1 | Правда:1	party_apparatus:10 | security_apparatus:4 | international:1 | press_media:1	16
В.И. Шипихина	9	ВКП(б):2 | Коминтерн:2 | НКВД:2 | Правда:2 | ЦИК СССР:2 | ЦК ВКП(б):2 | ГУГБ:1 | Известия:1 | Политбюро:1	party_apparatus:5 | press_media:3 | security_apparatus:3 | state_apparatus:2 | international:2	15
И.И. Тарасова	5	ГУГБ:6 | ВКП(б):3 | НКВД:3 | Правда:2 | ЦК ВКП(б):1	security_apparatus:9 | party_apparatus:4 | press_media:2	15
И.К. Наумова	6	ВКП(б):4 | ГУГБ:4 | НКВД:4 | ИККИ:1 | Совнарком:1 | ЦК ВКП(б):1	security_apparatus:8 | party_apparatus:5 | international:1 | state_apparatus:1	15
И.С. Горшениным	4	ГУГБ:5 | НКВД:4 | ВКП(б):3 | ЦК ВКП(б):3	security_apparatus:9 | party_apparatus:6	15
К.Е. Ворошилова	6	ВКП(б):4 | ЦК ВКП(б):4 | Правда:3 | Политбюро:2 | ГУГБ:1 | Коминтерн:1	party_apparatus:10 | press_media:3 | international:1 | security_apparatus:1	15
Л.Д. Гогоберидзе	9	ВКП(б):2 | ГУГБ:2 | Коминтерн:2 | НКВД:2 | Совнарком:2 | ЦК ВКП(б):2 | Верховный Суд СССР:1 | Политбюро:1 | Правда:1	party_apparatus:5 | security_apparatus:4 | state_apparatus:2 | international:2 | judicial_apparatus:1 | press_media:1	15
М.И. Лурье	7	ВКП(б):3 | ЦК ВКП(б):3 | ИККИ:2 | Коминтерн:2 | НКВД:2 | Политбюро:2 | ГУГБ:1	party_apparatus:8 | international:4 | security_apparatus:3	15
Н.Б. Розенфельда	5	ГУГБ:5 | ВКП(б):4 | ЦК ВКП(б):3 | Правда:2 | НКВД:1	party_apparatus:7 | security_apparatus:6 | press_media:2	15
Р.В. Пикеля	7	ВКП(б):4 | Коминтерн:4 | ГУГБ:2 | НКВД:2 | Верховный Суд СССР:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:5 | international:4 | security_apparatus:4 | judicial_apparatus:1 | press_media:1	15
Я.В. Шарова	4	ГУГБ:5 | НКВД:5 | ВКП(б):4 | ЦК ВКП(б):1	security_apparatus:10 | party_apparatus:5	15
А.А. Мусатова	7	ВКП(б):4 | ГУГБ:4 | НКВД:2 | Горьковский крайком ВКП(б):1 | Коминтерн:1 | Правда:1 | ЦК ВКП(б):1	security_apparatus:6 | party_apparatus:6 | international:1 | press_media:1	14
А.П. Костиной	5	ГУГБ:5 | НКВД:4 | ВКП(б):2 | ЦК ВКП(б):2 | Коминтерн:1	security_apparatus:9 | party_apparatus:4 | international:1	14
А.Ф. Шараповой	3	ВКП(б):6 | ГУГБ:6 | ЦК ВКП(б):2	party_apparatus:8 | security_apparatus:6	14
Б.Н. Розенфельда	5	ГУГБ:5 | ВКП(б):4 | Политбюро:3 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:8 | security_apparatus:6	14
В.С. Левина	4	ГУГБ:9 | ВКП(б):2 | НКВД:2 | Политбюро:1	security_apparatus:11 | party_apparatus:3	14
Г.Ф. Попова	3	ГУГБ:8 | НКВД:4 | ВКП(б):2	security_apparatus:12 | party_apparatus:2	14
И.М. Гуревича	4	ГУГБ:5 | ВКП(б):3 | НКВД:3 | ЦК ВКП(б):3	security_apparatus:8 | party_apparatus:6	14
К.К. Муханова	4	ГУГБ:9 | ВКП(б):2 | ЦК ВКП(б):2 | НКВД:1	security_apparatus:10 | party_apparatus:4	14
М.С. Богуславского	7	ВКП(б):4 | ГУГБ:3 | ЦК ВКП(б):3 | Коминтерн:1 | НКВД:1 | Политбюро:1 | Правда:1	party_apparatus:8 | security_apparatus:4 | international:1 | press_media:1	14
Пригожин	8	ВКП(б):2 | ГУГБ:2 | Известия:2 | Коминтерн:2 | НКВД:2 | ЦК ВКП(б):2 | Политбюро:1 | Правда:1	party_apparatus:5 | security_apparatus:4 | press_media:3 | international:2	14
Р.М. Кулишера	5	ГУГБ:4 | НКВД:4 | ОО ГУГБ НКВД:4 | ВКП(б):1 | Совнарком:1	security_apparatus:12 | state_apparatus:1 | party_apparatus:1	14
С.М. Гессена	6	ВКП(б):3 | Политбюро:3 | ГУГБ:2 | Коминтерн:2 | НКВД:2 | ЦК ВКП(б):2	party_apparatus:8 | security_apparatus:4 | international:2	14
Шемелев	4	ВКП(б):5 | ГУГБ:5 | ЦК ВКП(б):3 | НКВД:1	party_apparatus:8 | security_apparatus:6	14
Ю.М. Коцюбинского	7	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):3 | НКВД:2 | Верховный Суд СССР:1 | Правда:1 | Совнарком:1	party_apparatus:6 | security_apparatus:5 | judicial_apparatus:1 | state_apparatus:1 | press_media:1	14
А.Г. Колодина	6	ВКП(б):4 | ГУГБ:3 | ЦК ВКП(б):3 | КПК:1 | КПК при ЦК ВКП(б):1 | Коминтерн:1	party_apparatus:9 | security_apparatus:3 | international:1	13
А.Д. Зайцева	9	ВКП(б):2 | ГУГБ:2 | Правда:2 | ЦК ВКП(б):2 | ИККИ:1 | Коминтерн:1 | НКВД:1 | Политбюро:1 | Совнарком:1	party_apparatus:5 | security_apparatus:3 | press_media:2 | international:2 | state_apparatus:1	13
А.Н. Слепкова	8	ВКП(б):4 | ГУГБ:2 | ЦК ВКП(б):2 | ИККИ:1 | КПК:1 | Коминтерн:1 | НКВД:1 | Политбюро:1	party_apparatus:8 | security_apparatus:3 | international:2	13
В.Г. Дорошина	5	ВКП(б):4 | ГУГБ:4 | Политбюро:3 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:8 | security_apparatus:5	13
Д.П. Марецкого	9	ВКП(б):3 | ГУГБ:2 | Коминтерн:2 | ИККИ:1 | КПК:1 | Политбюро:1 | Правда:1 | Совнарком:1 | ЦК ВКП(б):1	party_apparatus:6 | international:3 | security_apparatus:2 | state_apparatus:1 | press_media:1	13
И.И. Бурлакова	6	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):3 | Политбюро:2 | Верховный Суд СССР:1 | НКВД:1	party_apparatus:8 | security_apparatus:4 | judicial_apparatus:1	13
К.Б. Берман-Юрин	8	ВКП(б):2 | Коминтерн:2 | НКВД:2 | Политбюро:2 | ЦК ВКП(б):2 | ГУГБ:1 | ИККИ:1 | ИНО ГУГБ:1	party_apparatus:6 | security_apparatus:4 | international:3	13
Л.М. Марьясина	5	ВКП(б):3 | ГУГБ:3 | НКВД:3 | ЦК ВКП(б):3 | Совнарком:1	party_apparatus:6 | security_apparatus:6 | state_apparatus:1	13
Л.П. Серебрякова	7	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):3 | ИНО ГУГБ:1 | Известия:1 | Правда:1 | Совнарком:1	party_apparatus:6 | security_apparatus:4 | press_media:2 | state_apparatus:1	13
Н.А. Карева	7	ВКП(б):4 | ГУГБ:2 | Коминтерн:2 | ЦК ВКП(б):2 | Верховный Суд СССР:1 | НКВД:1 | Политбюро:1	party_apparatus:7 | security_apparatus:3 | international:2 | judicial_apparatus:1	13
Н.П. Глебов-Авилов	6	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):3 | Верховный Суд СССР:2 | НКВД:1 | Совнарком:1	party_apparatus:6 | security_apparatus:4 | judicial_apparatus:2 | state_apparatus:1	13
А.И. Синелобова	6	ВКП(б):3 | ГУГБ:3 | НКВД:3 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	security_apparatus:6 | party_apparatus:5 | press_media:1	12
А.С. Соколова	8	ВКП(б):2 | ГУГБ:2 | ИНО ГУГБ:2 | НКВД:2 | Горьковский крайком ВКП(б):1 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	security_apparatus:6 | party_apparatus:5 | press_media:1	12
Г.Е. Евдокимовым	5	ГУГБ:4 | НКВД:4 | Коминтерн:2 | ВКП(б):1 | Правда:1	security_apparatus:8 | international:2 | press_media:1 | party_apparatus:1	12
Г.Ф. Овчинникова	5	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):3 | НКВД:2 | Политбюро:1	party_apparatus:7 | security_apparatus:5	12
Е.Д. Соколовой	10	ВКП(б):2 | ЦИК СССР:2 | ГУГБ:1 | КПК:1 | КПК при ЦК ВКП(б):1 | Политбюро:1 | Правда:1 | Секретариат ЦИК СССР:1 | Совнарком:1 | ЦК ВКП(б):1	party_apparatus:6 | state_apparatus:4 | press_media:1 | security_apparatus:1	12
Е.К. Коршунова	6	ГУГБ:3 | НКВД:3 | ВКП(б):2 | ЦК ВКП(б):2 | Политбюро:1 | Правда:1	security_apparatus:6 | party_apparatus:5 | press_media:1	12
З.М. Беленького	5	ЦИК СССР:4 | ВКП(б):3 | Политбюро:2 | ЦК ВКП(б):2 | Секретариат ЦИК СССР:1	party_apparatus:7 | state_apparatus:5	12
И.А. Князева	4	НКВД:4 | ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):2	security_apparatus:7 | party_apparatus:5	12
К.Н. Лукницкого	5	ВКП(б):3 | Известия:3 | ГУГБ:2 | НКВД:2 | ЦК ВКП(б):2	party_apparatus:5 | security_apparatus:4 | press_media:3	12
М.О. Зюка	5	ВКП(б):3 | НКВД:3 | ГУГБ:2 | Правда:2 | ЦК ВКП(б):2	security_apparatus:5 | party_apparatus:5 | press_media:2	12
Н.И. Бураго	4	ГУГБ:6 | ВКП(б):3 | ЦК ВКП(б):2 | Правда:1	security_apparatus:6 | party_apparatus:5 | press_media:1	12
Н.И. Гордона	4	ВКП(б):3 | ГУГБ:3 | НКВД:3 | ЦК ВКП(б):3	party_apparatus:6 | security_apparatus:6	12
Н.С. Антоновым	5	ВКП(б):3 | ГУГБ:3 | НКВД:2 | Политбюро:2 | ЦК ВКП(б):2	party_apparatus:7 | security_apparatus:5	12
С.И. Лукашика	6	ВКП(б):3 | ГУГБ:3 | НКВД:3 | КПК:1 | Правда:1 | ЦИК СССР:1	security_apparatus:6 | party_apparatus:4 | state_apparatus:1 | press_media:1	12
А.И. Анишева	7	Коминтерн:4 | ВКП(б):2 | Известия:1 | НКВД:1 | Правда:1 | ЦИК СССР:1 | ЦК ВКП(б):1	international:4 | party_apparatus:3 | press_media:2 | state_apparatus:1 | security_apparatus:1	11
А.И. Кармалитова	6	ВКП(б):3 | ГУГБ:2 | Правда:2 | ЦК ВКП(б):2 | НКВД:1 | Политбюро:1	party_apparatus:6 | security_apparatus:3 | press_media:2	11
А.Н. Сафоновой	4	ВКП(б):4 | ГУГБ:4 | Правда:2 | ЦК ВКП(б):1	party_apparatus:5 | security_apparatus:4 | press_media:2	11
Б.Г. Козелева	5	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):3 | Коминтерн:1 | НКВД:1	party_apparatus:6 | security_apparatus:4 | international:1	11
Д.Т. Шермергорна	6	ВКП(б):2 | ГУГБ:2 | Коминтерн:2 | НКВД:2 | ЦК ВКП(б):2 | Совнарком:1	party_apparatus:4 | security_apparatus:4 | international:2 | state_apparatus:1	11
Е.Н. Васильева	6	ВКП(б):2 | КПК:2 | КПК при ЦК ВКП(б):2 | ЦИК СССР:2 | ЦК ВКП(б):2 | Секретариат ЦИК СССР:1	party_apparatus:8 | state_apparatus:3	11
И.Д. Турока	6	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):2 | Известия:1 | НКВД:1 | Совнарком:1	party_apparatus:5 | security_apparatus:4 | press_media:1 | state_apparatus:1	11
И.И. Горовича	5	ГУГБ:4 | ВКП(б):3 | ЦК ВКП(б):2 | Коминтерн:1 | НКВД:1	security_apparatus:5 | party_apparatus:5 | international:1	11
И.Н. Маевского	6	ВКП(б):3 | ЦК ВКП(б):3 | ГУГБ:2 | КПК:1 | КПК при ЦК ВКП(б):1 | НКВД:1	party_apparatus:8 | security_apparatus:3	11
И.Т. Смилги	5	ВКП(б):4 | ЦК ВКП(б):3 | Правда:2 | ГУГБ:1 | Коминтерн:1	party_apparatus:7 | press_media:2 | international:1 | security_apparatus:1	11
П.А. Коваленко	3	ВКП(б):5 | ГУГБ:5 | ЦК ВКП(б):1	party_apparatus:6 | security_apparatus:5	11
П.Ф. Зайцева	5	ВКП(б):3 | ЦИК СССР:3 | ЦК ВКП(б):3 | Правда:1 | Секретариат ЦИК СССР:1	party_apparatus:6 | state_apparatus:4 | press_media:1	11
П.Э. Роцкана	5	ВКП(б):3 | ГУГБ:3 | НКВД:3 | Политбюро:1 | ЦК ВКП(б):1	security_apparatus:6 | party_apparatus:5	11
Р.С. Беннет	6	ВКП(б):2 | ГУГБ:2 | НКВД:2 | Политбюро:2 | ЦК ВКП(б):2 | Коминтерн:1	party_apparatus:6 | security_apparatus:4 | international:1	11
С.Я. Шаева	5	ГУГБ:3 | НКВД:3 | ВКП(б):2 | ЦК ВКП(б):2 | Политбюро:1	security_apparatus:6 | party_apparatus:5	11
Х.Г. Гуревича	6	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):2 | НКВД:1 | НКИД:1 | Прокуратура СССР:1	party_apparatus:5 | security_apparatus:4 | judicial_apparatus:1 | state_apparatus:1	11
Я.Н. Дробниса	5	ВКП(б):3 | ГУГБ:3 | НКВД:2 | ЦК ВКП(б):2 | Политбюро:1	party_apparatus:6 | security_apparatus:5	11
А.И. Биркенгофа	5	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):2 | ИНО ГУГБ:1 | Правда:1	party_apparatus:5 | security_apparatus:4 | press_media:1	10
А.М. Гусева	7	ВКП(б):2 | ГУГБ:2 | НКВД:2 | КПК:1 | КПК при ЦК ВКП(б):1 | Совнарком:1 | ЦК ВКП(б):1	party_apparatus:5 | security_apparatus:4 | state_apparatus:1	10
А.М. Зорина	6	ВКП(б):2 | ГУГБ:2 | НКВД:2 | ЦК ВКП(б):2 | Политбюро:1 | Совнарком:1	party_apparatus:5 | security_apparatus:4 | state_apparatus:1	10
Б.И. Кузьмичева	4	ВКП(б):3 | ЦК ВКП(б):3 | ГУГБ:2 | НКВД:2	party_apparatus:6 | security_apparatus:4	10
Б.М. Оберталлера	5	ВКП(б):3 | ЦК ВКП(б):3 | НКВД:2 | ГУГБ:1 | Политбюро:1	party_apparatus:7 | security_apparatus:3	10
В.А. Барута	2	ГУГБ:9 | ВКП(б):1	security_apparatus:9 | party_apparatus:1	10
В.А. Котова	6	ВКП(б):2 | ГУГБ:2 | Совнарком:2 | ЦК ВКП(б):2 | Коминтерн:1 | НКВД:1	party_apparatus:4 | security_apparatus:3 | state_apparatus:2 | international:1	10
В.Д. Каспаровой	4	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):3 | НКВД:1	party_apparatus:6 | security_apparatus:4	10
Г.И. Сафаровым	5	ГУГБ:3 | Коминтерн:3 | НКВД:2 | ВКП(б):1 | Политбюро:1	security_apparatus:5 | international:3 | party_apparatus:2	10
Г.Л. Хасина	4	ВКП(б):4 | ГУГБ:4 | НКВД:1 | ЦК ВКП(б):1	security_apparatus:5 | party_apparatus:5	10
Г.М. Артеменко	4	ВКП(б):3 | ГУГБ:3 | Коминтерн:2 | НКВД:2	security_apparatus:5 | party_apparatus:3 | international:2	10
И.П. Бакаевым	5	ГУГБ:3 | ВКП(б):2 | Коминтерн:2 | НКВД:2 | Верховный Суд СССР:1	security_apparatus:5 | international:2 | party_apparatus:2 | judicial_apparatus:1	10
Л.В. Николаевым	4	ГУГБ:4 | НКВД:4 | ВКП(б):1 | Коминтерн:1	security_apparatus:8 | international:1 | party_apparatus:1	10
Л.И. Сосицкого	4	ВКП(б):4 | ГУГБ:3 | НКВД:2 | ЦК ВКП(б):1	party_apparatus:5 | security_apparatus:5	10
Л.П. Серебряковым	4	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):3 | НКВД:1	party_apparatus:6 | security_apparatus:4	10
Л.С. Мамишвили-Мишкевич	6	ВКП(б):2 | ГУГБ:2 | НКВД:2 | ЦК ВКП(б):2 | Коминтерн:1 | Политбюро:1	party_apparatus:5 | security_apparatus:4 | international:1	10
Л.С. Тер-Минасов	6	ВКП(б):2 | ГУГБ:2 | НКВД:2 | ЦК ВКП(б):2 | Правда:1 | Совнарком:1	party_apparatus:4 | security_apparatus:4 | state_apparatus:1 | press_media:1	10
П.А. Липшица	7	ВКП(б):2 | Коминтерн:2 | НКВД:2 | ГУГБ:1 | ИККИ:1 | КПК:1 | Политбюро:1	party_apparatus:4 | international:3 | security_apparatus:3	10
П.Г. Петровского	6	ВКП(б):2 | Политбюро:2 | Правда:2 | ЦК ВКП(б):2 | ИККИ:1 | Совнарком:1	party_apparatus:6 | press_media:2 | international:1 | state_apparatus:1	10
Радин	7	ВКП(б):2 | Совнарком:2 | ЦК ВКП(б):2 | ГУГБ:1 | ИККИ:1 | Политбюро:1 | Правда:1	party_apparatus:5 | state_apparatus:2 | international:1 | press_media:1 | security_apparatus:1	10
С.Г. Радомысльского	8	ВКП(б):2 | ЦК ВКП(б):2 | ГУГБ:1 | КПК:1 | КПК при ЦК ВКП(б):1 | НКВД:1 | Политбюро:1 | Правда:1	party_apparatus:7 | security_apparatus:2 | press_media:1	10
Э.С. Гольцмана	5	ВКП(б):4 | ГУГБ:3 | НКВД:1 | НКИД:1 | ЦК ВКП(б):1	party_apparatus:5 | security_apparatus:4 | state_apparatus:1	10
Я.Н. Вечерковского	5	ГУГБ:3 | НКВД:3 | ВКП(б):2 | Правда:1 | ЦК ВКП(б):1	security_apparatus:6 | party_apparatus:3 | press_media:1	10
А.А. Андрееву	4	ВКП(б):3 | ЦК ВКП(б):3 | НКВД:2 | Правда:1	party_apparatus:6 | security_apparatus:2 | press_media:1	9
А.А. Докучаева	3	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):3	party_apparatus:6 | security_apparatus:3	9
А.А. Хвыли	7	Политбюро:2 | Правда:2 | ВКП(б):1 | Коминтерн:1 | НКВД:1 | ЦИК СССР:1 | ЦК ВКП(б):1	party_apparatus:4 | press_media:2 | state_apparatus:1 | international:1 | security_apparatus:1	9
А.В. Галкина	7	ВКП(б):2 | ЦК ВКП(б):2 | ГУГБ:1 | ИНО ГУГБ:1 | НКВД:1 | Политбюро:1 | Совнарком:1	party_apparatus:5 | security_apparatus:3 | state_apparatus:1	9
А.И. Коновой	5	ВКП(б):3 | ГУГБ:3 | Политбюро:1 | Совнарком:1 | ЦК ВКП(б):1	party_apparatus:5 | security_apparatus:3 | state_apparatus:1	9
А.И. Юлина	6	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2 | НКВД:1 | Политбюро:1 | Правда:1	party_apparatus:5 | security_apparatus:3 | press_media:1	9
А.С. Куклина	5	ГУГБ:3 | ВКП(б):2 | НКВД:2 | Политбюро:1 | ЦК ВКП(б):1	security_apparatus:5 | party_apparatus:4	9
А.Х. Кантора	4	ВКП(б):3 | ГУГБ:3 | Правда:2 | ИНО ГУГБ:1	security_apparatus:4 | party_apparatus:3 | press_media:2	9
В.И. Невского	5	ВКП(б):2 | ГУГБ:2 | НКВД:2 | ЦК ВКП(б):2 | Совнарком:1	party_apparatus:4 | security_apparatus:4 | state_apparatus:1	9
В.И. Пучкова	5	ВКП(б):2 | ГУГБ:2 | НКВД:2 | ЦК ВКП(б):2 | Коминтерн:1	party_apparatus:4 | security_apparatus:4 | international:1	9
Г.С. Фридлянда	7	ВКП(б):2 | ГУГБ:2 | Известия:1 | Коминтерн:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:3 | press_media:2 | international:1	9
Гавен	7	ВКП(б):2 | ГУГБ:2 | Коминтерн:1 | НКВД:1 | НКИД:1 | Правда:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:3 | state_apparatus:1 | international:1 | press_media:1	9
