person	organization_count	top_organizations	top_families	total_pair_document_sum
М.К. Мухановой	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
М.М. Домбровским	2	ГУГБ:1 | НКВД:1	security_apparatus:2	2
М.М. Малинова	2	ВКП(б):1 | ЦК ВКП(б):1	party_apparatus:2	2
М.П. Луковского	2	ГУГБ:1 | Совнарком:1	state_apparatus:1 | security_apparatus:1	2
М.П. Прибыловского	2	ВКП(б):1 | НКВД:1	security_apparatus:1 | party_apparatus:1	2
М.С. Окуджавы	2	ГУГБ:1 | НКВД:1	security_apparatus:2	2
М.С. Панфилова	2	ГУГБ:1 | НКВД:1	security_apparatus:2	2
М.С. Югова	2	ВКП(б):1 | ЦК ВКП(б):1	party_apparatus:2	2
М.Х. Орлова	2	ГУГБ:1 | Правда:1	press_media:1 | security_apparatus:1	2
Н.Е. Нилендера	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
Н.И. Мильгевского	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
Н.Н. Ванага	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
Н.Н. Колотилина	2	ВКП(б):1 | ЦК ВКП(б):1	party_apparatus:2	2
Н.С. Сычева	2	ВКП(б):1 | ЦК ВКП(б):1	party_apparatus:2	2
Н.С. Хрущева	2	ВКП(б):1 | ЦК ВКП(б):1	party_apparatus:2	2
П.А. Кравкова	2	ГУГБ:1 | НКВД:1	security_apparatus:2	2
П.П. Северовым	2	ГУГБ:1 | НКВД:1	security_apparatus:2	2
Р.И. Эйхе	2	ВКП(б):1 | ЦК ВКП(б):1	party_apparatus:2	2
С.А. Бабенко	2	Верховный Суд СССР:1 | ГУГБ:1	judicial_apparatus:1 | security_apparatus:1	2
С.А. Посвольского	2	ВКП(б):1 | Политбюро:1	party_apparatus:2	2
С.Л. Кривоноса	2	ГУГБ:1 | НКВД:1	security_apparatus:2	2
С.Л. Свирского	2	ВКП(б):1 | Верховный Суд СССР:1	judicial_apparatus:1 | party_apparatus:1	2
С.М. Тамаркина	2	ВКП(б):1 | ЦК ВКП(б):1	party_apparatus:2	2
С.Н. Седых	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
С.О. Мандельштама	2	ВКП(б):1 | НКВД:1	security_apparatus:1 | party_apparatus:1	2
Ф.В. Медведева	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
Ф.К. Розенбаха	2	ГУГБ:1 | НКВД:1	security_apparatus:2	2
Ф.П. Швальбе	2	ВКП(б):1 | Известия:1	press_media:1 | party_apparatus:1	2
Х.А. Лившиц	2	ВКП(б):1 | НКВД:1	security_apparatus:1 | party_apparatus:1	2
Ш.М. Дволайцкого	2	ВКП(б):1 | ЦК ВКП(б):1	party_apparatus:2	2
Э.Р. Петерсон	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
Ю.Р. Закгейма	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
Я.В. Апушкина	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
Я.И. Богомольного	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
Я.М. Урановского	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
Я.С. Розанова	2	ГУГБ:1 | НКВД:1	security_apparatus:2	2
Я.Ф. Шарова	2	ГУГБ:1 | НКВД:1	security_apparatus:2	2
Я.Х. Петерса	2	ВКП(б):1 | ЦК ВКП(б):1	party_apparatus:2	2
Я.Э. Рудзутаку	2	ВКП(б):1 | ЦК ВКП(б):1	party_apparatus:2	2
Я.Э. Стэна	2	ВКП(б):1 | ГУГБ:1	security_apparatus:1 | party_apparatus:1	2
А.Д. Арефьевым	1	ВКП(б):1	party_apparatus:1	1
А.И. Анишевым	1	ГУГБ:1	security_apparatus:1	1
А.И. Мячиной	1	ГУГБ:1	security_apparatus:1	1
А.М. Березина	1	ВКП(б):1	party_apparatus:1	1
А.М. Горькому	1	Правда:1	press_media:1	1
А.М. Лариной	1	Известия:1	press_media:1	1
А.Н. Панова	1	ВКП(б):1	party_apparatus:1	1
А.Н. Слепковым	1	ВКП(б):1	party_apparatus:1	1
А.П. Дьячкова	1	ГУГБ:1	security_apparatus:1	1
В.А. Сорокина	1	ВКП(б):1	party_apparatus:1	1
В.А. Финашина	1	ВКП(б):1	party_apparatus:1	1
В.В. Ломинадзе	1	Правда:1	press_media:1	1
В.В. Ульриху	1	Известия:1	press_media:1	1
В.Г. Лукина	1	НКВД:1	security_apparatus:1	1
В.Ф. Бейтельспахера	1	ВКП(б):1	party_apparatus:1	1
В.Ф. Степанова	1	ВКП(б):1	party_apparatus:1	1
Г.В. Соколова	1	НКВД:1	security_apparatus:1	1
Г.М. Дрязгова	1	ВКП(б):1	party_apparatus:1	1
Г.П. Адамяна	1	ВКП(б):1	party_apparatus:1	1
Г.П. Поташникова	1	ВКП(б):1	party_apparatus:1	1
Г.Т. Мясничкова	1	ГУГБ:1	security_apparatus:1	1
Г.Ф. Самойловича	1	НКВД:1	security_apparatus:1	1
Д.А. Сниткина	1	ВКП(б):1	party_apparatus:1	1
Д.П. Албанского	1	ВКП(б):1	party_apparatus:1	1
Е.П. Рудневой	1	ГУГБ:1	security_apparatus:1	1
Е.Т. Тимофеева	1	ВКП(б):1	party_apparatus:1	1
Е.Э. Чернозубовой	1	ГУГБ:1	security_apparatus:1	1
З.Н. Гайдеровой	1	НКВД:1	security_apparatus:1	1
И.И. Рейногльда	1	Правда:1	press_media:1	1
И.Н. Дорошенко	1	НКВД:1	security_apparatus:1	1
И.Т. Жирова	1	ВКП(б):1	party_apparatus:1	1
И.Ф. Касперского	1	ВКП(б):1	party_apparatus:1	1
И.Э. Якире	1	ВКП(б):1	party_apparatus:1	1
К.К. Мухановым	1	ГУГБ:1	security_apparatus:1	1
Л.Г. Лелевича	1	ВКП(б):1	party_apparatus:1	1
Л.И. Мадьяром	1	ИККИ:1	international:1	1
Л.П. Жашковой	1	ГУГБ:1	security_apparatus:1	1
Л.Ю. Брик	1	НКВД:1	security_apparatus:1	1
Л.Я. Файвиловичем	1	ГУГБ:1	security_apparatus:1	1
М.В. Борисова	1	НКВД:1	security_apparatus:1	1
