canonical_person_a	canonical_person_b	document_count
Гидлевского	Ежов	1
Прокофьева	Сафоновой	1
Сафоновой	Сталин	1
Майзлиной	Прокофьева	1
Ежов	Майзлиной	1
Ежов	Колодина	1
Коваленко	Прокофьева	1
Ежов	Коваленко	1
Горовича	Ягода	1
Бурова	Ежов	1
Агранов	Куликова	1
Молчанова	Слепкова	1
Ежов	Осинского	1
Агранов	Афанасьева	1
Зиновьев	Сокольников	1
Ежов	Цесарского	1
Зиновьев	Томского	1
Ежов	Саркисьяна	1
Аркуса	Каганович	1
Енукидзе	Шипихина	1
Агранов	Сафарова	1
Ежов	Мальгина	1
Енукидзе	Мехлису	1
Енукидзе	Петерса	1
Акулову	Ганштака	1
Ганштака	Енукидзе	1
Акулову	Енукидзе	1
Голендо	Ягода	1
Голендо	Ежов	1
Комогорова	Ягода	1
Комогорова	Сталин	1
Радомысльского	Ягода	1
Зиновьев	Радомысльского	1
Гусева	Ежов	1
Ежов	Петерсона	1
Васильева	Ежов	1
Петерсона	Шкирятову	1
Антипаса	Петерсона	1
Антипаса	Шкирятову	1
Васильева	Шкирятову	1
Сотскова	Шкирятову	1
Осинского	Сталин	1
Агранов	Рохинсона	1
Ежов	Рохинсона	1
Куклина	Поскребышеву	1
Агранов	Урусова	1
Ежов	Урусова	1
Агранов	Воронова	1
Воронова	Ежов	1
Давыдовой	Розенфельд	1
Мухановой	Розенфельдом	1
Мищенко	Поляковым	1
Агранов	Гардина-	1
Гардина-	Ежов	1
Давыдовой	Мухановой	1
Бураго	Давыдовой	1
Агранов	Бураго	1
Бураго	Ежов	1
Агранов	Синани-Скалов	1
Головским-	Мухановым	1
Агранов	Иванова	1
Ежов	Иванова	1
Агранов	Бочарова	1
Либермана	Ягода	1
Ежов	Либермана	1
Антипаса	Ежов	1
Терихова	Шкирятову	1
Синани-Скалов	Ягода	1
Скаловой	Ягода	1
Ежов	Скаловой	1
Розенфельда	Ягода	1
Соколовой	Шкирятову	1
Вуйовичем	Ягода	1
Вуйовичем	Ежов	1
Вуйовичем	Зиновьев	1
Михайлова	Ягода	1
Ежов	Михайлова	1
Ежов	Шкирятова	1
Васильева	Черномордику	1
Васильева	Синани-Скалов	1
Азбеля	Ягода	1
Агранов	Свердлова	1
Ежов	Цыбульника	1
Вышинский	Куклина	1
Куклина	Сталин	1
Агранов	Азбеля	1
Ежов	Ермолаевой	1
Агранов	Нехамкина	1
Ежов	Нехамкина	1
Каменев	Розенфельд	1
Каменев	Мухановой	1
Гая	Тайца	1
Вуйовича	Ягода	1
Ворошилова	Сталин	1
Ворошилова	Кащеева	1
Кащеева	Сталин	1
Розенфельд	Ягода	1
Дорошина	Ягода	1
Дорошина	Сталин	1
Агранов	Синелобова	1
Синелобова	Сталин	1
Горькому	Зиновьев	1
Маленкова	Сталин	1
Каганович	Маленкова	1
Маленкова	Модебадзе	1
Модебадзе	Сталин	1
Каганович	Модебадзе	1
Ворошилову	Ягода	1
Ворошилову	Сталин	1
Ворошилову	Мрачковский	1
Мануильскому	Синани-Скалов	1
Залуцкого	Сталин	1
Глебовой	Каганович	1
Агранов	Ельковича	1
Авдеевой	Мишаковой	1
Жалыбиной-	Ягода	1
Жалыбиной-	Сталин	1
Горькому	Каменев	1
Сталин	Файвиловича	1
Евдокимовым	Зиновьев	1
Зиновьев	Царькова	1
Зиновьев	Сафаровым	1
Зиновьев	Харитоновым	1
Зиновьев	Киров	1
Каганович	Харитонова	1
Горшениным	Перимовым	1
Бакаевым	Горшениным	1
Евдокимовым	Шаровым	1
Горшениным	Евдокимовым	1
Бакаевым	Евдокимовым	1
Сталин	Тарасова	1
Герцбергом	Куклиным	1
Гессеном	Киров	1
Гертиком	Киров	1
Гертиком	Горшениным	1
Аникиным	Бограчевым	1
Герцбергом	Сафаровым	1
Тарасовым	Файвиловичем	1
Горшениным	Шаровым	1
Поповым	Северовым	1
Сафаровым	Саховым	1
Коркину	Попова	1
Зорина	Ягода	1
Шляпникова	Ягода	1
Емельянова	Ягода	1
Сталин	Шляпникова	1
Емельянова	Сталин	1
Смилги	Сталин	1
Зорина	Шляпникова	1
Емельянова	Зорина	1
Зорина	Смилги	1
Емельянова	Шляпникова	1
Смилги	Шляпникова	1
Емельянова	Смилги	1
Куклиным	Федоровым	1
Анишевым	Гертиком	1
Мадьяром	Синани-Скалов	1
Евдокимова	Шацкина	1
Каменев	Шацкина	1
Евдокимова	Каменев	1
Енукидзе	Сталин	1
Ломинадзе	Сталин	1
Каменев	Ломинадзе	1
Ломинадзе	Сафарова	1
Котолыновым	Толмазовым	1
Антоновым	Румянцевым	1
Левиным	Мясниковым	1
Мясниковым	Сосицким	1
Киров	Сосицким	1
Наумова	Сокольников	1
Наумова	Сталин	1
Румянцевым	Тарасовым	1
Агранов	Бакаева	1
Николаевым	Шатским	1
Николаевым	Юскиным	1
Николаевым	Соколовым	1
Мясниковым	Румянцевым	1
Рейнгольда	Файвиловича	1
Файвиловича	Файвиловичу	1
Рейнгольда	Файвиловичу	1
Звездовым	Соколовым	1
Котолыновым	Николаевым	1
Антоновым	Звездовым	1
Бакаева	Коршунова	1
Коршунова	Коршунову	1
Бакаева	Коршунову	1
Антоновым	Котолыновым	1
Сафарова	Ягода	1
Зиновьев	Каменев	1
Зиновьев	Сафарова	1
Бухарин	Орджоникидзе	1
Корнюшина	Сталин	1
Корнюшина	Якире	1
Сталин	Якире	1
Прибыловского	Сталин	1
Зиновьев	Прибыловского	1
Ежов	Рокоса	1
Рокоса	Сталин	1
Гоглидзе	Ежов	1
Гоглидзе	Сталин	1
Ежов	Томленова	1
Сталин	Томленова	1
Ежов	Розенцвейга	1
Розенцвейга	Сталин	1
Ежов	Оганесова	1
Оганесова	Сталин	1
Ежов	Носова	1
Носова	Сталин	1
Ежов	Калашникова	1
Калашникова	Сталин	1
Гоглидзе	Окуджавы	1
Ежов	Розита	1
Розита	Сталин	1
Ежов	Харита	1
Сталин	Харита	1
Варданианом	Татуловым	1
Варданианом	Ежов	1
Варданианом	Сталин	1
Варданианом	Тер-	1
Шкирятова	Яковлевой	1
Сталин	Яковлевой	1
