document_post_id	document_title	primary_process	package_likelihood	attachment_type	dominant_attachment_type
5373	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса П.А. Коваленко	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5376	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса В.П. Ольберга	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5377	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса А.Г. Колодина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5381	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса Е.И. Майзлиной	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5387	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса А.Н. Сафоновой	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5387	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса А.Н. Сафоновой	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	list	interrogation_protocol
5393	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса А.Г. Колодина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5398	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса К.И. Гидлевского	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5400	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса Л.Г. Дмитриевой	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5400	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса Л.Г. Дмитриевой	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	list	interrogation_protocol
5404	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса М.П. Жакова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5404	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса М.П. Жакова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	memo	interrogation_protocol
5406	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Б.О. Ольберг	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5408	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Л.И. Пономарева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5408	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Л.И. Пономарева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	reference_note	interrogation_protocol
5426	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса Г.Ф. Дмитриева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5432	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса А.И. Шемелева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5443	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса В.М. Попова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5443	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса В.М. Попова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	list	interrogation_protocol
5446	Спецсообщение Г.Г. Ягоды И.В. Сталину с предложением о репрессировании троцкистов	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	memo	memo
5446	Спецсообщение Г.Г. Ягоды И.В. Сталину с предложением о репрессировании троцкистов	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	reference_note	memo
5454	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса Ф.А. Горбуновой	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5459	Спецсообщение Г.Е. Прокофьева И.В. Сталину, В.М. Молотову и Н.Е. Ежову с приложением допроса Г.П. Вяткина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5469	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса И.Н. Стукова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5474	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса И.И. Горовича	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5477	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса Г.Л. Хасина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5481	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением допроса А.И. Бриггиса	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5491	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса М.Г. Сафьянова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5491	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса М.Г. Сафьянова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	theses	interrogation_protocol
5499	Спецсообщение от Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Ф. Виргина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5507	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса А.И. Шемелева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5508	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса И.И. Трусова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5514	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса А.С. Соколова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5529	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса С.Ф. Васильченко	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5535	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса Я.С. Дмитриевой	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5549	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса О.А. Мешковской	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5550	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Ю.П. Гавена	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5550	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Ю.П. Гавена	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	memo	interrogation_protocol
5550	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Ю.П. Гавена	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	list	interrogation_protocol
5553	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса И.К. Федотова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5553	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса И.К. Федотова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	reference_note	interrogation_protocol
5553	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса И.К. Федотова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	list	interrogation_protocol
5565	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса И.К. Федотова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5565	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса И.К. Федотова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	list	interrogation_protocol
5566	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Т.В. Мешковского	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5569	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Я.С. Дмитриевой	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5590	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Ю.М. Бочарова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5595	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса И.А. Масленникова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5599	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Х.Г. Гуревича	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5602	Спецсообщение Г.Г. Ягоды И.В. Сталину об аресте Э.С. Гольцмана	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	possible	diary	diary
