document_post_id	document_title	document_url	document_date	document_modified	primary_process	primary_collection	all_processes	all_collections	category_ids	category_names	category_slugs	tag_ids	tag_names	tag_slugs	content_chars	content_words	slug	wp_author	wp_status	wp_type	year
5755	Докладная записка К.Б. Радека о положении в Иностранном отделе газеты “Известия”	http://showtrials.ru/dokladnaya-zapiska-k-b-radeka-o-polozhenii-v-inostrannom-otdele-gazety-izvestiya/	1936-08-14T02:10:00	2023-03-09T00:17:59	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	67 | 80	Материалы следствия 1936 | Материалы следствия 1937	materialy-sledstviya-1936 | materialy-sledstviya-1937	116	Группа Радека	radek	11187	1567	dokladnaya-zapiska-k-b-radeka-o-polozhenii-v-inostrannom-otdele-gazety-izvestiya	1	publish	post	1936
5754	Докладная записка К.Б. Радека об аппарате Бюро международной информации при ЦК ВКП(б)	http://showtrials.ru/dokladnaya-zapiska-k-b-radeka-ob-apparate-byuro-mezhdunarodnoj-informaczii-pri-czk-vkpb/	1936-08-14T01:10:00	1936-08-14T01:10:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	67 | 80	Материалы следствия 1936 | Материалы следствия 1937	materialy-sledstviya-1936 | materialy-sledstviya-1937	116	Группа Радека	radek	9502	1420	dokladnaya-zapiska-k-b-radeka-ob-apparate-byuro-mezhdunarodnoj-informaczii-pri-czk-vkpb	1	publish	post	1936
5753	Письмо К.Б. Радека И.В. Сталину	http://showtrials.ru/pismo-k-b-radeka-i-v-stalinu/	1936-08-14T00:10:00	1936-08-14T00:10:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	67 | 80	Материалы следствия 1936 | Материалы следствия 1937	materialy-sledstviya-1936 | materialy-sledstviya-1937	116	Группа Радека	radek	5636	861	pismo-k-b-radeka-i-v-stalinu	1	publish	post	1936
5750	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса А.Ю. Тивеля	http://showtrials.ru/speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-a-yu-tivelya/	1936-08-12T00:10:00	2021-09-05T07:51:33	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	67 | 80	Материалы следствия 1936 | Материалы следствия 1937	materialy-sledstviya-1936 | materialy-sledstviya-1937	116	Группа Радека	radek	18602	2678	speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-a-yu-tivelya	1	publish	post	1936
5739	Заявление Г.С. Фридлянда Г.Г. Ягоде	http://showtrials.ru/zayavlenie-g-s-fridlyanda-g-g-yagode/	1936-08-07T02:10:00	2021-09-05T07:54:21	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	67	Материалы следствия 1936	materialy-sledstviya-1936	105 | 106 | 111 | 116	Троцкистский центр | Зиновьевский центр | Группа историков | Группа Радека	troczkistskij-czentr | zinovevskij-czentr | historians | radek	14497	2182	zayavlenie-g-s-fridlyanda-g-g-yagode	1	publish	post	1936
5736	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса А.Г. Пригожина	http://showtrials.ru/speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-a-g-prigozhina-2/	1936-08-05T01:10:00	2025-12-12T16:53:29	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	67 | 80	Материалы следствия 1936 | Материалы следствия 1937	materialy-sledstviya-1936 | materialy-sledstviya-1937	116	Группа Радека	radek	33949	5067	speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-a-g-prigozhina-2	1	publish	post	1936
5734	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Г.С. Фридлянда	http://showtrials.ru/speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-g-s-fridlyanda/	1936-08-04T00:10:00	2021-09-05T07:55:59	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	67	Материалы следствия 1936	materialy-sledstviya-1936	106 | 111 | 116 | 105	Зиновьевский центр | Группа историков | Группа Радека | Троцкистский центр	zinovevskij-czentr | historians | radek | troczkistskij-czentr	16414	2281	speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-g-s-fridlyanda	1	publish	post	1936
5732	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса С.М. Закса-Гладнева	http://showtrials.ru/speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-s-m-zaksa-gladneva/	1936-08-03T00:10:00	2021-10-21T14:00:25	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	67 | 80	Материалы следствия 1936 | Материалы следствия 1937	materialy-sledstviya-1936 | materialy-sledstviya-1937	116	Группа Радека	radek	39536	5896	speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-s-m-zaksa-gladneva	1	publish	post	1936
5726	Протокол допроса А.Ю. Тивеля	http://showtrials.ru/protokol-doprosa-a-yu-tivelya/	1936-07-31T01:32:00	1936-07-31T01:32:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	67 | 80	Материалы следствия 1936 | Материалы следствия 1937	materialy-sledstviya-1936 | materialy-sledstviya-1937	116	Группа Радека	radek	20674	3000	protokol-doprosa-a-yu-tivelya	1	publish	post	1936
5715	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса М.Т. Антонова	http://showtrials.ru/speczsoobshhenie-ya-s-agranova-n-i-ezhovu-s-prilozheniem-protokola-doprosa-m-t-antonova/	1936-07-22T01:10:00	1936-07-22T01:10:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	67 | 80	Материалы следствия 1936 | Материалы следствия 1937	materialy-sledstviya-1936 | materialy-sledstviya-1937	116	Группа Радека	radek	27723	3897	speczsoobshhenie-ya-s-agranova-n-i-ezhovu-s-prilozheniem-protokola-doprosa-m-t-antonova	1	publish	post	1936
5707	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса А.Г. Пригожина	http://showtrials.ru/speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-a-g-prigozhina/	1936-07-20T02:10:00	2025-12-12T16:47:24	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	67 | 80	Материалы следствия 1936 | Материалы следствия 1937	materialy-sledstviya-1936 | materialy-sledstviya-1937	111 | 116	Группа историков | Группа Радека	historians | radek	38760	5727	speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-a-g-prigozhina	1	publish	post	1936
