item_id	href	resolved_url	label	is_html	is_external	source_class	target_path
P2004-0028	documents/Kremlin_Affair/Kremlin_Affair_Memorandum.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_Memorandum.doc	Справка Прокуратуры СССР и КГБ СССР о так называемом «Кремлевском деле»	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_Memorandum.doc
P2004-0029	documents/Yezhov/Yezhov1.doc	http://perpetrator2004.narod.ru/documents/Yezhov/Yezhov1.doc	Заявление об отставке в Политбюро ЦК ВКП(б) от 23 ноября 1938 года. Выписка из решений Политбюро ЦК ВКП(б), Протокол № 65а от 24 ноября 1938 г. Рапорт об обыске в квартире Ежова от 10 апреля 1939 г. Рапорт об установлении факта интимной связи М. Шолохова с женой Ежова от 12 декабря 1938 г. Постановление о привлечении Ежова к уголовной ответственности от 10 июня 1939 г. Записка Ежова из тюрьмы (без даты, между 12 и 16 июня 1938 г.). Из показаний подследственного С. Б. Жуковского от 31 мая 1938 г. Рапорт Кедрова от 28 января 1939 года. Последнее слово Н. И. Ежова на судебном процессе 3 февраля 1940 года.	no	no	internal	data/perpetrator2004/raw/mirror/documents/Yezhov/Yezhov1.doc
P2004-0030	documents/Yezhov/Yezhov2.doc	http://perpetrator2004.narod.ru/documents/Yezhov/Yezhov2.doc	Спецсообщение Л.П. Берии И.В. Сталину о И.И. Ежове от 30 января 1939 г. Записка Н.И. Ежова И.В. Сталину от 13 марта 1939 г. Спецсообщение Л.П. Берии И.В. Сталину с приложением заявления М.П. Фриновского от 13 апреля 1939 г. Сообщение Л.П. Берии И.В. Сталину о Н.И. Ежове от 27 апреля 1939 г. с приложением протокола допроса от 26 апреля 1939 г.	no	no	internal	data/perpetrator2004/raw/mirror/documents/Yezhov/Yezhov2.doc
P2004-0031	documents/Show_Trials/Radek_Sokolnikov_Murder.doc	http://perpetrator2004.narod.ru/documents/Show_Trials/Radek_Sokolnikov_Murder.doc	Из справки председателя КГБ при СМ СССР И.А. Серова в ЦК КПСС от 29 июня 1956 г. по делу «антисоветского троцкистского центра» об обстоятельствах убийства Г.Я. Сокольникова и К.Б. Радека	no	no	internal	data/perpetrator2004/raw/mirror/documents/Show_Trials/Radek_Sokolnikov_Murder.doc
P2004-0032	documents/Kremlin_Affair/Kremlin_Affair_1.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_1.doc	Спецсообщение Г.Г. Ягоды И.В. Сталину о «контрреволюционной группе» в кремле с приложением протокола очной ставки между Авдеевой Анной Ефимовной и Мишаковой Ефросинией Семеновной	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_1.doc
P2004-0033	documents/Kremlin_Affair/Kremlin_Affair_2.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_2.doc	Записка Я.С. Агранова И.В. Сталину о новых арестах среди персонала в Кремле	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_2.doc
P2004-0034	documents/Kremlin_Affair/Kremlin_Affair_3.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_3.doc	Докладная записка Г.Г. Ягоды И.В. Сталину о ходе следствия по кремлевскому делу с приложением протокола допроса Дорошина Василия Григорьевича	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_3.doc
P2004-0035	documents/Kremlin_Affair/Kremlin_Affair_4.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_4.doc	Протокол допроса И.П. Лукьянова	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_4.doc
P2004-0036	documents/Kremlin_Affair/Kremlin_Affair_5.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_5.doc	Протокол допроса Е.К. Мухановой	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_5.doc
P2004-0037	documents/Kremlin_Affair/Kremlin_Affair_6.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_6.doc	Протокол допроса К.И. Синелобовой	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_6.doc
P2004-0038	documents/Kremlin_Affair/Kremlin_Affair_7.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_7.doc	Протокол допроса П.И. Гордеевой	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_7.doc
P2004-0039	documents/Kremlin_Affair/Kremlin_Affair_8.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_8.doc	Протокол допроса К.К. Муханова	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_8.doc
P2004-0040	documents/Kremlin_Affair/Kremlin_Affair_9.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_9.doc	Протокол допроса Б.Н. Розенфельда	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_9.doc
P2004-0041	documents/Kremlin_Affair/Kremlin_Affair_10.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_10.doc	Протокол допроса М.В. Королькова	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_10.doc
P2004-0042	documents/Kremlin_Affair/Kremlin_Affair_11.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_11.doc	Протокол допроса В.А. Ельчаниновой	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_11.doc
P2004-0043	documents/Kremlin_Affair/Kremlin_Affair_12.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_12.doc	Протокол допроса Р.Г. Миндель	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_12.doc
P2004-0044	documents/Kremlin_Affair/Kremlin_Affair_13.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_13.doc	Протокол допроса Д.С. Азбеля	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_13.doc
P2004-0045	documents/Kremlin_Affair/Kremlin_Affair_14.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_14.doc	Протокол допроса И.В. Больших	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_14.doc
P2004-0046	documents/Kremlin_Affair/Kremlin_Affair_15.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_15.doc	Сопроводительная записка Я.С. Агранова И.В. Сталину с протоколом допроса Л.Б. Каменева	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_15.doc
P2004-0047	documents/Kremlin_Affair/Kremlin_Affair_16.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_16.doc	Постановление политбюро ЦК ВКП(б) «Об аппарате ЦИК СССР и тов. Енукидзе»	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_16.doc
P2004-0048	documents/Kremlin_Affair/Kremlin_Affair_17.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_17.doc	Записка Г.Г. Ягоды И.В. Сталину о мерах наказания участникам «контрреволюционных» групп	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_17.doc
P2004-0049	documents/Kremlin_Affair/Kremlin_Affair_18.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_18.doc	Постановление Политбюро ЦК ВКП(б) о мерах наказания по «Кремлевскому делу»	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_18.doc
P2004-0050	documents/Kremlin_Affair/Kremlin_Affair_19.doc	http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_19.doc	Записка Я.С. Агранова И.В. Сталину от 5 сентября 1935 г. с приложением копии анонимного письма об А.С. Енукидзе	no	no	internal	data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_19.doc
P2004-0051	documents/Tukhachevsky/Tukhachevsky_Report.rar	http://perpetrator2004.narod.ru/documents/Tukhachevsky/Tukhachevsky_Report.rar	Справка Комиссии президиума ЦК КПСС «О проверке обвинений, предъявленных в 1937 году судебными и партийными органами тт. Тухачевскому, Якиру, Уборевичу и другим военным деятелям, в измене родины, терроре и военном заговоре»	no	no	internal	data/perpetrator2004/raw/mirror/documents/Tukhachevsky/Tukhachevsky_Report.rar
P2004-0052	documents/kirov/Zhukov_on_Kirov.doc	http://perpetrator2004.narod.ru/documents/kirov/Zhukov_on_Kirov.doc	Следствие и судебные процессы по делу об убийстве Кирова	no	no	internal	data/perpetrator2004/raw/mirror/documents/kirov/Zhukov_on_Kirov.doc
P2004-0053	documents/kirov/Kirilina_Interview.doc	http://perpetrator2004.narod.ru/documents/kirov/Kirilina_Interview.doc	Интервью Аллы Кирилиной	no	no	internal	data/perpetrator2004/raw/mirror/documents/kirov/Kirilina_Interview.doc
P2004-0054	documents/Bukharin/Bukharin_Confrontations.doc	http://perpetrator2004.narod.ru/documents/Bukharin/Bukharin_Confrontations.doc	Записка Я.С. Агранова И.В. Сталину о членах оппозиционной группы в ВКП(б). Стенограммы очных ставок в ЦК ВКП(б) между Н.И. Бухариным с одной стороны и Куликовым, Сосновским и Пятаковым с другой. Письма: Н.И. Бухарин – Сталину от 15 декабря 1936 г. и Сталину и членам Политбюро от 15 декабря 1936 г	no	no	internal	data/perpetrator2004/raw/mirror/documents/Bukharin/Bukharin_Confrontations.doc
